Cliente - Local.1;Oficina de Ventas Unifica;Subtipo de cliente;Cluster BW;Frecuencia mes promedio;Delta dia promedio;Skew Delta dia;Kilos Venta promedio;Covarianza del lote;"Precio Pond CLP 
 Tipo de Semana 4";"Kilos Venta KG promedio 
 Tipo de Semana 4";"Precio Pond CLP 
 Tipo de Semana 3";"Kilos Venta KG promedio 
 Tipo de Semana 3";"Precio Pond CLP 
 Tipo de Semana 2";"Kilos Venta KG promedio 
 Tipo de Semana 2";"Precio Pond CLP 
 Tipo de Semana 1";"Kilos Venta KG promedio 
 Tipo de Semana 1";"Precio Pond CLP 
 Tipo de Semana 0";"Kilos Venta KG promedio 
 Tipo de Semana 0";Tipo de Semana 4;Tipo de Semana 3;Tipo de Semana 2;Tipo de Semana 1;Tipo de Semana 0;identified_clusters
3200104287;T105;Espec. en Crudos;Sin asignar;0.6666666666666666;6.4;0.3169627324056571;31.5;0.3447040203972163;4046.75677830941;30.75;4046.75677830941;30.75;4046.75677830941;30.75;4273.210526315789;28.5;3820.3030303030314;33.0;1.75;1.75;1.75;2.0;1.5;1
3200154991;T105;Espec. en Crudos;Clásico;0.8461538461538461;30.0;1.9976983396258403;31.466666666666665;0.3701958655426317;4348.960870646889;31.37777777777778;4702.014925373134;26.8;4348.960870646889;31.37777777777778;4287.885254983224;33.333333333333336;4056.982431584307;34.0;2.5841269841269843;2.8;2.5841269841269843;2.6666666666666665;2.2857142857142856;0
3200153241;T105;Espec. en Crudos;Clásico;0.3888888888888889;78.42857142857143;0.5741714260687559;22.5;0.4169258453176382;5405.993216317166;16.0;4725.214496843103;23.33333333333333;5014.7703404614585;12.0;4753.356788841237;19.666666666666664;3867.4491017432215;27.33333333333333;3.0;2.333333333333333;1.0;2.0;1.6666666666666667;0
46142;T105;Espec. en Crudos;Clásico;0.9411764705882352;27.5;2.601058048842562;46.285714285714285;0.7557450288932407;4350.825950103717;42.325;4475.226022990348;21.5;5453.7703404614585;18.0;3431.2990452407407;86.33333333333333;4043.008391722321;43.46666666666667;1.7833333333333332;2.0;2.0;1.0;2.1333333333333333;1
3200148795;T105;Espec. en Crudos;Sin asignar;0.1739130434782608;123.83333333333331;0.1844706963622818;39.57142857142857;0.60012191746468;3312.774640675648;39.45833333333333;3312.774640675648;39.45833333333333;3312.774640675648;39.45833333333333;3276.7646575222625;38.66666666666666;3348.784623829033;40.25;0.75;0.75;0.75;0.0;1.5;3
29388;T105;Espec. en Crudos;Clásico;0.9183673469387756;32.56521739130435;2.492433487130389;35.4468085106383;0.6663247647276767;4326.306937781165;40.849999999999994;4455.504065040651;41.0;5091.186354211309;43.6;4542.6439754415605;42.8;3215.89335643114;36.0;2.065384615384615;2.0;1.4;3.4;1.4615384615384617;1
3200121696;T105;Espec. en Crudos;Clásico;0.1428571428571428;149.4;0.956698378752178;25.83333333333333;0.460249219915561;4703.446254524719;35.0;4703.446254524719;35.0;4614.7703404614585;49.0;4792.122168587978;21.0;4703.446254524719;35.0;1.75;1.75;0.0;3.5;1.75;1
3200013002;T105;Espec. en Crudos;Clásico;0.7755102040816326;38.91891891891892;2.548543220812655;57.10526315789474;0.6068735303781174;4185.509632670843;66.21785714285714;3765.1008161622976;74.5;5170.968539477719;79.0;4297.923139461765;61.8;3508.046035581588;49.57142857142857;1.588095238095238;1.0;1.6666666666666667;2.4;1.2857142857142858;1
91042;T105;Multiespecialista;Premium;0.4285714285714285;63.1;1.931390368559727;135.14285714285714;1.118632251642696;3800.482807080658;167.73333333333332;3800.482807080658;167.73333333333332;4857.385170230729;173.0;3496.7438118539285;168.0;3047.319439157317;162.2;1.6222222222222225;1.6222222222222225;2.0;1.6666666666666667;1.2;4
3200127382;T105;Espec. en Crudos;Premium;0.5681818181818182;50.0;2.122446149058718;24.379310344827587;0.3320451942086128;5032.7747449333065;25.91111111111111;5032.7747449333065;25.91111111111111;5571.278363089298;31.0;5171.913835254645;20.0;4355.132036455976;26.73333333333333;2.966666666666667;2.966666666666667;2.5;4.0;2.4;0
