Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Sector
2021-06-22,9516.790382745881,19117.826392262938,14364.864921612854,1020253,Cerdo
2021-06-23,11424.328555637756,20509.77518241314,16022.700602990284,1020253,Cerdo
2021-06-24,12508.20995827501,21224.503597518193,17075.995755383974,1020253,Cerdo
2021-06-25,13811.31547764905,23349.935870345536,18496.998461814946,1020253,Cerdo
2021-06-26,11084.73457049243,20269.660947908316,15497.387242144103,1020253,Cerdo
2021-06-22,3231.6814694279174,8255.363581187587,5741.670206009112,1020042,Cerdo
2021-06-23,2826.4629758352316,7726.684143840119,5342.045419313648,1020042,Cerdo
2021-06-24,3608.021438509616,8339.640564721076,5858.5013692203665,1020042,Cerdo
2021-06-25,4357.336510344379,9363.046712234072,6999.231688462212,1020042,Cerdo
2021-06-26,2630.529195044373,7572.08103855825,5067.572622078608,1020042,Cerdo
2021-06-22,11728.711854610307,24140.726479611872,17538.593424185507,1020027,Cerdo
2021-06-23,12559.656866137047,24490.47260038901,18355.192998743183,1020027,Cerdo
2021-06-24,13194.414483766172,25124.07063461063,19050.998180668837,1020027,Cerdo
2021-06-25,13954.547434458998,26214.596288894194,19874.762626618398,1020027,Cerdo
2021-06-26,9759.379140603309,21682.861388975383,15671.88861006997,1020027,Cerdo
2021-06-22,31260.27909447081,59719.41568961581,44023.22170899299,1020013,Cerdo
2021-06-23,34291.703608734024,65174.03597302812,50897.79304831889,1020013,Cerdo
2021-06-24,37072.130448008254,67895.35810985434,53115.47102829009,1020013,Cerdo
2021-06-25,45997.323728082,76555.90612217972,60844.800520582154,1020013,Cerdo
2021-06-26,30072.16994532349,59432.13311282655,44625.656784203675,1020013,Cerdo
2021-06-22,28080.479481376675,43647.50564062084,35476.975309339956,1020010,Cerdo
2021-06-23,28870.697437335784,44727.847635662256,36731.801340572914,1020010,Cerdo
2021-06-24,30099.65649594873,46656.86184520428,38560.852463399,1020010,Cerdo
2021-06-25,31454.583889473488,47897.952125135605,39428.791675387096,1020010,Cerdo
2021-06-26,26271.509252276024,43102.45035577294,33950.43842857734,1020010,Cerdo
2021-06-22,1495.2859565594667,11633.795187206599,6529.271604915376,1020003,Cerdo
2021-06-23,2882.6427493347333,12913.211499916179,7858.9695894465,1020003,Cerdo
2021-06-24,4043.046427846134,14110.13352382788,9036.885646906765,1020003,Cerdo
2021-06-25,4280.011210855996,14783.275628440715,9404.459995193285,1020003,Cerdo
2021-06-26,2801.914703914423,12562.259188978884,7705.974303680043,1020003,Cerdo
2021-06-22,9041.403489672683,18939.733612179723,14080.474870544398,1020001,Cerdo
2021-06-23,9504.99826646386,19546.479386552448,14522.400691377443,1020001,Cerdo
2021-06-24,10429.615427018436,20520.93226251138,15413.042562691931,1020001,Cerdo
2021-06-25,12559.430375581604,22235.508863021478,17266.821540374338,1020001,Cerdo
2021-06-26,9738.960615699503,19830.730791794274,14681.272127620927,1020001,Cerdo
2021-06-22,1896.7170347380768,20312.317335254123,10748.978238398136,1010695,Pollo
2021-06-23,4424.885617735197,22012.92948888121,13486.40176473837,1010695,Pollo
2021-06-24,4144.743694393193,23480.722962840035,13343.235449572534,1010695,Pollo
2021-06-25,5161.752767923408,23037.35153956093,13600.389507447017,1010695,Pollo
2021-06-26,455.96822923258384,19971.259799261195,10220.347456270669,1010695,Pollo
2021-06-22,32618.110223704163,63048.98139281288,47687.04883298577,1010267,Pollo
2021-06-23,29613.014681284392,58030.38741534719,43465.863210194955,1010267,Pollo
2021-06-24,27705.503854498904,57814.0324543903,42920.97222005026,1010267,Pollo
2021-06-25,32392.576322529592,60917.724100345695,46491.2938474172,1010267,Pollo
2021-06-26,13559.460611032486,43055.15631444895,28130.343553107876,1010267,Pollo
2021-06-22,100028.70219906721,170161.57625182706,132137.38871903805,1010078,Pollo
2021-06-23,106773.90466579415,176269.66169084312,142353.98287325943,1010078,Pollo
2021-06-24,118970.44556733822,188620.40273031493,155514.53408403447,1010078,Pollo
2021-06-25,141804.109252198,209832.7746644443,176276.30394051888,1010078,Pollo
2021-06-26,89503.6320660118,161304.9134688709,126315.92138007825,1010078,Pollo
2021-06-22,2075.491595190457,8137.123668104875,4978.516035923627,1010077,Pollo
2021-06-23,3025.94570298912,9056.322226499304,5981.986033464329,1010077,Pollo
2021-06-24,3852.348999053281,9803.003409841245,6971.9027461233345,1010077,Pollo
2021-06-25,4249.855391969235,10365.163234944002,7452.215488935534,1010077,Pollo
2021-06-26,2565.6280317384053,8638.510544921914,5602.160585303896,1010077,Pollo
2021-06-22,13310.172084551805,54157.91698055674,34523.89283666961,1010048,Pollo
2021-06-23,21506.5223023347,60360.633467040185,41099.76584386103,1010048,Pollo
2021-06-24,23739.88238272368,66177.61400165387,45372.781605488606,1010048,Pollo
2021-06-25,33134.182678842946,73199.00284262752,53389.50636012378,1010048,Pollo
2021-06-26,14775.740550361978,55168.34526351473,34160.65334664642,1010048,Pollo
2021-06-22,19916.53465564044,41183.613741496236,30900.42799710234,1010002,Pollo
2021-06-23,23207.14444367968,46551.94374279456,34832.35063483932,1010002,Pollo
2021-06-24,29960.800025126027,52660.280143834025,41054.51199594249,1010002,Pollo
2021-06-25,38109.74303313919,60318.63967812015,49711.70843223251,1010002,Pollo
2021-06-26,27371.547184357736,48197.5646352318,37763.36116389613,1010002,Pollo
