Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Sector,Tipo de cliente
2021-06-11,8204.857637606325,15333.098323527001,11722.298956767452,1020253,Cerdo,Tradicional
2021-06-12,6224.759472346948,13170.932769049328,9774.491258689182,1020253,Cerdo,Tradicional
2021-06-13,-234.00223971877256,7039.196330608766,3581.3391826508423,1020253,Cerdo,Tradicional
2021-06-14,3170.029331839746,10538.586062300677,6871.509504406137,1020253,Cerdo,Tradicional
2021-06-15,4341.31290225831,11511.168634081554,8089.191284710148,1020253,Cerdo,Tradicional
2021-06-16,6330.765660409559,13273.997165735322,9683.753616226848,1020253,Cerdo,Tradicional
2021-06-17,6736.489847763262,14040.623035513241,10270.50092001568,1020253,Cerdo,Tradicional
2021-06-11,1140.1350729956007,4512.6079535967165,2858.608693992085,1020042,Cerdo,Tradicional
2021-06-12,739.2245032330432,4076.200132567825,2336.9299779723306,1020042,Cerdo,Tradicional
2021-06-13,-3539.3725254472133,-198.61179667714177,-1893.113273840847,1020042,Cerdo,Tradicional
2021-06-14,-499.9557145420909,2892.262977761963,1212.6757432711095,1020042,Cerdo,Tradicional
2021-06-15,931.355177402465,4497.761454698085,2699.2466700704113,1020042,Cerdo,Tradicional
2021-06-16,707.9506154627587,4143.041334779017,2323.499023532323,1020042,Cerdo,Tradicional
2021-06-17,971.5037115097045,4296.802080851138,2647.1652858866055,1020042,Cerdo,Tradicional
2021-06-11,12591.268532589182,22154.052780063612,17348.141020696017,1020027,Cerdo,Tradicional
2021-06-12,8592.170302925118,18880.344646322334,14015.869484544255,1020027,Cerdo,Tradicional
2021-06-13,-2788.7898092497735,7494.475491534509,2303.1772710648074,1020027,Cerdo,Tradicional
2021-06-14,4350.980487278791,14304.701981111168,9471.488271375349,1020027,Cerdo,Tradicional
2021-06-15,10142.028442923316,19757.749626625566,14918.004669978696,1020027,Cerdo,Tradicional
2021-06-16,11421.48200029858,21017.515216828306,15806.834736865643,1020027,Cerdo,Tradicional
2021-06-17,11688.87947614041,21441.606331882012,16736.994104114052,1020027,Cerdo,Tradicional
2021-06-11,33358.70267914969,55871.56611792591,44576.31211394408,1020013,Cerdo,Tradicional
2021-06-12,21475.731352219926,44154.8438741743,32872.57752254768,1020013,Cerdo,Tradicional
2021-06-13,-11493.467050396219,11568.666162685224,1095.5227996289796,1020013,Cerdo,Tradicional
2021-06-14,11094.383526735466,33910.9341647507,22527.876103459534,1020013,Cerdo,Tradicional
2021-06-15,21507.9050294875,45085.72538896701,33177.09258037742,1020013,Cerdo,Tradicional
2021-06-16,26547.458826820137,48669.99649650346,38106.99653865795,1020013,Cerdo,Tradicional
2021-06-17,27878.58208287058,50589.368712900316,39417.107798955025,1020013,Cerdo,Tradicional
2021-06-11,16541.43108951321,27877.69557079879,22122.07024508476,1020010,Cerdo,Tradicional
2021-06-12,13982.769081418224,25730.37725409684,19666.4526168851,1020010,Cerdo,Tradicional
2021-06-13,400.1192475797803,12284.234801296141,6507.381660676281,1020010,Cerdo,Tradicional
2021-06-14,9459.746136047268,20832.99566596729,15163.373511223723,1020010,Cerdo,Tradicional
2021-06-15,14631.516500076194,26438.730630194976,20453.868852329673,1020010,Cerdo,Tradicional
2021-06-16,15428.346039766588,27517.82135513046,21726.426141945572,1020010,Cerdo,Tradicional
2021-06-17,17185.00229451436,28459.31161830823,22549.11877511153,1020010,Cerdo,Tradicional
2021-06-11,2070.543520506544,10180.651729705838,6197.812205756383,1020003,Cerdo,Tradicional
2021-06-12,1333.7287427967058,9306.772472167884,5223.366912770576,1020003,Cerdo,Tradicional
2021-06-13,-3811.571729845772,3923.4799873219495,227.1750972885634,1020003,Cerdo,Tradicional
2021-06-14,-1684.6525969841343,6276.66087039057,2064.903708868631,1020003,Cerdo,Tradicional
2021-06-15,416.74286515402963,8232.383872304832,4315.144158716406,1020003,Cerdo,Tradicional
2021-06-16,1153.168960350068,9200.694265608066,5172.774594904374,1020003,Cerdo,Tradicional
2021-06-17,2246.587909960636,10367.317857891332,6510.853700208074,1020003,Cerdo,Tradicional
2021-06-11,8988.050200299438,17104.73903490554,13023.808361023155,1020001,Cerdo,Tradicional
2021-06-12,7116.666272283758,15113.10328179138,11089.91200558901,1020001,Cerdo,Tradicional
2021-06-13,-1743.8673211285877,6091.178042877726,2159.7312813813332,1020001,Cerdo,Tradicional
2021-06-14,3079.49420078761,10954.218843360399,6985.043341731653,1020001,Cerdo,Tradicional
2021-06-15,6203.941920778,13951.078581596763,10161.148691446013,1020001,Cerdo,Tradicional
2021-06-16,6358.898194117053,14888.99244705513,10623.34904576219,1020001,Cerdo,Tradicional
2021-06-17,7257.304768026651,15393.033074005054,11502.85728405492,1020001,Cerdo,Tradicional
2021-06-11,2908.868802752921,14316.71185035262,8546.719156719475,1010695,Pollo,Tradicional
2021-06-12,1044.6542141200046,12698.074521511704,6893.979418545575,1010695,Pollo,Tradicional
2021-06-13,-5518.786212970523,5674.984824512212,-82.56007806936032,1010695,Pollo,Tradicional
2021-06-14,-1673.329603653663,9871.566574772389,3945.1922279979894,1010695,Pollo,Tradicional
2021-06-15,707.1402963589347,11971.607482584031,6299.9368052683085,1010695,Pollo,Tradicional
2021-06-16,2259.5901365352197,13650.405237206445,8247.570845123093,1010695,Pollo,Tradicional
2021-06-17,2074.660959663295,14013.388375005374,8127.463923156067,1010695,Pollo,Tradicional
2021-06-11,9944.261555538053,27523.571309993364,18882.11066367984,1010267,Pollo,Tradicional
2021-06-12,5274.798965792656,23022.327843468727,14023.01903893072,1010267,Pollo,Tradicional
2021-06-13,-12969.624949872192,4113.261358771024,-4554.97643550537,1010267,Pollo,Tradicional
2021-06-14,589.3423731150182,16696.526167134696,8653.409684770215,1010267,Pollo,Tradicional
2021-06-15,7115.240647220769,24724.820003907495,16100.544602085218,1010267,Pollo,Tradicional
2021-06-16,7466.375833216989,24404.633339586362,15619.916468461332,1010267,Pollo,Tradicional
2021-06-17,7869.535896196778,25496.455058119256,16889.000471954605,1010267,Pollo,Tradicional
2021-06-11,110676.61875636589,164900.17531525664,138900.50348204834,1010078,Pollo,Tradicional
2021-06-12,70363.16504796619,126490.16982914004,98196.23436494885,1010078,Pollo,Tradicional
2021-06-13,-9506.770946466006,41655.499519888675,16813.259200657223,1010078,Pollo,Tradicional
2021-06-14,46008.99496996206,101636.352944599,74137.60904746414,1010078,Pollo,Tradicional
2021-06-15,75158.24448212082,128457.39037832119,101758.54415343958,1010078,Pollo,Tradicional
2021-06-16,80691.11440069726,134381.46701313148,107673.65635748894,1010078,Pollo,Tradicional
2021-06-17,92380.31660460884,145111.96503649716,118337.24284398669,1010078,Pollo,Tradicional
2021-06-11,3789.2406102010586,9089.628355806779,6394.135054500754,1010077,Pollo,Tradicional
2021-06-12,2150.162730375491,7356.451058601158,4852.658823766979,1010077,Pollo,Tradicional
2021-06-13,-3934.536299525522,1399.9600255978407,-1058.2833927521087,1010077,Pollo,Tradicional
2021-06-14,220.7747584622838,5581.427030070327,2959.9791441289044,1010077,Pollo,Tradicional
2021-06-15,1536.8004618893958,6757.91810220663,4177.226057446492,1010077,Pollo,Tradicional
2021-06-16,2674.9502688276616,7906.904590589549,5161.068659164675,1010077,Pollo,Tradicional
2021-06-17,3412.350506436133,8905.415217143567,6133.4764175461605,1010077,Pollo,Tradicional
2021-06-11,21237.839760620474,49731.25693600243,35509.26878258246,1010048,Pollo,Tradicional
2021-06-12,6633.871471081265,35977.71850748966,21371.274987173078,1010048,Pollo,Tradicional
2021-06-13,-28608.53200782064,-783.3848130226758,-14561.222255349407,1010048,Pollo,Tradicional
2021-06-14,-5541.175554345077,25034.56419076177,9852.166117820741,1010048,Pollo,Tradicional
2021-06-15,4540.572090807254,35196.33072295445,19777.997411408352,1010048,Pollo,Tradicional
2021-06-16,9546.322342775502,38018.441783409085,24103.559995052507,1010048,Pollo,Tradicional
2021-06-17,12911.326986180109,43032.572419100936,27816.367856366232,1010048,Pollo,Tradicional
2021-06-11,20867.134605948846,37045.39089651059,29059.468700384485,1010002,Pollo,Tradicional
2021-06-12,10211.046256845788,27381.500427296625,19156.219670605722,1010002,Pollo,Tradicional
2021-06-13,-15417.107540086705,1730.854701883912,-6724.983800200658,1010002,Pollo,Tradicional
2021-06-14,1015.2719016451618,18021.773499316823,9524.118358973268,1010002,Pollo,Tradicional
2021-06-15,9924.037072865343,27337.016612755055,18485.76408030567,1010002,Pollo,Tradicional
2021-06-16,11940.253675251837,28718.471645443646,20285.03683618314,1010002,Pollo,Tradicional
2021-06-17,17108.263318870297,33935.61030607337,25476.04773938296,1010002,Pollo,Tradicional
2021-06-11,76.38468296773404,1100.922616333078,605.7910145266865,1020253,Cerdo,Industriales
2021-06-12,-138.64873261193114,904.5188265261085,369.405388706316,1020253,Cerdo,Industriales
2021-06-13,-225.10748755093823,814.601318301884,304.80127541987633,1020253,Cerdo,Industriales
2021-06-14,-49.66629677936941,981.9237848896747,463.02188580695054,1020253,Cerdo,Industriales
2021-06-15,-36.69317411145649,974.3882897878586,455.1970127139836,1020253,Cerdo,Industriales
2021-06-16,-68.33602858615127,917.5291774620257,446.9849259459396,1020253,Cerdo,Industriales
2021-06-17,10.028869850046926,1004.4175138043129,519.638339591594,1020253,Cerdo,Industriales
2021-06-11,1333.3945416577947,2618.992726580636,1939.013860961062,1020042,Cerdo,Industriales
2021-06-12,310.43410662050763,1635.9767180221831,961.4973169758213,1020042,Cerdo,Industriales
2021-06-13,-417.8573928354248,861.1226007900475,224.8358709020389,1020042,Cerdo,Industriales
2021-06-14,407.27185049043845,1854.358116944119,1172.0165222777505,1020042,Cerdo,Industriales
2021-06-15,722.0023772918433,2100.143274277947,1439.1172412531407,1020042,Cerdo,Industriales
2021-06-16,593.9344329163079,1881.8507216685964,1243.3917338126719,1020042,Cerdo,Industriales
2021-06-17,498.38224186204224,1892.9228020019452,1197.2025168197358,1020042,Cerdo,Industriales
2021-06-10,-385.9753276980556,1247.0021935679874,389.7394529702624,1020027,Cerdo,Industriales
2021-06-11,-325.4310817836116,1173.9368035649338,411.89251882046227,1020027,Cerdo,Industriales
2021-06-12,-437.06342464671957,1126.9213409154352,351.54330396353384,1020027,Cerdo,Industriales
2021-06-13,-594.1625113041247,903.621587534144,151.912189404699,1020027,Cerdo,Industriales
2021-06-14,-508.5959975772463,1068.908377642925,291.9871868398029,1020027,Cerdo,Industriales
2021-06-15,-222.66120765229527,1294.531745788937,503.20536803788656,1020027,Cerdo,Industriales
2021-06-16,-292.7050156345777,1152.5044737819028,453.3478362219738,1020027,Cerdo,Industriales
2021-06-11,-730.2806226817355,3107.7656875013677,1251.0208974144646,1020013,Cerdo,Industriales
2021-06-12,-1498.264328802993,2354.33539634837,422.98849518882935,1020013,Cerdo,Industriales
2021-06-13,-2575.9846006808807,1232.2753951607,-689.2189403943714,1020013,Cerdo,Industriales
2021-06-14,-1347.4123536269303,2377.191833956921,541.0954261049809,1020013,Cerdo,Industriales
2021-06-15,-788.7428500951803,2847.0970503901485,1073.8677695741712,1020013,Cerdo,Industriales
