Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1
2021-06-12,1702.9723342231844,5597.659013550535,3556.2664574346322,1020253,,Santiago
2021-06-13,30.603966252422268,3876.6341241273876,1940.2081784459629,1020253,,Santiago
2021-06-14,490.3473796539313,4318.449639370783,2331.6761236641955,1020253,,Santiago
2021-06-15,1165.650160505968,4915.113723598349,3120.7082110220267,1020253,,Santiago
2021-06-16,1424.2544543060899,5406.726414032851,3442.8716372341596,1020253,,Santiago
2021-06-17,1969.5058166670071,5661.969898006009,3830.2260131732155,1020253,,Santiago
2021-06-18,2058.5458734454755,5941.090757625254,4107.97850796855,1020253,,Santiago
2021-06-19,1670.0065855473501,5510.373097554865,3574.10719621162,1020253,,Santiago
2021-06-12,-395.58284002479934,1391.906341926928,472.93542842818204,1020042,,Santiago
2021-06-13,-1556.963568226345,244.4229390228562,-629.6781657656487,1020042,,Santiago
2021-06-14,-1028.66280405926,801.2707505469627,-159.63796054391818,1020042,,Santiago
2021-06-15,-289.6137517014714,1518.1702896347088,570.3061427969466,1020042,,Santiago
2021-06-16,-216.54825468826886,1604.2411577152154,711.6920342770679,1020042,,Santiago
2021-06-17,-302.7512468217403,1417.1634173912412,609.5394637024381,1020042,,Santiago
2021-06-18,-40.21924359360061,1811.239268646604,891.948395731156,1020042,,Santiago
2021-06-19,-329.0059746216394,1493.5468688354697,572.0198415233092,1020042,,Santiago
2021-06-12,1344.6181391180203,5763.007394123194,3532.3580546761787,1020027,,Santiago
2021-06-13,-1194.3729587741548,3036.8666866129233,921.0102775037133,1020027,,Santiago
2021-06-14,-367.03155532473517,4137.687351295058,1826.129927730783,1020027,,Santiago
2021-06-15,1661.2252359386289,5770.778608101313,3715.7604799401547,1020027,,Santiago
2021-06-16,2114.156985609956,6567.187863334143,4376.826439191334,1020027,,Santiago
2021-06-17,2096.947172590631,6427.182276518698,4295.539845565235,1020027,,Santiago
