Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1,Tipo de cliente
2021-06-16,283.2212780425945,11839.68595954126,5756.990780615684,1010048,,Santiago,Tradicional
2021-06-17,917.179574905656,12290.757778855079,6875.076437567235,1010048,,Santiago,Tradicional
2021-06-11,8676.15632843234,16807.99769995397,12653.174164960144,1010002,,Santiago,Tradicional
2021-06-12,4963.128307397634,12715.08008291246,8590.402820932282,1010002,,Santiago,Tradicional
2021-06-13,-7240.654246814594,695.8930479775303,-3308.0669804639037,1010002,,Santiago,Tradicional
2021-06-14,-1400.790593824517,6512.512501281694,2737.1102892706976,1010002,,Santiago,Tradicional
2021-06-15,3265.4252873380515,11057.606179297994,7291.992639820441,1010002,,Santiago,Tradicional
2021-06-16,3742.600762569704,11430.945675738785,7461.160656693191,1010002,,Santiago,Tradicional
2021-06-17,5611.476724124381,13253.61908793526,9401.935272021063,1010002,,Santiago,Tradicional
2021-06-11,-777.2017886858457,1096.761891862431,153.65620533808135,1020253,,Santiago,Grandes Clientes
2021-06-12,-871.5996414046075,1140.8379252307075,98.16546777962665,1020253,,Santiago,Grandes Clientes
2021-06-13,-816.3249668562033,1100.416907623844,145.4244561772644,1020253,,Santiago,Grandes Clientes
2021-06-14,-1173.4638038259802,808.3131252482068,-177.89517010101198,1020253,,Santiago,Grandes Clientes
2021-06-15,-923.1852006936533,980.0188151852263,9.771131353295175,1020253,,Santiago,Grandes Clientes
2021-06-16,-918.9715869138628,1073.401099852537,22.56982048718865,1020253,,Santiago,Grandes Clientes
2021-06-17,-462.9144560153521,1530.516190355052,503.72273355076743,1020253,,Santiago,Grandes Clientes
2021-06-11,-289.68821136701627,610.6039606800683,124.52046556626735,1020042,,Santiago,Grandes Clientes
2021-06-12,-269.1935393729308,641.8380828848211,183.32438925768807,1020042,,Santiago,Grandes Clientes
2021-06-13,-340.55124817940214,529.014613385603,66.03482769933294,1020042,,Santiago,Grandes Clientes
2021-06-14,-474.62286878874767,448.39261967848995,-30.11838047625355,1020042,,Santiago,Grandes Clientes
2021-06-15,-295.93721529786603,588.9241038211519,170.78673429110836,1020042,,Santiago,Grandes Clientes
2021-06-16,-363.1288429706069,596.4046884459106,110.62109290193922,1020042,,Santiago,Grandes Clientes
2021-06-17,-242.3602136212492,659.8290934100088,216.3047725371644,1020042,,Santiago,Grandes Clientes
2021-06-11,501.6646788066011,2396.9132531864116,1438.8881800437343,1020027,,Santiago,Grandes Clientes
2021-06-12,366.8597173716042,2058.040962231843,1235.544564549431,1020027,,Santiago,Grandes Clientes
2021-06-13,41.27009918158799,1922.558167054968,1051.6906762030349,1020027,,Santiago,Grandes Clientes
2021-06-14,33.63094795179574,1814.0460207254182,894.199189385709,1020027,,Santiago,Grandes Clientes
2021-06-15,323.1246982151459,2209.0407761349497,1251.1898130837667,1020027,,Santiago,Grandes Clientes
2021-06-16,544.3693936482075,2347.968339338158,1448.491345397706,1020027,,Santiago,Grandes Clientes
2021-06-17,456.294839257845,2391.52842102674,1414.049949085664,1020027,,Santiago,Grandes Clientes
2021-06-11,-1834.409235020884,5121.542971390851,1645.8893252163639,1020013,,Santiago,Grandes Clientes
2021-06-12,-2048.6574956612853,4456.676462404998,1185.4520994139498,1020013,,Santiago,Grandes Clientes
2021-06-13,-3838.424153612083,2981.8087420289166,-377.4076294306401,1020013,,Santiago,Grandes Clientes
2021-06-14,-3173.681310366482,3252.177346950787,120.65747476367801,1020013,,Santiago,Grandes Clientes
2021-06-15,-2427.4941173366933,4430.744362822949,970.6731831478489,1020013,,Santiago,Grandes Clientes
2021-06-16,-1563.5243800571084,5123.937928859899,1962.688765869666,1020013,,Santiago,Grandes Clientes
2021-06-17,-1274.9697867825237,5357.141426541058,2193.7411961480266,1020013,,Santiago,Grandes Clientes
2021-06-11,-972.8156910036714,2581.4899365567826,788.5026943267499,1020010,,Santiago,Grandes Clientes
2021-06-12,-1168.7722826644326,2249.390337339739,517.6304523318038,1020010,,Santiago,Grandes Clientes
2021-06-13,-1305.263137710652,2303.2043106530946,395.40770462567224,1020010,,Santiago,Grandes Clientes
2021-06-14,-1441.1502061661522,2063.1153860221843,350.0211044447112,1020010,,Santiago,Grandes Clientes
2021-06-15,-1013.2646283880805,2610.262199411703,661.4690695629554,1020010,,Santiago,Grandes Clientes
2021-06-16,-561.2240843669734,2924.6688496739466,1107.6230763849198,1020010,,Santiago,Grandes Clientes
2021-06-17,-1023.9205807090925,2647.0923841652866,737.7480590579459,1020010,,Santiago,Grandes Clientes
2021-06-11,-775.7698955938314,1068.9868846977765,118.54466711612505,1020003,,Santiago,Grandes Clientes
2021-06-12,-981.3760977997155,831.6623059736881,-28.77562447503174,1020003,,Santiago,Grandes Clientes
2021-06-13,-1461.9294793161068,441.19645572450054,-511.598623946875,1020003,,Santiago,Grandes Clientes
2021-06-14,-1064.8760859820216,792.9584335297624,-206.46041499653296,1020003,,Santiago,Grandes Clientes
2021-06-15,-905.0339222065018,924.3100628192549,25.039269750948808,1020003,,Santiago,Grandes Clientes
2021-06-16,-810.3598501612853,977.7851721753163,72.25997597277508,1020003,,Santiago,Grandes Clientes
2021-06-17,-608.0509538527234,1236.9108782346004,270.5598837072933,1020003,,Santiago,Grandes Clientes
2021-06-11,-129.93481724623857,1304.4602739783882,604.6944861231935,1020001,,Santiago,Grandes Clientes
2021-06-12,-306.90480293030583,1087.5878512108834,411.79821744059245,1020001,,Santiago,Grandes Clientes
2021-06-13,-609.1081494343924,749.1596675325959,70.2003272538308,1020001,,Santiago,Grandes Clientes
2021-06-14,-575.1908684622305,870.3466293945553,155.57222808130368,1020001,,Santiago,Grandes Clientes
2021-06-15,-475.7779445657743,1018.5623324172028,263.59825067777615,1020001,,Santiago,Grandes Clientes
2021-06-16,-404.6498496694502,944.0423316706606,262.4390064647756,1020001,,Santiago,Grandes Clientes
2021-06-17,-451.54621236417915,1002.7668338811739,295.07920598838865,1020001,,Santiago,Grandes Clientes
2021-06-11,-2794.8837416517363,5017.32572298211,1126.9054179896837,1010695,,Santiago,Grandes Clientes
2021-06-12,-4070.6032880384087,3737.795731287395,-41.688925114109225,1010695,,Santiago,Grandes Clientes
2021-06-13,-5261.079860077979,3071.81313137761,-1146.9606236514824,1010695,,Santiago,Grandes Clientes
2021-06-14,-4725.779252476283,3771.172895001068,-545.8782105307905,1010695,,Santiago,Grandes Clientes
2021-06-15,-3247.09425229219,4509.754313327008,711.2674729395778,1010695,,Santiago,Grandes Clientes
2021-06-16,-3009.970857910202,5350.133121558526,1255.3290748618613,1010695,,Santiago,Grandes Clientes
2021-06-17,-2975.5064726472906,4752.065497998391,941.2033323437095,1010695,,Santiago,Grandes Clientes
2021-06-11,-2435.1158225978484,4095.0345240811735,824.7327624567063,1010267,,Santiago,Grandes Clientes
2021-06-12,-3817.501896592429,2793.5705601324544,-448.8013279944613,1010267,,Santiago,Grandes Clientes
2021-06-13,-7164.652897811875,-386.32562365943943,-3840.7570618275913,1010267,,Santiago,Grandes Clientes
2021-06-14,-4188.15545044213,2233.304654618857,-907.9310013621638,1010267,,Santiago,Grandes Clientes
2021-06-15,-3027.1475260246116,3583.2386530074996,254.28736544428148,1010267,,Santiago,Grandes Clientes
2021-06-16,-2933.805648750433,3290.178871689587,254.95867107362747,1010267,,Santiago,Grandes Clientes
2021-06-17,-2748.9446917390237,3407.1851952613565,486.00474097256176,1010267,,Santiago,Grandes Clientes
2021-06-11,-2403.794660812979,8807.209266689553,3322.568112662275,1010078,,Santiago,Grandes Clientes
2021-06-12,-3937.786360494895,7687.450808440877,1921.6141356110727,1010078,,Santiago,Grandes Clientes
2021-06-13,-8838.559567133663,2340.2342874362403,-3230.3863496260906,1010078,,Santiago,Grandes Clientes
2021-06-14,-6621.693999835576,4686.221136047965,-735.7485606984164,1010078,,Santiago,Grandes Clientes
2021-06-15,-3256.2778626164677,8496.02619835484,2689.1891141654787,1010078,,Santiago,Grandes Clientes
2021-06-16,-811.7170853574,10867.984502747939,4891.972606931852,1010078,,Santiago,Grandes Clientes
2021-06-17,-201.0701330702787,11101.732704827682,5426.815655022456,1010078,,Santiago,Grandes Clientes
2021-06-10,-549.036281855248,362.5125380801814,-69.34403958773879,1010077,,Santiago,Grandes Clientes
2021-06-11,-397.9703300732751,534.8473545899669,70.20049086608458,1010077,,Santiago,Grandes Clientes
2021-06-12,-312.4784191109821,653.2507677963769,195.82893509801895,1010077,,Santiago,Grandes Clientes
2021-06-13,-625.8627093825817,312.603727903775,-149.01764891076226,1010077,,Santiago,Grandes Clientes
2021-06-14,-619.3213914773762,380.92565585982067,-91.07747814405974,1010077,,Santiago,Grandes Clientes
2021-06-15,-356.8234883760373,562.4822492888184,79.47607984475982,1010077,,Santiago,Grandes Clientes
2021-06-16,-485.58661809592655,496.2125014191749,28.93678436523072,1010077,,Santiago,Grandes Clientes
2021-06-11,-4910.671452574715,5737.776954401667,366.7398766908781,1010048,,Santiago,Grandes Clientes
2021-06-12,-6161.8278011317,4858.502456477601,-401.7667794052379,1010048,,Santiago,Grandes Clientes
2021-06-13,-10655.355298969314,519.4966249492821,-5155.36005609068,1010048,,Santiago,Grandes Clientes
2021-06-14,-7792.830439852524,3075.8191300226554,-2258.340740847973,1010048,,Santiago,Grandes Clientes
2021-06-15,-5143.2908016493575,5485.848760696037,-69.7173926750761,1010048,,Santiago,Grandes Clientes
2021-06-16,-4143.589564039683,6875.866307955108,1398.2543861722827,1010048,,Santiago,Grandes Clientes
2021-06-17,-3774.1128223292226,6956.07115619133,1739.9150382746047,1010048,,Santiago,Grandes Clientes
2021-06-11,1521.464462400333,6476.217307802494,4144.801516627967,1010002,,Santiago,Grandes Clientes
2021-06-12,346.0944573169335,5169.875083848426,2660.1452191772096,1010002,,Santiago,Grandes Clientes
2021-06-13,-5139.942207696209,-143.81201088044844,-2701.3543572312237,1010002,,Santiago,Grandes Clientes
2021-06-14,-1311.9557292555546,3616.1171869416817,1211.235631207572,1010002,,Santiago,Grandes Clientes
