Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1
2021-06-16,-430.26338269740614,6907.942518687716,3175.0465915761306,1010695,Huechuraba,Santiago
2021-06-17,-1028.8978003865468,6199.576029517622,2697.054837629588,1010695,Huechuraba,Santiago
2021-06-18,-1196.5884257455655,6120.8020283516125,2555.213270581017,1010695,Huechuraba,Santiago
2021-06-19,-1824.9826559622607,5442.183575791736,1692.4144273390807,1010695,Huechuraba,Santiago
2021-06-12,-895.9841338495307,6493.638339446167,2597.689201416569,1010267,Huechuraba,Santiago
2021-06-13,-7091.288691309053,539.4291713533233,-3166.755884092608,1010267,Huechuraba,Santiago
2021-06-14,-2214.394996051873,5126.289726185271,1348.536797361176,1010267,Huechuraba,Santiago
2021-06-15,-759.1268126830141,6809.8120239475165,3231.6466697294645,1010267,Huechuraba,Santiago
2021-06-16,-148.26372021454966,6953.929997978906,3408.735440660604,1010267,Huechuraba,Santiago
2021-06-17,126.72856998803981,7332.339755773147,3537.4051528797745,1010267,Huechuraba,Santiago
2021-06-18,418.33638238117675,7744.964423117785,4000.358089510919,1010267,Huechuraba,Santiago
2021-06-19,-985.683084440131,6321.981398885752,2905.5632586926936,1010267,Huechuraba,Santiago
2021-06-12,1666.0239303058252,10874.797005824501,6236.5563873434485,1010078,Huechuraba,Santiago
2021-06-13,-5817.3174516570125,3861.509194795354,-842.5078788805777,1010078,Huechuraba,Santiago
2021-06-14,-1617.2919834277445,8006.578745231145,3255.3060317512295,1010078,Huechuraba,Santiago
2021-06-15,2670.6932223017616,11792.187826070474,7270.861389898376,1010078,Huechuraba,Santiago
2021-06-16,3973.0665148611142,13297.869503335118,8692.709443644515,1010078,Huechuraba,Santiago
2021-06-17,4379.641771906793,14384.457508106656,9316.095283999754,1010078,Huechuraba,Santiago
2021-06-18,6223.86678223297,15971.71537084667,11219.188364299785,1010078,Huechuraba,Santiago
2021-06-19,2399.584515572791,11807.941881440234,6962.0688370405205,1010078,Huechuraba,Santiago
2021-06-12,-239.00602754647744,999.441209707456,326.3181644879878,1010077,Huechuraba,Santiago
2021-06-13,-927.5986360779461,367.39763709462346,-260.5663351958832,1010077,Huechuraba,Santiago
2021-06-14,-568.1806433222661,697.0689522505672,48.13741858763595,1010077,Huechuraba,Santiago
2021-06-15,-494.4923365869562,760.8364881025541,150.62181062919223,1010077,Huechuraba,Santiago
2021-06-16,-465.90174667579885,808.7978951216966,147.77405286288365,1010077,Huechuraba,Santiago
2021-06-17,-314.6245834457697,918.1664220564074,299.975142387918,1010077,Huechuraba,Santiago
2021-06-18,-204.67956382288543,1037.3408644944984,418.85175829775017,1010077,Huechuraba,Santiago
2021-06-19,-245.24334622845467,950.7365421207535,383.7031188707693,1010077,Huechuraba,Santiago
2021-06-12,-2687.992734100472,5665.907405118926,1163.646227493088,1010048,Huechuraba,Santiago
2021-06-13,-7581.625030468741,839.8125243570486,-3505.724225319004,1010048,Huechuraba,Santiago
2021-06-14,-4499.567365726825,4076.9267080544873,-48.93354985265432,1010048,Huechuraba,Santiago
2021-06-15,-2405.796028655052,5741.561381887115,1460.1087329360844,1010048,Huechuraba,Santiago
2021-06-16,-1149.478541167282,7180.619135185201,2856.7585111645963,1010048,Huechuraba,Santiago
2021-06-17,-1101.0256270300567,7150.1844043453075,3165.278236852527,1010048,Huechuraba,Santiago
2021-06-18,-908.0940956602686,7276.059344569729,3209.272426692291,1010048,Huechuraba,Santiago
2021-06-19,-3040.327396091214,5778.737842456771,1512.1712478345569,1010048,Huechuraba,Santiago
2021-06-12,682.0535321452707,5434.409913183633,2887.8222258068167,1010002,Huechuraba,Santiago
2021-06-13,-4001.642335157812,841.6701535620766,-1618.881507515836,1010002,Huechuraba,Santiago
2021-06-14,-1239.076266594089,3550.9535114479904,1038.894816707721,1010002,Huechuraba,Santiago
2021-06-15,226.84303766623125,4913.665847832375,2634.5848551956306,1010002,Huechuraba,Santiago
2021-06-16,755.2482370895663,5775.311294697354,3338.424121666115,1010002,Huechuraba,Santiago
2021-06-17,1787.7672591035198,6670.316996121711,4314.024712656065,1010002,Huechuraba,Santiago
2021-06-18,3542.877500997971,8412.468812494375,5930.812258317032,1010002,Huechuraba,Santiago
2021-06-19,1358.8712950777353,6211.103978630202,3717.0899013208223,1010002,Huechuraba,Santiago
2021-06-12,117.07404224332537,2351.066920510189,1194.5412361998485,1020253,Lo Espejo,Santiago
2021-06-13,-501.6141091518489,1694.298233223285,609.5269651166516,1020253,Lo Espejo,Santiago
2021-06-14,-549.4473520039528,1704.1965106171888,521.5665484964363,1020253,Lo Espejo,Santiago
2021-06-15,-244.92003659096028,2000.9960589242505,900.4710794241441,1020253,Lo Espejo,Santiago
2021-06-16,-13.681701504009746,2264.0171565884352,1127.3101346153142,1020253,Lo Espejo,Santiago
2021-06-17,10.184501249005196,2256.004767339331,1114.7326535366938,1020253,Lo Espejo,Santiago
2021-06-18,96.95166298378832,2387.8913062308934,1232.1409055859342,1020253,Lo Espejo,Santiago
2021-06-19,51.625741463987616,2286.65689639839,1201.3432354324561,1020253,Lo Espejo,Santiago
2021-06-12,-284.4058891156688,614.5154904304087,186.06846220330095,1020042,Lo Espejo,Santiago
2021-06-13,-376.9965443440461,512.225550355534,65.54612021230339,1020042,Lo Espejo,Santiago
