Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1
2021-06-14,67.60838844516893,549.1327969597831,315.31024711244044,1020010,Antofagasta,Norte
2021-06-15,103.40893351665899,614.2883674382938,368.49764983563347,1020010,Antofagasta,Norte
2021-06-16,131.74512448819317,640.4616157000552,377.23971633869985,1020010,Antofagasta,Norte
2021-06-17,103.81302682629753,588.1772330460038,356.48465310106485,1020010,Antofagasta,Norte
2021-06-18,107.51535159938253,620.2856495309909,361.7202755726132,1020010,Antofagasta,Norte
2021-06-19,89.74079200300906,589.9097292800636,348.2212087603399,1020010,Antofagasta,Norte
2021-06-12,-15.759785897939755,248.87640182488607,111.66305848216595,1020003,Antofagasta,Norte
2021-06-13,-76.14173187693198,204.90571540483919,66.31837270646177,1020003,Antofagasta,Norte
2021-06-14,-55.959626788871695,209.16936516848216,78.92908955986584,1020003,Antofagasta,Norte
2021-06-15,-0.31419175158272544,268.80319042775204,135.63826331607606,1020003,Antofagasta,Norte
2021-06-16,-15.98734105542176,254.31482039002452,118.86469123098917,1020003,Antofagasta,Norte
2021-06-17,-49.25931443029658,240.01489566010255,89.90936698179904,1020003,Antofagasta,Norte
2021-06-18,-24.877171720774697,239.20640249442232,105.23973423103207,1020003,Antofagasta,Norte
2021-06-19,-39.54041082462791,238.6945831059626,104.25857724614636,1020003,Antofagasta,Norte
2021-06-12,-15.796612113005779,581.4240792624794,279.5868129742117,1020001,Antofagasta,Norte
2021-06-13,-83.19422752584087,488.61275402056503,207.79118996235897,1020001,Antofagasta,Norte
2021-06-14,-163.99286907071067,399.87475977481307,109.17511945019899,1020001,Antofagasta,Norte
2021-06-15,-156.5851179578082,402.41090571778864,126.2302003936881,1020001,Antofagasta,Norte
2021-06-16,-167.34818493967717,410.14234005287415,126.95610855881297,1020001,Antofagasta,Norte
2021-06-17,-162.5410788279906,418.43873040146485,121.10950805262328,1020001,Antofagasta,Norte
2021-06-18,-153.49125212185203,413.84066620162656,137.46137575661413,1020001,Antofagasta,Norte
2021-06-19,-139.45620819253412,481.362229312439,177.21748093625422,1020001,Antofagasta,Norte
2021-06-12,-168.0207736283926,409.670480329048,103.40744903757569,1010695,Antofagasta,Norte
2021-06-13,-185.3013913995857,391.15434012082284,89.94156586229154,1010695,Antofagasta,Norte
2021-06-14,-261.21275271172567,349.05667578843867,45.41236287146344,1010695,Antofagasta,Norte
2021-06-15,-139.19511007608722,439.3266144879622,143.80715016743903,1010695,Antofagasta,Norte
2021-06-16,-274.59805607597775,321.76513934321804,27.156618462921756,1010695,Antofagasta,Norte
2021-06-17,-148.11987233354307,450.39703069316533,136.2865245747989,1010695,Antofagasta,Norte
2021-06-18,-238.6276982629021,358.53767182127035,53.6603166413148,1010695,Antofagasta,Norte
2021-06-19,-236.7289519431886,385.25885423811656,80.4294867137737,1010695,Antofagasta,Norte
2021-06-12,270.49445545696904,1223.260516487768,745.9432226131596,1010267,Antofagasta,Norte
2021-06-13,314.12310427566445,1298.5920368495358,807.036388428465,1010267,Antofagasta,Norte
2021-06-14,186.21910246881637,1137.220973434089,691.0307902130133,1010267,Antofagasta,Norte
2021-06-15,456.4315399405738,1428.2379393525205,962.337635168495,1010267,Antofagasta,Norte
2021-06-16,396.1751531480144,1379.5813062951715,894.193056223703,1010267,Antofagasta,Norte
2021-06-17,255.87454526876905,1227.788530029563,765.8952520213367,1010267,Antofagasta,Norte
2021-06-18,399.97279899026864,1360.8283724141236,876.1453548346805,1010267,Antofagasta,Norte
2021-06-19,223.91685636904515,1209.4484828940265,725.416097574633,1010267,Antofagasta,Norte
2021-06-12,1099.547070446469,4823.173815999476,2996.4291509139075,1010078,Antofagasta,Norte
2021-06-13,-1233.811619383712,2597.4575614566934,766.1047460018958,1010078,Antofagasta,Norte
2021-06-14,194.2005833741884,4038.364780573997,2124.834643541639,1010078,Antofagasta,Norte
2021-06-15,1072.4041530670145,4883.51003481662,2982.413742338296,1010078,Antofagasta,Norte
2021-06-16,1065.9408214722198,4536.521407116597,2854.599822039886,1010078,Antofagasta,Norte
2021-06-17,1419.3806975462116,5042.649375471992,3137.3352227440632,1010078,Antofagasta,Norte
2021-06-18,1827.5531879318114,5501.138880802931,3653.380897573319,1010078,Antofagasta,Norte
2021-06-19,1265.5378878743795,4986.773444633719,3125.5315555082598,1010078,Antofagasta,Norte
2021-06-12,-4.099449139472927,251.54288733925551,125.36390016412548,1010077,Antofagasta,Norte
2021-06-13,-104.72955161143784,150.3214088454147,27.3507268256012,1010077,Antofagasta,Norte
2021-06-14,-50.44677505635808,205.02010157887426,76.03231472222454,1010077,Antofagasta,Norte
2021-06-15,-31.173442758579263,225.0330071306967,94.85284827562577,1010077,Antofagasta,Norte
2021-06-16,-2.9073912203061534,259.05908737350677,130.8399341691512,1010077,Antofagasta,Norte
2021-06-17,16.70061566551062,291.2676243542911,154.24259201522975,1010077,Antofagasta,Norte
2021-06-18,-1.0784645212217527,269.14455882381407,137.9847796137712,1010077,Antofagasta,Norte
2021-06-19,-8.911169788019746,254.4347315989515,121.27885793327135,1010077,Antofagasta,Norte
2021-06-12,-827.2291254433547,2062.901421293146,550.6305256937601,1010048,Antofagasta,Norte
2021-06-13,-1809.1688793020135,1192.5272986614814,-385.42214863364086,1010048,Antofagasta,Norte
2021-06-14,-1241.0554059601434,1652.7585214319158,193.56730289460745,1010048,Antofagasta,Norte
2021-06-15,-962.9200717759325,2079.0091383923345,531.5500262850398,1010048,Antofagasta,Norte
2021-06-16,-880.4649734436274,2069.0576832289494,541.0201359445991,1010048,Antofagasta,Norte
2021-06-17,-942.8946683847473,2020.3383556827266,536.4088974991494,1010048,Antofagasta,Norte
2021-06-18,-477.9713888522281,2536.989039863818,945.6023159424227,1010048,Antofagasta,Norte
2021-06-19,-1174.7861826260967,1989.061416648909,396.608465555723,1010048,Antofagasta,Norte
2021-06-12,-444.0118812507722,1158.9443389885428,379.12675322574495,1010002,Antofagasta,Norte
2021-06-13,-1011.4748523655451,595.7280203999999,-188.27709428203354,1010002,Antofagasta,Norte
2021-06-14,-673.9199954047211,986.9935249354711,116.47641648830961,1010002,Antofagasta,Norte
2021-06-15,-312.4475207976413,1327.5002723349587,456.90240859452774,1010002,Antofagasta,Norte
2021-06-16,-258.9879685679501,1403.674429175656,588.9446677127296,1010002,Antofagasta,Norte
2021-06-17,-225.27897639443577,1347.9387939054538,575.3395183811549,1010002,Antofagasta,Norte
2021-06-18,69.87784945146863,1679.6132274096972,844.6828650608272,1010002,Antofagasta,Norte
2021-06-19,-346.40279870781785,1341.8675355006471,511.80752383033297,1010002,Antofagasta,Norte
2021-06-12,-24.19978442070814,170.51155589589916,70.23727942157784,1020253,Arica,Norte
2021-06-13,-76.1144199797954,135.82215827928886,34.90049318960647,1020253,Arica,Norte
2021-06-14,-48.17626504816521,146.11627895616792,49.71546445642771,1020253,Arica,Norte
2021-06-15,-60.56525297685604,146.96178105102564,38.686661239130075,1020253,Arica,Norte
2021-06-16,-18.676864755772563,173.62185769709475,78.27162759265933,1020253,Arica,Norte
2021-06-17,-40.592571945152216,159.32829363707918,57.97334202144846,1020253,Arica,Norte
2021-06-18,-37.07195800344782,158.85190466999123,63.505891877593186,1020253,Arica,Norte
2021-06-19,-21.8148937120918,180.66640679617902,81.19276644336836,1020253,Arica,Norte
2021-06-12,37.04825876678418,604.4859257657066,323.25588695930065,1020027,Arica,Norte
2021-06-13,61.90334706977804,627.2578852404199,342.753120333393,1020027,Arica,Norte
2021-06-14,66.62249399255916,651.9054244470339,356.84734453101703,1020027,Arica,Norte
2021-06-15,52.71366610398116,640.5517372656384,349.83723124498295,1020027,Arica,Norte
2021-06-16,100.73298072821113,657.2597741464087,380.49377536665776,1020027,Arica,Norte
2021-06-17,44.266110528030964,626.3721503134716,339.6623769423801,1020027,Arica,Norte
2021-06-18,42.084807348973044,614.7028977073525,317.93182505500715,1020027,Arica,Norte
2021-06-19,28.67793019325095,565.5497191629983,293.62327621119306,1020027,Arica,Norte
2021-06-12,99.44122287924118,847.8858064726486,457.6609102468094,1020013,Arica,Norte
2021-06-13,351.8261638143962,1070.2355262589742,715.9095124540764,1020013,Arica,Norte
2021-06-14,117.13414770059633,845.7073458976878,482.8891934203204,1020013,Arica,Norte
2021-06-15,24.804145924441315,777.4360106700898,407.9622134951304,1020013,Arica,Norte
2021-06-16,76.97614472161611,840.5751686277553,464.0510768387331,1020013,Arica,Norte
2021-06-17,-5.660866546963205,764.965141270875,393.1957017233204,1020013,Arica,Norte
2021-06-18,116.87315814459924,853.794302143836,486.58070171877335,1020013,Arica,Norte
2021-06-19,90.99345865700447,828.8602342165212,457.5146942092654,1020013,Arica,Norte
2021-06-12,43.6120390547702,306.50730415417263,176.33834915746428,1020010,Arica,Norte
2021-06-13,-11.543186540881857,271.46458305914683,132.69850975123632,1020010,Arica,Norte
2021-06-14,4.316461363345181,288.1672687538433,145.71895739020314,1020010,Arica,Norte
2021-06-15,9.36322340020647,303.7533080887425,156.98071251075794,1020010,Arica,Norte
2021-06-16,48.95918500490273,335.73369309185586,196.30126313457131,1020010,Arica,Norte
2021-06-17,67.98305636708326,355.9201405076439,213.3052315969398,1020010,Arica,Norte
2021-06-18,68.69057698586336,350.0889165142434,206.6008470106156,1020010,Arica,Norte
2021-06-19,64.38467690548555,350.1212679585541,211.87577762900153,1020010,Arica,Norte
2021-06-11,-14.302214876707929,172.87177248594878,75.81717059594047,1020003,Arica,Norte
2021-06-12,3.9858503834129597,192.8474735742075,98.09229931953459,1020003,Arica,Norte
2021-06-13,-35.86107003865173,153.30267947511393,61.499995975920875,1020003,Arica,Norte
2021-06-14,-4.923681906196217,183.7479470051511,91.67261866636787,1020003,Arica,Norte
