ds,yhat_lower,yhat_upper,yhat,Material,Oficina de Ventas Unifica,Zona de ventas.1
2021-06-07,-223.8983397204223,1311.0679905121488,545.820124966752,1020253,Huechuraba,Santiago
2021-06-08,-137.50576683108565,1449.669684015405,705.8881592478361,1020253,Huechuraba,Santiago
2021-06-09,66.17007735948795,1638.6741507671052,832.4626426654723,1020253,Huechuraba,Santiago
2021-06-10,147.58157111639972,1762.999913737247,984.4317763939534,1020253,Huechuraba,Santiago
2021-06-11,245.91899213095772,1844.8058417505665,1028.9855472975237,1020253,Huechuraba,Santiago
2021-06-12,95.8798690051092,1651.5545137319052,875.3278694626414,1020253,Huechuraba,Santiago
2021-06-07,-648.6327173856299,285.2458154919097,-187.35661710950416,1020042,Huechuraba,Santiago
2021-06-08,-278.7146813725812,685.9595027084252,173.22683449235961,1020042,Huechuraba,Santiago
2021-06-09,-289.8751614407305,670.1776733323134,170.04092365326252,1020042,Huechuraba,Santiago
2021-06-10,-317.4311149703933,577.0565261922819,132.74208451874063,1020042,Huechuraba,Santiago
2021-06-11,-296.71098884539254,655.4789272521951,168.08278972085975,1020042,Huechuraba,Santiago
2021-06-12,-434.9304494451064,504.64477792769094,9.168689005795628,1020042,Huechuraba,Santiago
2021-06-07,-807.2497460403067,1532.817486423316,422.49359310319625,1020027,Huechuraba,Santiago
2021-06-08,-30.783239812351358,2313.3347719383614,1085.2097633345618,1020027,Huechuraba,Santiago
2021-06-09,260.8696930398629,2519.875674413445,1373.878885035033,1020027,Huechuraba,Santiago
2021-06-10,194.61273324638907,2477.4955031351055,1342.3528921605375,1020027,Huechuraba,Santiago
2021-06-11,184.47533898272127,2447.463426478366,1298.7095303359424,1020027,Huechuraba,Santiago
2021-06-12,-75.69577953739743,2236.8018955537514,1097.3641472979366,1020027,Huechuraba,Santiago
2021-06-07,-1959.8271659253862,3032.381119814721,560.0770124645012,1020013,Huechuraba,Santiago
2021-06-08,-945.7622226224994,4213.210043710797,1743.9256095510063,1020013,Huechuraba,Santiago
2021-06-09,-517.1418503949722,4562.372517367105,1962.9481947720444,1020013,Huechuraba,Santiago
2021-06-10,170.8953344314328,5301.325436680898,2652.442776438867,1020013,Huechuraba,Santiago
2021-06-11,-5.949908756674924,4954.4138649813385,2527.599847746038,1020013,Huechuraba,Santiago
2021-06-12,-890.7830984645756,4203.729781676989,1643.5825511364392,1020013,Huechuraba,Santiago
2021-06-07,-346.88475894878104,1855.7996331633642,695.4297565713329,1020010,Huechuraba,Santiago
2021-06-08,94.94374028449437,2296.60390242898,1236.0907071176919,1020010,Huechuraba,Santiago
2021-06-09,344.01006922961744,2550.8530318530043,1471.9380617478957,1020010,Huechuraba,Santiago
2021-06-10,516.2785632241533,2775.1078148727875,1586.7192922720537,1020010,Huechuraba,Santiago
2021-06-11,401.37988334290895,2734.299185970593,1556.0170678077468,1020010,Huechuraba,Santiago
2021-06-12,304.01572720357115,2553.4571862025014,1417.8838587418927,1020010,Huechuraba,Santiago
2021-06-07,-1031.866007242715,808.7014708476797,-126.76434567237095,1020003,Huechuraba,Santiago
2021-06-08,-718.8592411181337,1154.9343484016456,240.7357867002517,1020003,Huechuraba,Santiago
2021-06-09,-680.9849757635482,1246.7053805430241,307.93216288801005,1020003,Huechuraba,Santiago
2021-06-10,-349.16248234813094,1550.6030444926976,631.1551631704203,1020003,Huechuraba,Santiago
2021-06-11,-332.41879925223867,1517.6759632594867,590.302360325356,1020003,Huechuraba,Santiago
2021-06-12,-569.0529726813702,1341.2178094265128,380.95895305255783,1020003,Huechuraba,Santiago
2021-06-07,-723.9428984090521,1107.1224817450097,169.79721731485262,1020001,Huechuraba,Santiago
2021-06-08,-370.7611500512075,1397.8502910788372,530.9048356534281,1020001,Huechuraba,Santiago
2021-06-09,-401.2818531353112,1413.862033313331,506.1152467457264,1020001,Huechuraba,Santiago
2021-06-10,-372.94552453609754,1533.2322671424033,585.1171819595245,1020001,Huechuraba,Santiago
2021-06-11,-152.68584722272408,1689.0904677816382,811.703755074084,1020001,Huechuraba,Santiago
2021-06-12,-323.09167530184584,1556.1825153381108,599.9326929458665,1020001,Huechuraba,Santiago
2021-06-07,-2346.400706792691,4970.9757160608115,1244.5374464774377,1010695,Huechuraba,Santiago
2021-06-08,-1333.5667460043774,6246.167175782374,2425.7789966044,1010695,Huechuraba,Santiago
2021-06-09,-288.06664467904005,6698.279323648078,3245.416470019059,1010695,Huechuraba,Santiago
2021-06-10,-875.0596359635107,6319.233912366398,2749.9176677746873,1010695,Huechuraba,Santiago
2021-06-11,-1151.3057509573773,6129.665958185847,2555.2398510249113,1010695,Huechuraba,Santiago
2021-06-12,-2058.6792355264984,5296.779858985798,1655.001212880398,1010695,Huechuraba,Santiago
2021-06-07,-2394.514428336974,4789.684209747632,1069.5944222394446,1010267,Huechuraba,Santiago
2021-06-08,-590.0288428688607,6595.653384239319,2919.8587330771,1010267,Huechuraba,Santiago
2021-06-09,-520.8846678500911,6707.1340248547895,3047.475202559925,1010267,Huechuraba,Santiago
2021-06-10,-402.83390882283516,7008.333257859822,3147.1381191907158,1010267,Huechuraba,Santiago
2021-06-11,-141.3338003474941,7160.595422747838,3576.8782154254495,1010267,Huechuraba,Santiago
2021-06-12,-1236.3935512078558,6090.183933394489,2458.3542158872424,1010267,Huechuraba,Santiago
2021-06-07,-1639.9397480160249,7933.66764406924,3167.0046021792014,1010078,Huechuraba,Santiago
2021-06-08,2418.2066150050996,11733.483418033755,7093.5811313084105,1010078,Huechuraba,Santiago
2021-06-09,3493.9441046443076,13080.642194208425,8399.620737513615,1010078,Huechuraba,Santiago
2021-06-10,4147.027789225562,13189.814150006685,8933.31603912126,1010078,Huechuraba,Santiago
2021-06-11,6395.967332183049,15927.624586829994,10751.132437658072,1010078,Huechuraba,Santiago
2021-06-12,1721.4509560526415,11234.040233405698,6382.8146553371225,1010078,Huechuraba,Santiago
2021-06-07,-597.8834486794252,675.2745907837531,83.66135083766108,1010077,Huechuraba,Santiago
2021-06-08,-507.3577263141139,779.8247771374538,169.63513246641088,1010077,Huechuraba,Santiago
2021-06-09,-510.98065199678194,744.4095626512259,148.84032022286945,1010077,Huechuraba,Santiago
2021-06-10,-345.67062912917174,941.0778166527109,284.8515143421333,1010077,Huechuraba,Santiago
2021-06-11,-270.5915100016602,1048.3005033736729,388.98335068999376,1010077,Huechuraba,Santiago
2021-06-12,-300.11713873955875,976.0685883190598,337.39294325441756,1010077,Huechuraba,Santiago
2021-06-07,-4545.64156892018,4147.410727404516,-31.3409658826522,1010048,Huechuraba,Santiago
2021-06-08,-2679.584685450948,5526.149272292807,1392.321328380674,1010048,Huechuraba,Santiago
2021-06-09,-2007.0044809064668,6743.307145733772,2678.1857908331594,1010048,Huechuraba,Santiago
2021-06-10,-1239.0365516130746,7246.812948142681,2877.218515695438,1010048,Huechuraba,Santiago
2021-06-11,-1492.4063673167168,6932.864009380316,2816.610310331637,1010048,Huechuraba,Santiago
2021-06-12,-3129.1024156483304,5229.794884663736,1000.3253037563586,1010048,Huechuraba,Santiago
2021-06-07,-1750.846481435954,3238.376609075191,749.8067100624039,1010002,Huechuraba,Santiago
2021-06-08,-398.5088058125335,4640.7595451158695,2217.9681423873753,1010002,Huechuraba,Santiago
2021-06-09,493.85767856644384,5214.401123288348,2779.620178071585,1010002,Huechuraba,Santiago
2021-06-10,1147.1687400524524,6076.770764799066,3635.3913093806327,1010002,Huechuraba,Santiago
2021-06-11,2653.121888492682,7561.188831552014,5136.949516890652,1010002,Huechuraba,Santiago
2021-06-12,451.31163149408945,5273.2678268902655,2795.2349028568974,1010002,Huechuraba,Santiago
2021-06-07,-692.2340554151023,1711.5778812540702,479.782473208412,1020253,Lo Espejo,Santiago
2021-06-08,-344.1937979013182,2084.8963884268733,859.0416658266763,1020253,Lo Espejo,Santiago
2021-06-09,-8.71544406792772,2201.8359273498445,1081.0095157926175,1020253,Lo Espejo,Santiago
2021-06-10,-51.14549366777177,2158.5391057656766,1045.1545918895415,1020253,Lo Espejo,Santiago
2021-06-11,88.3393593747057,2261.4971790080203,1161.81102973218,1020253,Lo Espejo,Santiago
2021-06-12,-183.21042320000393,2180.2838514848613,1123.5357691046102,1020253,Lo Espejo,Santiago
2021-06-07,-502.94558926537877,427.8222652060401,-46.429694530384396,1020042,Lo Espejo,Santiago
2021-06-08,-252.49004239033496,700.1059991669873,235.2500466106481,1020042,Lo Espejo,Santiago
2021-06-09,-220.69615172239656,670.9359412441619,203.50638735365465,1020042,Lo Espejo,Santiago
2021-06-10,-276.1393816637411,641.1694195881323,190.90213281775522,1020042,Lo Espejo,Santiago
2021-06-11,-201.89315493034604,714.2471507527849,241.56427880561273,1020042,Lo Espejo,Santiago
2021-06-12,-278.26060764379696,641.1172130213575,179.6837779134752,1020042,Lo Espejo,Santiago
2021-06-07,-147.58114000378782,1827.1833203499327,880.138001075775,1020027,Lo Espejo,Santiago
2021-06-08,406.800368066141,2443.4134557132506,1414.9546217773777,1020027,Lo Espejo,Santiago
2021-06-09,600.5251141809829,2595.814037756506,1580.7614830227271,1020027,Lo Espejo,Santiago
2021-06-10,546.6028390309802,2523.378023890937,1508.8897258573336,1020027,Lo Espejo,Santiago
2021-06-11,705.873627524621,2655.3596380098597,1669.6445929889783,1020027,Lo Espejo,Santiago
2021-06-12,334.7073031162565,2305.994530227689,1296.5947789938994,1020027,Lo Espejo,Santiago
2021-06-07,-1503.9981354185652,3659.3263857319503,1084.3984421961195,1020013,Lo Espejo,Santiago
2021-06-08,-158.48132208587018,4680.285181669863,2266.1333694729815,1020013,Lo Espejo,Santiago
2021-06-09,501.7100803942647,5466.071142962196,2846.029840922588,1020013,Lo Espejo,Santiago
2021-06-10,467.3754602828339,5449.142562473517,3091.933659516799,1020013,Lo Espejo,Santiago
2021-06-11,324.7031565301932,5160.053323425283,2702.8932015333908,1020013,Lo Espejo,Santiago
2021-06-12,-201.5002701028421,4633.552792150512,2128.1862846156923,1020013,Lo Espejo,Santiago
2021-06-07,-336.9363805267885,2401.0828690399667,1031.8310199728812,1020010,Lo Espejo,Santiago
2021-06-08,346.2837299192777,2972.91732023395,1607.3615168952058,1020010,Lo Espejo,Santiago
