Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1
2021-06-11,183.3770889800573,1769.2154310060316,976.6978974767248,1020253,Huechuraba,Santiago
2021-06-12,-12.570751447766101,1630.96427535354,822.7596599898218,1020253,Huechuraba,Santiago
2021-06-13,-290.71167285853306,1322.0010242703613,554.914181319264,1020253,Huechuraba,Santiago
2021-06-14,-312.152041888441,1352.1264696505864,468.1351345708837,1020253,Huechuraba,Santiago
2021-06-15,-217.80391146789702,1384.9041590096529,624.8493488405564,1020253,Huechuraba,Santiago
2021-06-16,-67.54220561468739,1510.8166022655043,754.6609271440942,1020253,Huechuraba,Santiago
2021-06-17,123.55985864061047,1670.6101227680526,898.0509305122218,1020253,Huechuraba,Santiago
2021-06-11,-291.61375586857645,654.5036400488902,178.43019425681405,1020042,Huechuraba,Santiago
2021-06-12,-485.6213688968093,468.4252390643446,19.429400767930694,1020042,Huechuraba,Santiago
2021-06-13,-686.6973068471837,224.8640164033319,-230.15998797200848,1020042,Huechuraba,Santiago
2021-06-14,-639.9070549842877,294.14104689007826,-183.51550986900196,1020042,Huechuraba,Santiago
2021-06-15,-301.4563935286832,623.0150144973176,182.3943401737297,1020042,Huechuraba,Santiago
2021-06-16,-243.14469859299803,659.0280691724344,190.68212390180312,1020042,Huechuraba,Santiago
2021-06-17,-295.3140431074834,619.8339985451692,160.57367222409414,1020042,Huechuraba,Santiago
2021-06-11,89.15165573789504,2338.1670405391974,1213.2853603686003,1020027,Huechuraba,Santiago
2021-06-12,-100.28313928936818,2128.696917990172,1011.5424854725622,1020027,Huechuraba,Santiago
2021-06-13,-740.5082619626195,1517.660890239634,440.5654851039171,1020027,Huechuraba,Santiago
2021-06-14,-643.2216016135534,1717.9722262876978,489.2166014261543,1020027,Huechuraba,Santiago
2021-06-15,4.930096646480022,2226.3604792431247,1139.971758202001,1020027,Huechuraba,Santiago
2021-06-16,237.52213138921937,2564.9102175453963,1415.7408626528804,1020027,Huechuraba,Santiago
2021-06-17,243.01880938224326,2544.159783011702,1378.1979632218433,1020027,Huechuraba,Santiago
2021-06-11,127.641361510949,5132.612702369649,2538.659993868272,1020013,Huechuraba,Santiago
2021-06-12,-769.339026505039,4167.223456883776,1653.5763015230773,1020013,Huechuraba,Santiago
2021-06-13,-2625.1219009290653,2464.682762061906,-50.209006015071964,1020013,Huechuraba,Santiago
2021-06-14,-1790.2394210555303,3389.014966571914,773.430179769813,1020013,Huechuraba,Santiago
2021-06-15,-544.9775598322285,4270.172770012707,1964.1575127095798,1020013,Huechuraba,Santiago
2021-06-16,-107.4400824401838,4932.139050367859,2198.1864859516754,1020013,Huechuraba,Santiago
2021-06-17,465.4606642200513,5190.998590162664,2845.170359952188,1020013,Huechuraba,Santiago
2021-06-11,340.1857080875674,2629.746428597622,1527.83491366413,1020010,Huechuraba,Santiago
2021-06-12,217.2584934752027,2556.1321231227043,1389.2642006590095,1020010,Huechuraba,Santiago
2021-06-13,-1541.9352389104433,804.0311324725432,-363.0331711609649,1020010,Huechuraba,Santiago
2021-06-14,-163.89945755292194,2016.2279880073336,928.4334176317756,1020010,Huechuraba,Santiago
2021-06-15,426.28979331716977,2613.829360734392,1484.1753221485142,1020010,Huechuraba,Santiago
2021-06-16,669.8790833733997,2868.8442469652136,1732.0886991012053,1020010,Huechuraba,Santiago
2021-06-17,596.5999000230476,3014.1371641436867,1837.1919584143702,1020010,Huechuraba,Santiago
2021-06-11,-389.8214295903252,1455.2230375129345,580.7839241476095,1020003,Huechuraba,Santiago
2021-06-12,-584.1968904999119,1356.5483840582629,371.07802659604204,1020003,Huechuraba,Santiago
2021-06-13,-1040.5324476843493,933.2908804251506,2.6113667229428756,1020003,Huechuraba,Santiago
2021-06-14,-958.6648500612653,877.8728111424103,-41.26833801284417,1020003,Huechuraba,Santiago
2021-06-15,-607.5777674077005,1243.182574235419,320.86941656581223,1020003,Huechuraba,Santiago
2021-06-16,-537.5323861931879,1300.3320779873372,378.5892498290597,1020003,Huechuraba,Santiago
2021-06-17,-235.7011044106026,1619.946452647775,693.9336357063055,1020003,Huechuraba,Santiago
2021-06-11,-131.74062909031912,1686.562211046085,803.8673569687571,1020001,Huechuraba,Santiago
2021-06-12,-273.26710846511736,1533.3689001628384,591.9631038836012,1020001,Huechuraba,Santiago
2021-06-13,-1359.0171274358127,510.8083800189902,-429.50431857301436,1020001,Huechuraba,Santiago
2021-06-14,-792.6773355411024,1145.0795081561496,194.17555817225997,1020001,Huechuraba,Santiago
2021-06-15,-314.34696635455,1510.1233715688054,553.3939905737706,1020001,Huechuraba,Santiago
2021-06-16,-375.1778549223716,1471.471330639142,529.3345595112343,1020001,Huechuraba,Santiago
2021-06-17,-286.7296229178917,1518.2775190803602,609.0766231450066,1020001,Huechuraba,Santiago
2021-06-11,-1497.962955655137,6070.278880020557,2418.961447594738,1010695,Huechuraba,Santiago
2021-06-12,-2318.6250229280395,5174.184188772677,1517.1443775315938,1010695,Huechuraba,Santiago
2021-06-13,-2438.1689876735454,5388.72467364989,1573.860411856445,1010695,Huechuraba,Santiago
2021-06-14,-2659.627456876977,4426.243367409675,1118.1621532796341,1010695,Huechuraba,Santiago
2021-06-15,-1038.7564814626533,6102.07540447861,2337.553943842655,1010695,Huechuraba,Santiago
2021-06-16,-354.55149337341163,6908.081458171677,3192.74955463162,1010695,Huechuraba,Santiago
2021-06-17,-1001.3152037291968,6429.151961256649,2714.0684575175646,1010695,Huechuraba,Santiago
2021-06-11,-238.64308427367305,7228.600670201671,3609.769467875426,1010267,Huechuraba,Santiago
2021-06-12,-1253.9051722309393,6245.144807380663,2491.9160024398643,1010267,Huechuraba,Santiago
2021-06-13,-6857.925433606881,462.98337375626824,-3113.599597473819,1010267,Huechuraba,Santiago
