Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1,Tipo de cliente
2021-06-22,-263.2787241250931,993.760732272958,392.54767662639716,1020253,Huechuraba,Santiago,Tradicional
2021-06-23,-121.71745731503192,1116.2077776553701,515.709698949037,1020253,Huechuraba,Santiago,Tradicional
2021-06-24,-91.08172761852988,1217.133479395847,546.2130644829402,1020253,Huechuraba,Santiago,Tradicional
2021-06-25,49.2449271543051,1349.1519237706332,689.7970932158518,1020253,Huechuraba,Santiago,Tradicional
2021-06-26,-76.41990309625652,1153.998950585346,555.2838119829105,1020253,Huechuraba,Santiago,Tradicional
2021-06-22,-132.25393073029335,695.021224584712,281.5691704368005,1020042,Huechuraba,Santiago,Tradicional
2021-06-23,-105.40747050765974,745.4067854152698,319.57459454050695,1020042,Huechuraba,Santiago,Tradicional
2021-06-24,-148.36196544706425,649.6051387256958,249.00518028786428,1020042,Huechuraba,Santiago,Tradicional
2021-06-25,-114.44944770975353,766.2720126464923,313.71156203392917,1020042,Huechuraba,Santiago,Tradicional
2021-06-26,-212.96433871056968,611.558695888874,189.87465626053054,1020042,Huechuraba,Santiago,Tradicional
2021-06-22,-22.38743067373649,1785.808180702566,907.9107019413827,1020027,Huechuraba,Santiago,Tradicional
2021-06-23,212.3906001646823,1960.9110061512124,1061.2387007675275,1020027,Huechuraba,Santiago,Tradicional
2021-06-24,96.75178911975068,1904.4939216990247,1015.8141415783045,1020027,Huechuraba,Santiago,Tradicional
2021-06-25,118.21244631188462,1930.9757568907708,1034.61996378181,1020027,Huechuraba,Santiago,Tradicional
2021-06-26,18.426145379379008,1791.5175818872972,864.8189815444388,1020027,Huechuraba,Santiago,Tradicional
2021-06-22,93.69278292483898,4288.284641565793,2181.8020332510355,1020013,Huechuraba,Santiago,Tradicional
2021-06-23,-51.378078834220474,4430.63891194047,2174.512563702326,1020013,Huechuraba,Santiago,Tradicional
2021-06-24,439.9420279530009,4739.311187790473,2547.1634786850773,1020013,Huechuraba,Santiago,Tradicional
2021-06-25,294.14092877769633,4697.790339958573,2578.6691511037643,1020013,Huechuraba,Santiago,Tradicional
2021-06-26,-169.69877967076087,4217.910265976395,1974.9971206199848,1020013,Huechuraba,Santiago,Tradicional
2021-06-22,817.9005871214802,2780.6647099176744,1808.5700951048782,1020010,Huechuraba,Santiago,Tradicional
2021-06-23,925.0752339986053,2984.786526800702,1967.4156174069199,1020010,Huechuraba,Santiago,Tradicional
2021-06-24,1022.5022056006746,3029.147136152211,2028.0007628851813,1020010,Huechuraba,Santiago,Tradicional
2021-06-25,966.7588574276774,2996.1315837399607,1972.8962737853135,1020010,Huechuraba,Santiago,Tradicional
2021-06-26,806.8500199729779,2831.022519548276,1794.2943755133472,1020010,Huechuraba,Santiago,Tradicional
2021-06-22,-328.88632624437105,1153.7687479653518,390.69001572710977,1020003,Huechuraba,Santiago,Tradicional
2021-06-23,-339.3014022587676,1192.5447537981136,441.3069092397057,1020003,Huechuraba,Santiago,Tradicional
2021-06-24,-130.37022076670343,1419.6536517845923,646.3472027134235,1020003,Huechuraba,Santiago,Tradicional
2021-06-25,-38.26127565677283,1341.9726772329652,648.5370075025893,1020003,Huechuraba,Santiago,Tradicional
2021-06-26,-323.9364689369752,1129.043590745136,411.99958573209744,1020003,Huechuraba,Santiago,Tradicional
2021-06-22,-208.36189145487054,1399.8713545670485,620.7007147627576,1020001,Huechuraba,Santiago,Tradicional
2021-06-23,-199.07196787621922,1391.671585797313,618.3854071568774,1020001,Huechuraba,Santiago,Tradicional
2021-06-24,-191.47721084694223,1424.0521086357353,633.4116051829046,1020001,Huechuraba,Santiago,Tradicional
2021-06-25,-0.7431691761612178,1623.9203123893485,818.360682583695,1020001,Huechuraba,Santiago,Tradicional
2021-06-26,-187.60236331716646,1536.4535760659794,650.3109448525474,1020001,Huechuraba,Santiago,Tradicional
2021-06-22,-494.9277119154705,4350.488185349487,1844.1968420636501,1010695,Huechuraba,Santiago,Tradicional
2021-06-23,113.11921957665317,5212.782875199165,2663.495515535385,1010695,Huechuraba,Santiago,Tradicional
2021-06-24,-183.5366843501628,4719.314750958952,2361.55784943469,1010695,Huechuraba,Santiago,Tradicional
2021-06-25,-485.32611977136276,4609.222078842321,2015.2486005685496,1010695,Huechuraba,Santiago,Tradicional
2021-06-26,-682.1452820577132,4376.248017935468,1792.3795417682427,1010695,Huechuraba,Santiago,Tradicional
2021-06-22,-1392.8207681254798,3518.006358072415,1072.045262646717,1010267,Huechuraba,Santiago,Tradicional
2021-06-23,-1118.1516774650906,3573.4667500953074,1246.4645412473576,1010267,Huechuraba,Santiago,Tradicional
2021-06-24,-941.2008772907592,3975.1385932358453,1478.2553175649741,1010267,Huechuraba,Santiago,Tradicional
2021-06-25,-422.75987585626245,4296.9837282887,1979.966359017228,1010267,Huechuraba,Santiago,Tradicional
2021-06-26,-965.8072293271166,3892.098893954826,1474.5007724466686,1010267,Huechuraba,Santiago,Tradicional
2021-06-22,3048.6440242203917,10382.8187234828,6635.633519479189,1010078,Huechuraba,Santiago,Tradicional
2021-06-23,3706.9488798689663,11352.617702655862,7595.815738178586,1010078,Huechuraba,Santiago,Tradicional
2021-06-24,4119.384850868923,11688.357098620849,7860.635134946095,1010078,Huechuraba,Santiago,Tradicional
2021-06-25,6321.240328357808,13964.429503017216,10037.423732437159,1010078,Huechuraba,Santiago,Tradicional
2021-06-26,2580.478675818731,10123.345993915262,6352.305449239204,1010078,Huechuraba,Santiago,Tradicional
2021-06-22,-342.2234087337236,769.5194423083657,222.9519770265305,1010077,Huechuraba,Santiago,Tradicional
2021-06-23,-301.30160282447486,841.8832058617387,240.6826478252974,1010077,Huechuraba,Santiago,Tradicional
2021-06-24,-182.92033880867106,958.4764448699128,398.1678599593474,1010077,Huechuraba,Santiago,Tradicional
2021-06-25,-41.18092833141928,1112.1927379575923,515.2311378755421,1010077,Huechuraba,Santiago,Tradicional
2021-06-26,-101.68519179239257,1038.2992378508932,476.9610562110985,1010077,Huechuraba,Santiago,Tradicional
2021-06-22,-1260.8463645792092,4301.755355642445,1414.9612880517668,1010048,Huechuraba,Santiago,Tradicional
2021-06-23,-919.6993895560448,4881.254948702198,1933.4553152546541,1010048,Huechuraba,Santiago,Tradicional
2021-06-24,-558.5545758605289,5168.398335899642,2188.116899143391,1010048,Huechuraba,Santiago,Tradicional
2021-06-25,353.2642022020749,5955.04849616028,3263.1223375864693,1010048,Huechuraba,Santiago,Tradicional
2021-06-26,-631.3333987502374,4922.275892561456,2100.4286546495514,1010048,Huechuraba,Santiago,Tradicional
2021-06-22,1423.987933074208,4811.276918107547,2992.4848317367305,1010002,Huechuraba,Santiago,Tradicional
2021-06-23,1303.5542654835986,4650.15276683415,2949.8091648880136,1010002,Huechuraba,Santiago,Tradicional
2021-06-24,2135.2615434003383,5654.484408273491,3883.6923839333685,1010002,Huechuraba,Santiago,Tradicional
2021-06-25,3598.5364973251476,6996.645418650825,5387.715217969232,1010002,Huechuraba,Santiago,Tradicional
2021-06-26,2521.7366249244474,5939.455099030415,4150.946384183933,1010002,Huechuraba,Santiago,Tradicional
2021-06-22,-652.7382093441453,550.8798340713081,-70.31000439931658,1020253,Huechuraba,Santiago,Grandes Clientes
2021-06-23,-737.2601150196577,404.81560352679094,-144.06084960541463,1020253,Huechuraba,Santiago,Grandes Clientes
2021-06-24,-401.6156404645524,776.9684459071036,187.45437721134707,1020253,Huechuraba,Santiago,Grandes Clientes
2021-06-25,-706.5981424726313,464.44521469876173,-129.0433140298265,1020253,Huechuraba,Santiago,Grandes Clientes
2021-06-26,-750.9634325494802,415.1248392000452,-159.92079690819733,1020253,Huechuraba,Santiago,Grandes Clientes
2021-06-22,-323.25652112472426,706.6401339533712,190.26203957811012,1020027,Huechuraba,Santiago,Grandes Clientes
2021-06-23,-251.76729322075056,742.9564001251875,250.68296623115702,1020027,Huechuraba,Santiago,Grandes Clientes
2021-06-24,-224.6181442305222,768.8752928892918,266.30869708996715,1020027,Huechuraba,Santiago,Grandes Clientes
2021-06-25,-319.58889871350146,700.2665451306813,178.66931535827945,1020027,Huechuraba,Santiago,Grandes Clientes
2021-06-26,-420.4943228577552,583.9788317089367,105.5892869785701,1020027,Huechuraba,Santiago,Grandes Clientes
2021-06-22,-527.7549233072045,1309.101433849711,378.75851949105515,1020013,Huechuraba,Santiago,Grandes Clientes
2021-06-23,-431.5104094080482,1282.6690146351498,448.5603976702843,1020013,Huechuraba,Santiago,Grandes Clientes
2021-06-24,-82.73785264930835,1659.1153702215377,768.4003850266677,1020013,Huechuraba,Santiago,Grandes Clientes
2021-06-25,-356.65215993031046,1463.7919344008292,551.39866037575,1020013,Huechuraba,Santiago,Grandes Clientes
