Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Sector,Tipo de cliente
2021-06-22,5746.537879425778,13174.138755942096,9526.953586702875,1020253,Cerdo,Tradicional
2021-06-23,7224.91973804243,15009.318313468913,11208.609111220969,1020253,Cerdo,Tradicional
2021-06-24,8230.795028612012,15545.34358939094,11861.653716004905,1020253,Cerdo,Tradicional
2021-06-25,9622.420296963584,16700.922142197738,13323.719653751772,1020253,Cerdo,Tradicional
2021-06-26,7586.756079371015,14898.311068121817,11340.451442861833,1020253,Cerdo,Tradicional
2021-06-22,1673.99621616766,5315.27305491308,3437.669781962362,1020042,Cerdo,Tradicional
2021-06-23,1374.4245248382124,4854.487213811236,3085.6257982938578,1020042,Cerdo,Tradicional
2021-06-24,1714.7265979851973,5207.078273020223,3409.1779521326007,1020042,Cerdo,Tradicional
2021-06-25,2028.9239225379993,5407.935759696528,3714.946496160843,1020042,Cerdo,Tradicional
2021-06-26,1550.6679552730357,4969.939240625402,3204.1745207196414,1020042,Cerdo,Tradicional
2021-06-22,9056.093215764091,19104.013122086908,14100.077623323474,1020027,Cerdo,Tradicional
2021-06-23,9810.82897881414,19686.470473681515,14870.900018813649,1020027,Cerdo,Tradicional
2021-06-24,10995.065453806443,20588.051791119105,15784.61383654791,1020027,Cerdo,Tradicional
2021-06-25,11253.570552854615,21374.881559085054,16256.032421284104,1020027,Cerdo,Tradicional
2021-06-26,7770.457127893099,17268.53221140715,12742.764844872794,1020027,Cerdo,Tradicional
2021-06-22,24937.217464980797,47181.36334649924,35769.27683635752,1020013,Cerdo,Tradicional
2021-06-23,28253.733672261144,51811.501178390405,40231.58879099087,1020013,Cerdo,Tradicional
2021-06-24,30519.476809376305,52441.60905939196,41524.4809799051,1020013,Cerdo,Tradicional
2021-06-25,36469.42657402851,58683.65107361163,47016.72872286127,1020013,Cerdo,Tradicional
2021-06-26,24162.704951039133,46484.69192142548,34760.38176132129,1020013,Cerdo,Tradicional
2021-06-22,19896.7850103985,31383.879276486266,25462.000138831434,1020010,Cerdo,Tradicional
2021-06-23,20701.906451391274,32644.054878359264,26550.88095525135,1020010,Cerdo,Tradicional
2021-06-24,21557.75858309956,33025.58632672761,27340.633357386847,1020010,Cerdo,Tradicional
2021-06-25,22668.978104240865,34621.50489302276,28545.35193961802,1020010,Cerdo,Tradicional
2021-06-26,19945.000390530553,31767.749041206134,25705.190904195282,1020010,Cerdo,Tradicional
2021-06-22,1104.3831523242002,9265.218322198083,5132.81595545546,1020003,Cerdo,Tradicional
2021-06-23,2146.3904164322007,9808.738197953262,5899.945499552991,1020003,Cerdo,Tradicional
2021-06-24,3237.6710353894814,10944.063310259882,7207.969680520971,1020003,Cerdo,Tradicional
2021-06-25,3432.822488099008,11245.860759189947,7329.630816022165,1020003,Cerdo,Tradicional
2021-06-26,2415.911834496947,10083.646178889841,6235.442311863401,1020003,Cerdo,Tradicional
2021-06-22,8201.02414324144,16255.263577244923,12362.692302028603,1020001,Cerdo,Tradicional
2021-06-23,8551.761417242544,16658.15714531294,12654.3299858488,1020001,Cerdo,Tradicional
2021-06-24,9083.790760058933,17466.705268096306,13440.44111469635,1020001,Cerdo,Tradicional
2021-06-25,10846.969287241316,19164.918418292662,15046.748127891806,1020001,Cerdo,Tradicional
2021-06-26,8928.340607767654,16595.056903857956,12825.480254752621,1020001,Cerdo,Tradicional
2021-06-22,-32.58897044734655,11477.99771627148,5809.104426213206,1010695,Pollo,Tradicional
2021-06-23,2302.721232052789,13601.061904977178,7862.59479838058,1010695,Pollo,Tradicional
2021-06-24,2419.286927355277,13599.245422657332,7956.821108576678,1010695,Pollo,Tradicional
2021-06-25,1836.0433283572845,13938.317000592806,7788.855680928258,1010695,Pollo,Tradicional
2021-06-26,667.1662522426415,12051.814937200797,6304.83561185277,1010695,Pollo,Tradicional
2021-06-22,7265.082441801506,24297.899562184928,16106.515388943748,1010267,Pollo,Tradicional
2021-06-23,6807.856169931046,23732.858256229,15598.600892857126,1010267,Pollo,Tradicional
2021-06-24,8564.504745076969,25606.996806669846,16893.862877541516,1010267,Pollo,Tradicional
2021-06-25,10957.307835408617,28392.568811025005,19654.299165810953,1010267,Pollo,Tradicional
2021-06-26,6291.186834240973,23682.405540921718,14801.774384834212,1010267,Pollo,Tradicional
2021-06-22,83306.49348800814,134935.11212380612,107957.9099404006,1010078,Pollo,Tradicional
2021-06-23,87175.12207615408,142101.0917606736,114329.16508081228,1010078,Pollo,Tradicional
2021-06-24,100542.78192798005,153432.31454632175,126205.16640175616,1010078,Pollo,Tradicional
2021-06-25,120143.81748277061,173744.22023106497,146391.0581523212,1010078,Pollo,Tradicional
2021-06-26,78665.02212574564,131930.4832590692,106114.70629059167,1010078,Pollo,Tradicional
2021-06-22,1723.5082161620778,7168.19194976701,4330.730276381863,1010077,Pollo,Tradicional
2021-06-23,2937.780694734537,8039.532115871562,5378.87699499733,1010077,Pollo,Tradicional
2021-06-24,3492.5597035866754,9056.15497574937,6429.105559960326,1010077,Pollo,Tradicional
2021-06-25,4076.5912787598772,9416.597059567512,6708.414762617876,1010077,Pollo,Tradicional
2021-06-26,2716.0894297633854,7933.332913423492,5302.24423091424,1010077,Pollo,Tradicional
2021-06-22,8179.658123202228,37862.9509189107,23843.620449782964,1010048,Pollo,Tradicional
2021-06-23,14515.99644306435,43686.20066681985,28422.47084669625,1010048,Pollo,Tradicional
2021-06-24,18065.081603471262,47605.54188577761,32422.090164377783,1010048,Pollo,Tradicional
2021-06-25,26766.243861284278,54644.368594479005,40929.64346218516,1010048,Pollo,Tradicional
2021-06-26,12977.351385321648,41317.76450729988,27380.266406361865,1010048,Pollo,Tradicional
2021-06-22,16670.920555022916,33534.616922098976,25312.22373948507,1010002,Pollo,Tradicional
2021-06-23,18669.315068457803,35123.52716590196,27396.98247121132,1010002,Pollo,Tradicional
2021-06-24,24539.910121437035,41330.10692715633,32952.71678972149,1010002,Pollo,Tradicional
2021-06-25,31415.14159320983,48748.7767730831,40307.48736166927,1010002,Pollo,Tradicional
2021-06-26,22272.850758539887,39378.27449545827,31123.990800502834,1010002,Pollo,Tradicional
2021-06-22,-95.79201516396456,941.4480908335962,423.76088259537494,1020253,Cerdo,Industriales
2021-06-23,-94.74268847145466,930.8747167967764,420.6948423107974,1020253,Cerdo,Industriales
2021-06-24,-16.809960778972137,1013.6176382150767,496.56730959569825,1020253,Cerdo,Industriales
2021-06-25,7.511905978737314,979.8151528456023,491.60008152309774,1020253,Cerdo,Industriales
2021-06-26,-239.47480140732523,779.2838395336607,263.4166882706888,1020253,Cerdo,Industriales
2021-06-22,898.7232782229872,2252.1584571731896,1580.6893953857511,1020042,Cerdo,Industriales
2021-06-23,730.4963193836613,2126.364291101923,1377.7241642306662,1020042,Cerdo,Industriales
2021-06-24,639.7363216926102,2001.419756944883,1339.8434673450463,1020042,Cerdo,Industriales
2021-06-25,1401.309960207205,2776.7863168366166,2088.618922551358,1020042,Cerdo,Industriales
2021-06-26,411.6993552578809,1761.160616380714,1099.8512933497911,1020042,Cerdo,Industriales
2021-06-22,-352.28240253805325,1184.2431918792902,430.53532297799353,1020027,Cerdo,Industriales
2021-06-23,-308.6621638856013,1125.5761384274242,377.75168816409325,1020027,Cerdo,Industriales
2021-06-24,-496.3929182387183,1037.545193836551,307.77641195894165,1020027,Cerdo,Industriales
2021-06-25,-446.73484760518386,1099.5027934123473,322.4162393191309,1020027,Cerdo,Industriales
2021-06-26,-530.0254139779753,1047.304610690019,246.83353247478044,1020027,Cerdo,Industriales
2021-06-22,-960.4911710628938,2812.6419363509685,862.2756609297376,1020013,Cerdo,Industriales
2021-06-23,-1039.8158594583708,2803.799788717616,934.593635564103,1020013,Cerdo,Industriales
