Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Sector,Tipo de cliente
2021-06-12,6406.265109423661,13533.990483823478,9947.250821012904,1020253,Cerdo,Tradicional
2021-06-13,24.276411481347708,7373.453502854245,3799.199531263579,1020253,Cerdo,Tradicional
2021-06-14,3677.006284934044,10776.902322317761,7040.4348770051365,1020253,Cerdo,Tradicional
2021-06-15,4470.37045778601,11689.0551961796,8256.586062839418,1020253,Cerdo,Tradicional
2021-06-16,5976.4939606487715,13600.180251002275,9845.337274691192,1020253,Cerdo,Tradicional
2021-06-17,6794.028230819673,14024.547578934733,10460.38132990619,1020253,Cerdo,Tradicional
2021-06-18,8490.003442783813,15515.839670713543,11966.022070423229,1020253,Cerdo,Tradicional
2021-06-19,6600.266902066456,13552.320216516668,10044.292978193515,1020253,Cerdo,Tradicional
2021-06-12,853.7179134400319,4300.232883818059,2475.1558534461533,1020042,Cerdo,Tradicional
2021-06-13,-3401.689154334295,-38.17598785645443,-1728.8551561167765,1020042,Cerdo,Tradicional
2021-06-14,-255.37377409872934,3105.7054534761937,1348.5650188042882,1020042,Cerdo,Tradicional
2021-06-15,1219.5812424754129,4563.480522083197,2833.744307656176,1020042,Cerdo,Tradicional
2021-06-16,739.640027965643,4122.191564629226,2456.225328138706,1020042,Cerdo,Tradicional
2021-06-17,1012.866390998353,4463.544301792464,2791.5370718299164,1020042,Cerdo,Tradicional
2021-06-18,1563.8328129958272,4799.362062083192,3120.5729392912167,1020042,Cerdo,Tradicional
2021-06-19,849.4545903565871,4242.203315019373,2636.1731878960413,1020042,Cerdo,Tradicional
2021-06-12,8839.709245771222,18632.69594141649,13984.3053538762,1020027,Cerdo,Tradicional
2021-06-13,-2481.552012466849,7245.253812339685,2267.929089554682,1020027,Cerdo,Tradicional
2021-06-14,4361.2687276444985,14622.475014899428,9437.54909145318,1020027,Cerdo,Tradicional
2021-06-15,10090.293951214935,19836.492147334426,14878.872622346471,1020027,Cerdo,Tradicional
2021-06-16,10542.48354068944,20673.80156589246,15772.484089655503,1020027,Cerdo,Tradicional
2021-06-17,11947.378008931246,21741.56261102755,16759.736816725206,1020027,Cerdo,Tradicional
2021-06-18,12371.557560940804,22267.97227086539,17313.271694109662,1020027,Cerdo,Tradicional
2021-06-19,8844.563690242698,18796.98550080157,13955.291820214825,1020027,Cerdo,Tradicional
2021-06-12,21826.053371603433,45146.12130597049,34144.43728017183,1020013,Cerdo,Tradicional
2021-06-13,-8984.958153984486,14052.660745947855,2377.3969459102445,1020013,Cerdo,Tradicional
2021-06-14,12302.00974712455,35723.00806036115,23795.601993196527,1020013,Cerdo,Tradicional
2021-06-15,22891.168836005774,46224.14402547993,34421.1210007235,1020013,Cerdo,Tradicional
2021-06-16,28394.42965669286,49945.60237988852,39334.750810467835,1020013,Cerdo,Tradicional
2021-06-17,29273.121125631293,52214.998338627076,40843.12075837912,1020013,Cerdo,Tradicional
2021-06-18,35424.37183719613,58619.58980815661,46558.61264435056,1020013,Cerdo,Tradicional
2021-06-19,22595.42769606385,46284.019796478264,34606.121863993445,1020013,Cerdo,Tradicional
2021-06-12,16099.011098465118,27417.21961351814,21436.33797590453,1020010,Cerdo,Tradicional
2021-06-13,2730.5529273918983,14328.7821080034,8362.561821582967,1020010,Cerdo,Tradicional
2021-06-14,11615.191819283033,22772.237813695603,16991.617359302847,1020010,Cerdo,Tradicional
2021-06-15,16074.20532352132,28200.279085364073,22298.835581370724,1020010,Cerdo,Tradicional
2021-06-16,18132.67400290006,29722.236352357224,23591.100543472785,1020010,Cerdo,Tradicional
2021-06-17,18847.64134096927,30671.33142598037,24566.422415404097,1020010,Cerdo,Tradicional
2021-06-18,19751.570927377597,31567.49528223525,26018.3569720246,1020010,Cerdo,Tradicional
2021-06-19,17187.435689049755,29299.974266076344,23513.103070571127,1020010,Cerdo,Tradicional
2021-06-12,1241.038697765542,9405.26627193121,5395.3396799625425,1020003,Cerdo,Tradicional
2021-06-13,-3503.3180938551745,4152.480480398511,309.29062433977197,1020003,Cerdo,Tradicional
2021-06-14,-1737.9237165092225,6014.527311217881,2240.659720868587,1020003,Cerdo,Tradicional
2021-06-15,398.06861890643233,8715.895610693333,4492.393595421834,1020003,Cerdo,Tradicional
2021-06-16,1480.6695746332691,9498.018511527984,5351.892192715244,1020003,Cerdo,Tradicional
2021-06-17,2661.182297663942,10556.294758802705,6715.808878049826,1020003,Cerdo,Tradicional
2021-06-18,2946.686753110933,10960.570569721802,6913.270847655673,1020003,Cerdo,Tradicional
2021-06-19,2035.6418876143864,9859.98704608844,5896.251867604633,1020003,Cerdo,Tradicional
2021-06-12,7971.1098396508005,15912.15794065812,11791.86515740634,1020001,Cerdo,Tradicional
2021-06-13,-1120.6516890038563,7029.547639687851,2933.324922921557,1020001,Cerdo,Tradicional
2021-06-14,4075.1889302833033,11781.754372388606,7701.96764916736,1020001,Cerdo,Tradicional
2021-06-15,6708.024856709673,14662.999882512095,10874.869238658684,1020001,Cerdo,Tradicional
2021-06-16,7108.521233975035,15483.97455077638,11340.358371725764,1020001,Cerdo,Tradicional
2021-06-17,8479.949538707386,16343.754189662379,12268.476761269372,1020001,Cerdo,Tradicional
2021-06-18,10000.08024348599,18079.215236583073,14049.828065318356,1020001,Cerdo,Tradicional
2021-06-19,7926.734138573319,16116.511996155636,12023.913986789637,1020001,Cerdo,Tradicional
2021-06-12,1724.1127754370725,13023.363871653748,7103.807397889433,1010695,Pollo,Tradicional
2021-06-13,-5149.542775757768,5607.429261345365,208.85885923129354,1010695,Pollo,Tradicional
2021-06-14,-1323.0231814060103,9654.860838038661,4178.388499252829,1010695,Pollo,Tradicional
2021-06-15,783.1614666109274,12229.723423313038,6537.300362537601,1010695,Pollo,Tradicional
2021-06-16,3283.27477572629,14374.560862238404,8493.775971398354,1010695,Pollo,Tradicional
