Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1
2021-06-22,-104.64843980000563,1512.9047275441046,695.2563439786337,1020253,Huechuraba,Santiago
2021-06-23,90.86045953008343,1581.0531429348641,817.3384610580168,1020253,Huechuraba,Santiago
2021-06-24,224.80019451862483,1795.0849772065394,968.2042584710084,1020253,Huechuraba,Santiago
2021-06-25,200.9448937057907,1784.6145016600665,1015.5070325366166,1020253,Huechuraba,Santiago
2021-06-26,41.417832043236174,1623.951621097757,854.4048269495105,1020253,Huechuraba,Santiago
2021-06-22,-169.61319634137854,755.1225781075833,296.4628398347211,1020042,Huechuraba,Santiago
2021-06-23,-143.05107452013206,804.0130437950844,315.2563671211339,1020042,Huechuraba,Santiago
2021-06-24,-199.0815845529842,774.5890202332799,282.26050927445345,1020042,Huechuraba,Santiago
2021-06-25,-126.63163176844995,803.3600477903818,324.8376281741811,1020042,Huechuraba,Santiago
2021-06-26,-299.30907983878615,599.1148425319212,172.64678774987362,1020042,Huechuraba,Santiago
2021-06-22,-84.50103474575057,2299.0146483762246,1134.2949348978514,1020027,Huechuraba,Santiago
2021-06-23,180.3769777268815,2482.737895867998,1373.7227991129976,1020027,Huechuraba,Santiago
2021-06-24,208.43786932381477,2432.348539672422,1321.7636188002816,1020027,Huechuraba,Santiago
2021-06-25,108.06109609290928,2432.5342487350076,1241.8826918990858,1020027,Huechuraba,Santiago
2021-06-26,-108.32070684844672,2226.9725870880993,1010.1455921164641,1020027,Huechuraba,Santiago
2021-06-22,-330.0302938043825,4966.707416907918,2297.7603747971943,1020013,Huechuraba,Santiago
2021-06-23,-101.94438558755093,4930.480254215403,2497.5661122957163,1020013,Huechuraba,Santiago
2021-06-24,390.2217949812254,5598.156501656923,3095.185964057052,1020013,Huechuraba,Santiago
2021-06-25,594.620423076162,5764.117805047137,3009.0500016565197,1020013,Huechuraba,Santiago
2021-06-26,-480.7436984685995,4648.972778697855,1994.4092122872505,1020013,Huechuraba,Santiago
2021-06-22,1069.6203122061288,3367.0530617034547,2232.3769341019647,1020010,Huechuraba,Santiago
2021-06-23,1323.0264669321825,3572.888710516872,2444.9051925151725,1020010,Huechuraba,Santiago
2021-06-24,1438.8811102827124,3669.0183840514887,2537.4536892341876,1020010,Huechuraba,Santiago
2021-06-25,1235.1718133608788,3652.5924961349283,2455.068576646464,1020010,Huechuraba,Santiago
2021-06-26,1077.6579685600825,3298.20816810515,2206.271182418882,1020010,Huechuraba,Santiago
2021-06-22,-566.1032541902368,1312.8589170772743,431.5808012973723,1020003,Huechuraba,Santiago
2021-06-23,-541.8054771437069,1383.0097557964832,476.24507403573074,1020003,Huechuraba,Santiago
2021-06-24,-134.46825846562592,1827.047367999372,785.7121497452154,1020003,Huechuraba,Santiago
2021-06-25,-212.5032249822201,1764.4433303178234,731.3147583324164,1020003,Huechuraba,Santiago
2021-06-26,-338.5361334169428,1485.4259527321547,510.36138703217847,1020003,Huechuraba,Santiago
2021-06-22,-236.44461572193592,1637.4289897197284,688.2860897412528,1020001,Huechuraba,Santiago
2021-06-23,-224.42276290495056,1613.538768074618,651.8709102141138,1020001,Huechuraba,Santiago
2021-06-24,-133.483683986753,1664.437743072344,720.613465333839,1020001,Huechuraba,Santiago
2021-06-25,-0.15542586328305827,1886.8523646776305,931.1536204435567,1020001,Huechuraba,Santiago
2021-06-26,-202.68599694308114,1661.0847694618128,709.4235843948841,1020001,Huechuraba,Santiago
2021-06-22,-964.7437585956778,6393.625918385124,2668.6613010194637,1010695,Huechuraba,Santiago
2021-06-23,-192.26943032538847,7522.724863837649,3548.6301529165203,1010695,Huechuraba,Santiago
2021-06-24,-682.0370442328617,6840.031032851818,3088.2228652672607,1010695,Huechuraba,Santiago
2021-06-25,-717.0392331892203,6759.6487270985535,3053.989561497255,1010695,Huechuraba,Santiago
2021-06-26,-1489.978746320781,5971.505667052932,2117.9635536529177,1010695,Huechuraba,Santiago
2021-06-22,-321.63962934846154,6880.607013780056,3370.791276423242,1010267,Huechuraba,Santiago
2021-06-23,-212.45979977471566,7208.790783636982,3545.919933124321,1010267,Huechuraba,Santiago
2021-06-24,-102.07577883522458,7621.295623114327,3655.0177610116475,1010267,Huechuraba,Santiago
2021-06-25,419.96832560375935,7604.64748662375,4091.7444091786597,1010267,Huechuraba,Santiago
2021-06-26,-814.266012163394,6256.687391824075,2967.9779807102527,1010267,Huechuraba,Santiago
2021-06-22,3312.801539372893,13102.217784545006,8203.871345157613,1010078,Huechuraba,Santiago
2021-06-23,4761.275528292263,14929.516445215337,9672.96176626657,1010078,Huechuraba,Santiago
2021-06-24,5820.711163168403,15100.352010797655,10305.541072386033,1010078,Huechuraba,Santiago
2021-06-25,7450.5255624704605,16577.906301079318,12199.125173380084,1010078,Huechuraba,Santiago
