Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1,Tipo de cliente,Semana
2021-07-05,996.4432410494438,4133.351061202681,2532.1323710884926,1020253,,Santiago,Tradicional,27
2021-07-06,1659.2341331911296,4780.001659198734,3155.9521654646396,1020253,,Santiago,Tradicional,27
2021-07-07,1855.8162652963154,5063.456885119473,3497.5102400833553,1020253,,Santiago,Tradicional,27
2021-07-08,2175.6132731730286,5380.458735723796,3793.2787168098284,1020253,,Santiago,Tradicional,27
2021-07-09,2546.002848020598,5890.625461219759,4143.984938381705,1020253,,Santiago,Tradicional,27
2021-07-10,2051.013398385425,5300.991967863635,3673.890240998245,1020253,,Santiago,Tradicional,27
2021-07-05,-576.485070233494,914.0422668110286,156.84613411359044,1020042,,Santiago,Tradicional,27
2021-07-06,-83.89526447721857,1388.0841466297732,667.5348481362913,1020042,,Santiago,Tradicional,27
2021-07-07,124.47927985457414,1555.9515616056412,827.5495321546963,1020042,,Santiago,Tradicional,27
2021-07-08,-71.6235781691254,1349.0945160955296,605.4720371696575,1020042,,Santiago,Tradicional,27
2021-07-09,194.17813615912823,1633.417919075006,884.6867716904752,1020042,,Santiago,Tradicional,27
2021-07-10,-243.76373480426162,1237.6694417513208,494.8445274234122,1020042,,Santiago,Tradicional,27
2021-07-05,-468.7194104464113,2783.144727532941,1193.3285320775976,1020027,,Santiago,Tradicional,27
2021-07-06,1108.0765954969274,4291.601205254038,2675.3482206576227,1020027,,Santiago,Tradicional,27
2021-07-07,1512.0414711923463,4756.986586585332,3076.6538984309536,1020027,,Santiago,Tradicional,27
2021-07-08,1350.313594475088,4533.731070622357,3008.4829166225622,1020027,,Santiago,Tradicional,27
2021-07-09,1590.8225454260623,4760.04639317091,3180.195143090374,1020027,,Santiago,Tradicional,27
2021-07-10,918.9265585812556,4178.389241823625,2520.015171168502,1020027,,Santiago,Tradicional,27
2021-07-05,-1519.9361992515744,6155.69302817332,2280.9735799350237,1020013,,Santiago,Tradicional,27
2021-07-06,1088.378607296244,8613.995196907594,4791.504149930781,1020013,,Santiago,Tradicional,27
2021-07-07,1922.5842395092727,9540.642154972065,5545.827937606404,1020013,,Santiago,Tradicional,27
2021-07-08,2155.2296886238146,9458.371228808288,5885.787271773554,1020013,,Santiago,Tradicional,27
2021-07-09,2072.4907723877477,9688.139809564675,5996.197529706275,1020013,,Santiago,Tradicional,27
2021-07-10,975.9959693316681,8431.328327698766,4769.062891163465,1020013,,Santiago,Tradicional,27
2021-07-05,953.2974581467039,5355.078714146907,3157.3601492351827,1020010,,Santiago,Tradicional,27
2021-07-06,2169.8388008963293,6817.426045374224,4347.286643478507,1020010,,Santiago,Tradicional,27
2021-07-07,2672.004784366311,7050.831406477659,4901.307804993089,1020010,,Santiago,Tradicional,27
2021-07-08,2588.3122875945214,7166.353614970301,4933.468863483831,1020010,,Santiago,Tradicional,27
2021-07-09,2650.092237133303,7130.956874731237,4750.144823124702,1020010,,Santiago,Tradicional,27
2021-07-10,2152.975357074355,6250.585783837519,4287.5477885407,1020010,,Santiago,Tradicional,27
