Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Sector
2021-06-11,12020.792379648254,20819.347691436928,16362.465771076735,1020253,Cerdo
2021-06-12,8836.862577765956,17703.77809813936,13360.443015284558,1020253,Cerdo
2021-06-13,1676.052554910987,11056.994651227678,6303.194323440183,1020253,Cerdo
2021-06-14,5603.247499229614,15070.3915738673,10386.701704543422,1020253,Cerdo
2021-06-15,7599.855365309085,16993.171635102168,12425.170827908025,1020253,Cerdo
2021-06-16,9400.889567043145,18576.476412235686,13969.462669907227,1020253,Cerdo
2021-06-17,10124.594140576153,19360.119734693155,14928.00438479317,1020253,Cerdo
2021-06-11,3495.0584795654727,8314.80929695002,5913.521243376687,1020042,Cerdo
2021-06-12,1619.9129184612386,6559.9698099856705,3959.985931348461,1020042,Cerdo
2021-06-13,-5555.390862764276,-721.1371580716876,-3167.9923971716407,1020042,Cerdo
2021-06-14,298.761211934427,5191.991908610032,2728.2809880595632,1020042,Cerdo
2021-06-15,2160.1885775635014,7008.042529924982,4738.957760880717,1020042,Cerdo
2021-06-16,1878.185623028439,6698.497007367134,4311.90656320624,1020042,Cerdo
2021-06-17,2365.1916182478594,7217.665567842302,4810.479703569279,1020042,Cerdo
2021-06-11,15548.860506801273,27760.47246200074,21556.418992650484,1020027,Cerdo
2021-06-12,11557.037056710655,23877.84871466443,17638.863755028164,1020027,Cerdo
2021-06-13,-2897.5049649629814,8268.71459781111,2702.264349898094,1020027,Cerdo
2021-06-14,5848.3278719590035,18565.88868642503,12531.544889705667,1020027,Cerdo
2021-06-15,12955.01292303413,24648.895918877606,18775.04274329317,1020027,Cerdo
2021-06-16,13761.904624647092,26155.769429881537,19786.974300389025,1020027,Cerdo
2021-06-17,14457.562249514525,26511.343544895768,20560.700112216757,1020027,Cerdo
2021-06-11,43950.765946005864,74144.042173918,58797.87862673249,1020013,Cerdo
2021-06-12,28475.248965229508,57890.84454403284,43261.316191729406,1020013,Cerdo
2021-06-13,-16495.359968553654,14378.331382899341,-1177.1125641589242,1020013,Cerdo
2021-06-14,11660.21115355909,42544.38447545829,27892.69264994639,1020013,Cerdo
2021-06-15,26267.576942832256,56420.21893326507,41490.44571217165,1020013,Cerdo
2021-06-16,34531.13270764557,64629.81397062332,49036.050014214525,1020013,Cerdo
2021-06-17,36535.30399746966,66991.7566502869,51323.293542677675,1020013,Cerdo
2021-06-11,23377.78146286315,39851.87387145613,31426.234099529996,1020010,Cerdo
2021-06-12,18432.575888828203,35071.63113145515,26306.09524964984,1020010,Cerdo
2021-06-13,785.9266097843467,17244.047175802392,8877.487015530558,1020010,Cerdo
2021-06-14,14056.603569380513,30689.512186716147,22719.635999829527,1020010,Cerdo
2021-06-15,20831.75626228772,37275.49357840105,29513.424088281994,1020010,Cerdo
2021-06-16,22472.902583327028,38654.783948754855,30905.356652957464,1020010,Cerdo
2021-06-17,24288.40600496856,41133.49944607837,32759.931127447824,1020010,Cerdo
2021-06-11,2509.8098843384396,13250.204415753944,7984.02169171728,1020003,Cerdo
2021-06-12,1349.8293760621882,11852.345931690354,6450.198849722311,1020003,Cerdo
2021-06-13,-6131.472996267376,4349.280030486887,-1216.7113083793056,1020003,Cerdo
2021-06-14,-2131.0406819484892,7688.400687972438,2602.849984736384,1020003,Cerdo
2021-06-15,367.7323222771042,10911.458098665591,5528.127883783299,1020003,Cerdo
2021-06-16,1807.1951089896743,11564.887185178415,6973.353792892553,1020003,Cerdo
2021-06-17,3564.464924589716,13462.376326221844,8203.2833612962,1020003,Cerdo
2021-06-11,10518.444006452433,20430.39392361851,15470.668863188854,1020001,Cerdo
2021-06-12,8178.847199419406,18007.28932550871,13189.288073363969,1020001,Cerdo
2021-06-13,-2260.006284137186,7341.370193197202,2463.2390636172713,1020001,Cerdo
2021-06-14,3733.064580245237,13673.679716221597,8668.641393382835,1020001,Cerdo
2021-06-15,7282.200310061785,17163.230474977856,11956.948285899085,1020001,Cerdo
2021-06-16,7805.840126557994,17230.831384561836,12602.101291297538,1020001,Cerdo
2021-06-17,8735.083025194279,18613.660261431163,13595.700667213701,1020001,Cerdo
2021-06-11,5384.371229755596,23887.608976186242,14460.589966752457,1010695,Pollo
2021-06-12,1754.1192222290192,20607.93967028029,10829.8626801868,1010695,Pollo
2021-06-13,-7600.545518875509,9929.609911217569,1289.2017255409883,1010695,Pollo
2021-06-14,-2254.7578344128647,16333.770910119758,7281.83045018157,1010695,Pollo
2021-06-15,2376.4197612287912,20783.58386488039,11708.931009166437,1010695,Pollo
2021-06-16,5122.72912688014,23323.98795544148,14275.134656264723,1010695,Pollo
2021-06-17,4428.844866435293,22682.096084290268,13867.257243249614,1010695,Pollo
2021-06-11,29507.40684154761,60736.51689377993,44743.92271400595,1010267,Pollo
2021-06-12,12253.92406368527,41582.59322433152,26588.402968891904,1010267,Pollo
2021-06-13,-18425.09082180519,9431.919796667957,-4040.38890399049,1010267,Pollo
2021-06-14,13872.707195789337,44388.29730823985,29217.475958847837,1010267,Pollo
2021-06-15,32793.27061956804,63068.439937445095,47547.885072044235,1010267,Pollo
2021-06-16,29177.40312536709,57860.552023532364,43656.91364286035,1010267,Pollo
2021-06-17,28483.255641341235,58284.85729226175,43144.29689849984,1010267,Pollo
2021-06-11,130054.423077384,201662.49014014448,166036.47692013788,1010078,Pollo
2021-06-12,80546.32482201628,148985.73865537485,115539.26212010773,1010078,Pollo
2021-06-13,-20578.991486965628,47609.484116165,14264.681740697517,1010078,Pollo
2021-06-14,50168.86739961894,121625.89914465816,87064.9527812688,1010078,Pollo
2021-06-15,91930.6876947159,156505.32603052596,123637.23369523819,1010078,Pollo
2021-06-16,99307.30168913672,168234.1261745244,133410.92711297958,1010078,Pollo
2021-06-17,109143.84481791822,180852.9039311544,145240.17354939977,1010078,Pollo
2021-06-11,3766.568473527422,9787.053328402008,6912.978534549762,1010077,Pollo
2021-06-12,2046.8477145999059,7867.360057288736,4911.143809965499,1010077,Pollo
2021-06-13,-4381.024576715111,1418.3066233252014,-1596.827916938354,1010077,Pollo
2021-06-14,11.119615060716752,5993.574940438611,3023.816191105886,1010077,Pollo
2021-06-15,1720.6815932221414,7658.406223256244,4673.028905375671,1010077,Pollo
2021-06-16,2563.8186713860464,8700.993467024427,5606.207654802764,1010077,Pollo
2021-06-17,3647.2275738371477,9572.289958599069,6516.330512011971,1010077,Pollo
2021-06-11,23373.371295743433,65077.1766218235,45106.943355553376,1010048,Pollo
2021-06-12,3743.233373644161,46039.1913201534,25055.318879895916,1010048,Pollo
2021-06-13,-44197.77592036192,-3604.485471086776,-23638.605273460926,1010048,Pollo
2021-06-14,-7877.467807505271,32401.076354930323,13168.692738358051,1010048,Pollo
2021-06-15,8807.54128090102,49101.98536696425,28267.269012430716,1010048,Pollo
2021-06-16,14632.104461306337,56383.6913177351,34498.88203945074,1010048,Pollo
2021-06-17,17723.465065844346,59206.520662746894,38359.618375154474,1010048,Pollo
2021-06-11,24717.756952475724,46228.88981647622,35293.83533188389,1010002,Pollo
2021-06-12,11186.99545140343,33475.430872842684,22354.35256884182,1010002,Pollo
2021-06-13,-21555.470535697306,1578.4385079791407,-10051.71051817802,1010002,Pollo
2021-06-14,304.0585899503683,22875.610090274953,10960.31121447419,1010002,Pollo
2021-06-15,10450.09554115686,32701.41933848606,21861.555753663142,1010002,Pollo
2021-06-16,14819.204445647578,36707.36385267391,25420.882934857676,1010002,Pollo
2021-06-17,19928.709893085826,42447.04441879191,31171.88031295473,1010002,Pollo
