Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1,Tipo de cliente,Semana
2021-06-26,2950.635753257532,7380.339331811394,5031.505899921564,1020010,,Santiago,Tradicional,25
2021-06-22,-361.9327922301981,2747.6302123372943,1265.2784730585297,1020003,,Santiago,Tradicional,25
2021-06-23,136.27331617708808,3354.4419803676337,1693.6038829743027,1020003,,Santiago,Tradicional,25
2021-06-24,392.1772715580662,3534.000439259375,1985.268209498844,1020003,,Santiago,Tradicional,25
2021-06-25,406.7426852691554,3616.915512606345,1931.2887833415284,1020003,,Santiago,Tradicional,25
2021-06-26,19.22267621643208,3258.6203766089648,1695.3446818571801,1020003,,Santiago,Tradicional,25
2021-06-22,1715.4745220051448,4755.580756823767,3268.8241002624163,1020001,,Santiago,Tradicional,25
2021-06-23,1633.2595437691216,4695.6470662365045,3135.061986274665,1020001,,Santiago,Tradicional,25
2021-06-24,1765.7688581381328,4762.998760270388,3243.4828213218157,1020001,,Santiago,Tradicional,25
2021-06-25,2404.079990668256,5452.052701252634,3925.329586351562,1020001,,Santiago,Tradicional,25
2021-06-26,1658.3174405450814,4621.168846528553,3157.756687450855,1020001,,Santiago,Tradicional,25
2021-06-22,405.8657577799895,7229.892567796915,3771.550071255629,1010695,,Santiago,Tradicional,25
2021-06-23,1566.5971305679968,8885.839826722953,5096.853340357135,1010695,,Santiago,Tradicional,25
2021-06-24,1297.364687878889,8729.431710402752,4974.607306391239,1010695,,Santiago,Tradicional,25
2021-06-25,1062.3139766703841,7835.064653133792,4295.179140710625,1010695,,Santiago,Tradicional,25
2021-06-26,894.2107749513261,7820.370650318491,4303.684715578091,1010695,,Santiago,Tradicional,25
2021-06-22,1308.9827522394107,9978.934084682638,5700.438329870867,1010267,,Santiago,Tradicional,25
2021-06-23,1232.160211625853,10088.505946717529,5664.014872571618,1010267,,Santiago,Tradicional,25
2021-06-24,1665.4900029626474,11239.919423108602,6276.903335574332,1010267,,Santiago,Tradicional,25
2021-06-25,3169.166010980231,12069.371344981011,7561.470926167575,1010267,,Santiago,Tradicional,25
2021-06-26,1121.2553050058996,10067.95373919058,5481.482869911637,1010267,,Santiago,Tradicional,25
2021-06-22,17308.263857684684,35933.410186323366,26544.456071995053,1010078,,Santiago,Tradicional,25
2021-06-23,18566.597846422497,37695.28516739579,27996.25706579794,1010078,,Santiago,Tradicional,25
2021-06-24,20886.812213993788,40915.121919822195,31182.329707112876,1010078,,Santiago,Tradicional,25
2021-06-25,25856.831879930498,44758.37107124092,35215.38043993901,1010078,,Santiago,Tradicional,25
2021-06-26,17060.854290498595,35382.52486403366,26104.194902195417,1010078,,Santiago,Tradicional,25
2021-06-22,-591.6316362991814,1710.3287491820417,570.233216742698,1010077,,Santiago,Tradicional,25
2021-06-23,-212.94843981320435,2130.495190166483,915.8938324337197,1010077,,Santiago,Tradicional,25
2021-06-24,38.56226661201046,2319.59668020809,1154.4575768938978,1010077,,Santiago,Tradicional,25
2021-06-25,384.33781426665985,2564.4240133426797,1418.7170324509445,1010077,,Santiago,Tradicional,25
2021-06-26,113.48320910731626,2346.9425086194083,1253.5458972410383,1010077,,Santiago,Tradicional,25
2021-06-22,1323.8793283592365,12996.211976560995,7137.645884665885,1010048,,Santiago,Tradicional,25
2021-06-23,2138.8042221962196,13738.807359956183,7810.09215922277,1010048,,Santiago,Tradicional,25
2021-06-24,3200.935914640018,14927.989232249576,9014.737801148674,1010048,,Santiago,Tradicional,25
2021-06-25,6387.846716037406,17952.068721367537,12167.517146086955,1010048,,Santiago,Tradicional,25
2021-06-26,2750.3012052633467,14157.520877615501,8402.577209984895,1010048,,Santiago,Tradicional,25
2021-06-22,6003.267768347882,13515.343021607665,10031.116334197877,1010002,,Santiago,Tradicional,25
2021-06-23,6269.751010344069,14359.791904204054,10336.864904920858,1010002,,Santiago,Tradicional,25
2021-06-24,8727.530223676826,16479.623082435395,12403.65044985111,1010002,,Santiago,Tradicional,25
2021-06-25,13070.472339844619,20955.882884853254,16917.448088950045,1010002,,Santiago,Tradicional,25
2021-06-26,9409.477150265142,17068.32949220021,13182.141253079782,1010002,,Santiago,Tradicional,25
2021-06-22,-918.2826210008225,960.9459983106318,6.20951988488423,1020253,,Santiago,Grandes Clientes,25
2021-06-23,-908.9832400159412,956.2620422086833,11.508991345223933,1020253,,Santiago,Grandes Clientes,25
2021-06-24,-412.30052241437494,1399.9623700192421,489.19920910707503,1020253,,Santiago,Grandes Clientes,25
2021-06-25,-855.5855019656614,1021.7559911016257,51.58848319606872,1020253,,Santiago,Grandes Clientes,25
2021-06-26,-959.9753535985014,949.5460888862788,27.137292993860285,1020253,,Santiago,Grandes Clientes,25
2021-06-22,-264.084879163404,664.7560772446488,184.27577110677748,1020042,,Santiago,Grandes Clientes,25
2021-06-23,-313.88522627168936,573.3530403898887,131.5828750050086,1020042,,Santiago,Grandes Clientes,25
2021-06-24,-225.5064845946029,710.8325211388747,232.6769029109867,1020042,,Santiago,Grandes Clientes,25
2021-06-25,-334.69273208189446,581.9964286584799,131.7265867526653,1020042,,Santiago,Grandes Clientes,25
2021-06-22,35.003954476737086,1815.4147300320371,958.5012998816267,1020027,,Santiago,Grandes Clientes,25
2021-06-23,155.72885010317358,2103.746798066432,1120.048887972489,1020027,,Santiago,Grandes Clientes,25
2021-06-24,183.0205041702227,2025.5451855653148,1066.133034432608,1020027,,Santiago,Grandes Clientes,25
2021-06-25,149.5513301492241,2027.5350955447736,1083.7252405416198,1020027,,Santiago,Grandes Clientes,25
2021-06-26,-164.02467663172058,1747.4272213224233,829.6494505924875,1020027,,Santiago,Grandes Clientes,25
2021-06-22,-1641.4713227036689,4670.918162051396,1553.8821579925507,1020013,,Santiago,Grandes Clientes,25
2021-06-23,-891.5378146216151,5836.8871365664545,2538.259587512967,1020013,,Santiago,Grandes Clientes,25
2021-06-24,-840.0326454839771,5938.83178847096,2751.7465853479493,1020013,,Santiago,Grandes Clientes,25
2021-06-25,-1020.602313157786,5305.66712062053,2059.870652971699,1020013,,Santiago,Grandes Clientes,25
