ds,yhat_lower,yhat_upper,yhat,Material,Oficina de Ventas Unifica,Zona de ventas.1
2021-06-10,-924.649068162518,6683.103128303138,2749.9176677746873,1010695,Huechuraba,Santiago
2021-06-11,-1258.0103343911087,6159.27821905028,2555.2398510249113,1010695,Huechuraba,Santiago
2021-06-12,-2016.2862928607406,5529.014610808768,1655.001212880398,1010695,Huechuraba,Santiago
2021-06-07,-2707.941196186246,4788.166590587007,1069.5944222394446,1010267,Huechuraba,Santiago
2021-06-08,-784.2885197845566,6834.156037749378,2919.8587330771,1010267,Huechuraba,Santiago
2021-06-09,-673.9065247758606,6896.155238228059,3047.475202559925,1010267,Huechuraba,Santiago
2021-06-10,-663.4538386197504,7031.810882345452,3147.1381191907158,1010267,Huechuraba,Santiago
2021-06-11,-61.07401148891958,7321.525979792972,3576.8782154254495,1010267,Huechuraba,Santiago
2021-06-12,-1292.1003598165817,6079.038297558004,2458.3542158872424,1010267,Huechuraba,Santiago
2021-06-07,-1301.3659395674963,8060.249016408121,3167.0046021792014,1010078,Huechuraba,Santiago
2021-06-08,2499.5109372133797,11596.646940203094,7093.5811313084105,1010078,Huechuraba,Santiago
2021-06-09,3941.785234988268,13259.632017994445,8399.620737513615,1010078,Huechuraba,Santiago
2021-06-10,3846.0571203798404,13912.347049156708,8933.31603912126,1010078,Huechuraba,Santiago
2021-06-11,5933.016621515697,15435.21835773172,10751.132437658072,1010078,Huechuraba,Santiago
2021-06-12,1490.1973057497862,11201.977941430983,6382.8146553371225,1010078,Huechuraba,Santiago
2021-06-07,-559.2752153074305,727.0799244330362,83.66135083766108,1010077,Huechuraba,Santiago
2021-06-08,-424.5155353268844,860.4701834852879,169.63513246641088,1010077,Huechuraba,Santiago
2021-06-09,-449.1385124205686,799.9427796425264,148.84032022286945,1010077,Huechuraba,Santiago
2021-06-10,-351.32226091722214,892.180017710275,284.8515143421333,1010077,Huechuraba,Santiago
2021-06-11,-259.4046771307728,1076.4042115486786,388.98335068999376,1010077,Huechuraba,Santiago
2021-06-12,-262.1189480827011,962.2872843696073,337.39294325441756,1010077,Huechuraba,Santiago
2021-06-07,-4643.760914154997,4408.173542948735,-31.3409658826522,1010048,Huechuraba,Santiago
2021-06-08,-2831.648639947695,5534.7146715747685,1392.321328380674,1010048,Huechuraba,Santiago
2021-06-09,-1801.9162173429072,7105.635796256221,2678.1857908331594,1010048,Huechuraba,Santiago
2021-06-10,-1346.3927208937753,7086.260912350885,2877.218515695438,1010048,Huechuraba,Santiago
2021-06-11,-1502.5968173560575,7226.2274076366,2816.610310331637,1010048,Huechuraba,Santiago
2021-06-12,-3257.941565812217,5483.390032834271,1000.3253037563586,1010048,Huechuraba,Santiago
2021-06-07,-1684.5717014541472,3066.797138387657,749.8067100624039,1010002,Huechuraba,Santiago
2021-06-08,-201.5280796314836,4639.447494508967,2217.9681423873753,1010002,Huechuraba,Santiago
2021-06-09,283.9208556899068,5387.4121799427385,2779.620178071585,1010002,Huechuraba,Santiago
2021-06-10,1209.8722206650923,6155.097604820522,3635.3913093806327,1010002,Huechuraba,Santiago
2021-06-11,2592.5117726788035,7536.596121822109,5136.949516890652,1010002,Huechuraba,Santiago
2021-06-12,504.01171562813533,5242.3920976128,2795.2349028568974,1010002,Huechuraba,Santiago
2021-06-07,-718.612475201749,1606.6392693255077,479.782473208412,1020253,Lo Espejo,Santiago
2021-06-08,-297.1883107417522,1937.0821789004324,859.0416658266763,1020253,Lo Espejo,Santiago
2021-06-09,-64.61733792370445,2151.412783455999,1081.0095157926175,1020253,Lo Espejo,Santiago
2021-06-10,-31.809171562206814,2265.5414910846657,1045.1545918895415,1020253,Lo Espejo,Santiago
2021-06-11,30.884483528044978,2347.444340757726,1161.81102973218,1020253,Lo Espejo,Santiago
2021-06-12,-56.69303827875771,2264.8577085813577,1123.5357691046102,1020253,Lo Espejo,Santiago
2021-06-07,-507.7790868219179,406.5239485221756,-46.429694530384396,1020042,Lo Espejo,Santiago
2021-06-08,-202.61935253834218,699.7099279638269,235.2500466106481,1020042,Lo Espejo,Santiago
2021-06-09,-257.5960014078615,668.8886066693218,203.50638735365465,1020042,Lo Espejo,Santiago
2021-06-10,-229.37494430548492,643.6247327501927,190.90213281775522,1020042,Lo Espejo,Santiago
2021-06-11,-226.7222061233686,708.6538993027448,241.56427880561273,1020042,Lo Espejo,Santiago
2021-06-12,-260.9875584817126,624.4654949756305,179.6837779134752,1020042,Lo Espejo,Santiago
2021-06-07,-115.83573261996862,1831.6606099012827,880.138001075775,1020027,Lo Espejo,Santiago
2021-06-08,500.3959768056916,2331.436340014351,1414.9546217773777,1020027,Lo Espejo,Santiago
2021-06-09,675.4462192458138,2540.8315243990814,1580.7614830227271,1020027,Lo Espejo,Santiago
2021-06-10,544.767884055755,2470.0983652320165,1508.8897258573336,1020027,Lo Espejo,Santiago
2021-06-11,582.650259897766,2685.393377356274,1669.6445929889783,1020027,Lo Espejo,Santiago
2021-06-12,362.5283923831544,2204.3792702173573,1296.5947789938994,1020027,Lo Espejo,Santiago
2021-06-07,-1246.5289644023524,3800.13586524655,1084.3984421961195,1020013,Lo Espejo,Santiago
2021-06-08,-233.12378999652833,4709.417112846888,2266.1333694729815,1020013,Lo Espejo,Santiago
2021-06-09,342.46387094203305,5369.258981309891,2846.029840922588,1020013,Lo Espejo,Santiago
2021-06-10,411.8940093307802,5559.288714774441,3091.933659516799,1020013,Lo Espejo,Santiago
2021-06-11,242.57718852538736,5105.761973922132,2702.8932015333908,1020013,Lo Espejo,Santiago
2021-06-12,-402.79802967955175,4603.457666005771,2128.1862846156923,1020013,Lo Espejo,Santiago
2021-06-07,-373.93151882656576,2393.258135466998,1031.8310199728812,1020010,Lo Espejo,Santiago
2021-06-08,222.36344120633206,2863.4652168895223,1607.3615168952058,1020010,Lo Espejo,Santiago
2021-06-09,716.4225149605702,3511.758782319454,2115.825021771927,1020010,Lo Espejo,Santiago
2021-06-10,558.6015769474128,3177.272426003331,1872.9113814866728,1020010,Lo Espejo,Santiago
2021-06-11,394.87556678083934,3219.206885980757,1837.074657380642,1020010,Lo Espejo,Santiago
2021-06-12,316.6689840593037,3056.1445705267365,1655.2662380608406,1020010,Lo Espejo,Santiago
2021-06-07,-902.1904689665428,794.9466417484557,-23.513975283144987,1020003,Lo Espejo,Santiago
2021-06-08,-652.8717499363241,976.2121591007965,221.93974100722258,1020003,Lo Espejo,Santiago
2021-06-09,-232.2758864774071,1503.7806336227368,621.9753227481831,1020003,Lo Espejo,Santiago
2021-06-10,-218.37338113473044,1441.6233933442218,641.2903214435428,1020003,Lo Espejo,Santiago
2021-06-11,-322.41560207709557,1337.1035384474983,542.0869611817193,1020003,Lo Espejo,Santiago
2021-06-12,-177.07479539170896,1417.852369639866,619.4802186670305,1020003,Lo Espejo,Santiago
2021-06-07,-414.9778623897878,1159.6377553579152,389.11315281747926,1020001,Lo Espejo,Santiago
2021-06-08,58.73154864707024,1565.4391539282997,797.1052468780064,1020001,Lo Espejo,Santiago
2021-06-09,8.88891599478272,1531.039619383452,786.3809736396574,1020001,Lo Espejo,Santiago
2021-06-10,-10.105827809301676,1541.196924522085,780.7091494464343,1020001,Lo Espejo,Santiago
2021-06-11,432.916364108989,1946.9350676476513,1157.0554527141624,1020001,Lo Espejo,Santiago
2021-06-12,18.259769975368883,1580.522074239666,767.4184461792004,1020001,Lo Espejo,Santiago
2021-06-07,-1870.5068062789858,2478.1627989562926,278.43053278121715,1010695,Lo Espejo,Santiago
2021-06-08,-1428.3339732116292,3034.084647344461,810.6053690090049,1010695,Lo Espejo,Santiago
2021-06-09,-899.2745809612599,3463.320244126344,1201.8403254238744,1010695,Lo Espejo,Santiago
2021-06-10,-997.5762730454531,3388.1173860333784,1201.7155187756555,1010695,Lo Espejo,Santiago
2021-06-11,-1283.5301370660382,3002.5375667654816,900.9788511245273,1010695,Lo Espejo,Santiago
2021-06-12,-1295.0552960226094,3196.9247309896678,938.6918196303294,1010695,Lo Espejo,Santiago
2021-06-07,-1105.418788217835,3664.051008805965,1175.1095320831998,1010267,Lo Espejo,Santiago
2021-06-08,-11.811626133206225,4552.958779008449,2302.7924037626826,1010267,Lo Espejo,Santiago
2021-06-09,-584.306395523878,4149.83448074363,1831.2625892576136,1010267,Lo Espejo,Santiago
2021-06-10,40.35028256631233,4544.125274410194,2230.55346670563,1010267,Lo Espejo,Santiago
2021-06-11,329.054603961282,4856.38639461448,2484.300473294551,1010267,Lo Espejo,Santiago
2021-06-12,-1240.700443268535,3615.2883029846275,1183.6397815190699,1010267,Lo Espejo,Santiago
2021-06-07,499.537484214005,9836.718400417405,5210.579259921593,1010078,Lo Espejo,Santiago
2021-06-08,4148.9741231194,13408.674170164488,8754.66785283906,1010078,Lo Espejo,Santiago
2021-06-09,4243.631699557825,13671.009978615286,9241.317469072279,1010078,Lo Espejo,Santiago
2021-06-10,5505.681333018194,14976.642639894488,10675.177697189969,1010078,Lo Espejo,Santiago
2021-06-11,6086.022616699972,15464.086052580338,10923.292625237971,1010078,Lo Espejo,Santiago
2021-06-12,2886.994250923312,12320.67469866043,7595.345247107171,1010078,Lo Espejo,Santiago
2021-06-07,-282.8637254454776,803.053970618094,278.70749772292515,1010077,Lo Espejo,Santiago
2021-06-08,-272.44286058045174,773.1986604910413,297.725466779367,1010077,Lo Espejo,Santiago
2021-06-09,-17.091990354387924,1002.1087257577731,491.81042349441157,1010077,Lo Espejo,Santiago
2021-06-10,-115.17681333872613,988.0715458741726,416.32076952466497,1010077,Lo Espejo,Santiago
2021-06-11,-120.37023054934689,933.1357198788749,431.71415885979144,1010077,Lo Espejo,Santiago
2021-06-12,-109.99174103504238,952.7529519039293,428.822869096356,1010077,Lo Espejo,Santiago
2021-06-07,-4323.3608349600345,3271.0631113982554,-524.7400595019751,1010048,Lo Espejo,Santiago
2021-06-08,-2453.976490993236,4950.334299438828,1274.9227203154062,1010048,Lo Espejo,Santiago
2021-06-09,-1913.571474870431,5033.638709544766,1557.2138203294437,1010048,Lo Espejo,Santiago
2021-06-10,-1307.8705039423583,5896.415040369875,2063.591951945464,1010048,Lo Espejo,Santiago
2021-06-11,-990.4722156215317,6568.047617323074,2894.762875725721,1010048,Lo Espejo,Santiago
2021-06-12,-2167.63351155036,5231.341119047518,1331.8492412025944,1010048,Lo Espejo,Santiago
2021-06-07,-2633.4973664630907,1455.46230561829,-526.240063926027,1010002,Lo Espejo,Santiago
2021-06-08,-899.7411361183549,3191.693773481508,1135.8753271579285,1010002,Lo Espejo,Santiago
2021-06-09,-663.1645976807055,3311.775337543421,1303.5843255283726,1010002,Lo Espejo,Santiago
2021-06-10,-381.14011574547595,3521.280192163144,1635.9136056926525,1010002,Lo Espejo,Santiago
2021-06-11,1344.891654488963,5322.656523873602,3259.469091680059,1010002,Lo Espejo,Santiago
2021-06-12,-488.8815660202065,3555.410284327318,1493.4739250193495,1010002,Lo Espejo,Santiago
2021-06-07,536.6962442883821,1905.960015514765,1210.917156278947,1020253,Sucursal Miraflores,Santiago
2021-06-08,846.6260214465137,2216.866872759915,1537.8900118934446,1020253,Sucursal Miraflores,Santiago
2021-06-09,752.205089931669,2165.3166143217395,1457.7003701840586,1020253,Sucursal Miraflores,Santiago
2021-06-10,865.71511378669,2204.8379071665695,1557.1842208573648,1020253,Sucursal Miraflores,Santiago
2021-06-11,833.2192098397423,2268.907390469747,1539.9636179199333,1020253,Sucursal Miraflores,Santiago
2021-06-12,569.9431814750208,2026.438995021981,1313.8316404548075,1020253,Sucursal Miraflores,Santiago
2021-06-07,25.76525683620225,410.2401008290455,213.54513781220055,1020042,Sucursal Miraflores,Santiago
2021-06-08,69.04403047285645,441.1709985567737,250.71876448262134,1020042,Sucursal Miraflores,Santiago
2021-06-09,184.45688437884314,555.2222440387364,377.1677259233518,1020042,Sucursal Miraflores,Santiago
2021-06-10,126.9447964390614,491.40085286276405,311.0181868368812,1020042,Sucursal Miraflores,Santiago
2021-06-11,131.00608677463035,497.4785241471572,326.0918147873627,1020042,Sucursal Miraflores,Santiago
2021-06-12,73.94588495398543,451.8056325231586,268.99634559609353,1020042,Sucursal Miraflores,Santiago
2021-06-07,528.0967840179006,2091.029279913002,1316.7796418181752,1020027,Sucursal Miraflores,Santiago
2021-06-08,1223.8644860752847,2726.4210086153557,1968.591003779318,1020027,Sucursal Miraflores,Santiago
2021-06-09,1392.2704187572454,2940.72889921474,2147.1290807031073,1020027,Sucursal Miraflores,Santiago
2021-06-10,1304.3681981191176,2800.208984510421,2080.5715205221472,1020027,Sucursal Miraflores,Santiago
2021-06-11,1458.8752854386494,2906.6901988977647,2111.2815663711685,1020027,Sucursal Miraflores,Santiago
2021-06-12,1230.0204655693958,2746.305694115394,2024.6577178226762,1020027,Sucursal Miraflores,Santiago
2021-06-07,794.7964656542678,3960.408281416627,2354.2597893116003,1020013,Sucursal Miraflores,Santiago
2021-06-08,1596.9506449627413,4613.216465739926,3115.32986258904,1020013,Sucursal Miraflores,Santiago
2021-06-09,2179.9828122737963,5236.1615725165775,3729.4374209823964,1020013,Sucursal Miraflores,Santiago
2021-06-10,1927.8213700971844,5048.978788073959,3506.736098839795,1020013,Sucursal Miraflores,Santiago
2021-06-11,1915.6298959590756,4939.877610566531,3442.0957355224928,1020013,Sucursal Miraflores,Santiago
2021-06-12,1950.8056081333261,4990.050579594482,3435.5676287570695,1020013,Sucursal Miraflores,Santiago
2021-06-07,1047.0660585476508,4471.824524804715,2810.8728443651858,1020010,Sucursal Miraflores,Santiago
2021-06-08,926.1512634994965,4584.619561305192,2842.8798311757696,1020010,Sucursal Miraflores,Santiago
2021-06-09,1240.9875395693186,4776.00901923917,3031.1054640001585,1020010,Sucursal Miraflores,Santiago
2021-06-10,1068.8821548397466,4582.827198528486,2904.71586045852,1020010,Sucursal Miraflores,Santiago
2021-06-11,1439.4279026304716,5008.94085845659,3203.3037845084023,1020010,Sucursal Miraflores,Santiago
2021-06-12,678.3043920649973,4237.626095829373,2388.0986951857453,1020010,Sucursal Miraflores,Santiago
2021-06-07,-122.57237531206333,1026.6128025020105,452.7022692388624,1020003,Sucursal Miraflores,Santiago
2021-06-08,167.73318285587092,1264.2985042537384,704.0930233740614,1020003,Sucursal Miraflores,Santiago
2021-06-09,354.7153409603215,1394.7033789678696,883.3684838355844,1020003,Sucursal Miraflores,Santiago
2021-06-10,291.7536636675084,1358.8278395105515,789.3569275248419,1020003,Sucursal Miraflores,Santiago
2021-06-11,383.1971725497351,1469.3793757062433,907.8251917909487,1020003,Sucursal Miraflores,Santiago
2021-06-12,225.2911846143933,1304.6850510164409,748.9749955235246,1020003,Sucursal Miraflores,Santiago
2021-06-07,503.9653532885101,1535.2876590680867,1021.5272360702427,1020001,Sucursal Miraflores,Santiago
2021-06-08,974.5791076862762,2037.2456050927647,1503.2414296455506,1020001,Sucursal Miraflores,Santiago
2021-06-09,1054.7835337050417,2102.7884244313013,1575.7795525058664,1020001,Sucursal Miraflores,Santiago
2021-06-10,1030.9736170313563,2054.0695366344803,1524.3791667719047,1020001,Sucursal Miraflores,Santiago
2021-06-11,1030.8244092875925,2132.533214387621,1590.375166105513,1020001,Sucursal Miraflores,Santiago
2021-06-12,905.3760438218599,1904.1417191908522,1433.7201804403696,1020001,Sucursal Miraflores,Santiago
2021-06-07,997.179679508329,4313.817858592276,2601.8028919574285,1010695,Sucursal Miraflores,Santiago
2021-06-08,1530.9988836928558,4751.04917178779,3120.375449578997,1010695,Sucursal Miraflores,Santiago
2021-06-09,1952.376419108891,5072.6158520662,3493.707962555447,1010695,Sucursal Miraflores,Santiago
2021-06-10,1675.9767717371074,4925.997096626011,3298.30825094434,1010695,Sucursal Miraflores,Santiago
2021-06-11,1760.2719954523293,5029.603798273426,3253.4349060097743,1010695,Sucursal Miraflores,Santiago
2021-06-12,1480.9972201514597,4872.571292282256,3253.495398405071,1010695,Sucursal Miraflores,Santiago
2021-06-07,1748.8443643337723,10478.109581126504,6031.901794121362,1010267,Sucursal Miraflores,Santiago
2021-06-08,4083.307902890687,12509.665555228596,8394.035890681069,1010267,Sucursal Miraflores,Santiago
2021-06-09,4296.447065041652,12641.460466682873,8653.733922503476,1010267,Sucursal Miraflores,Santiago
2021-06-10,3943.85293475252,12858.94744781135,8400.103041291328,1010267,Sucursal Miraflores,Santiago
2021-06-11,4650.951854371721,13534.30375518957,9053.392610873656,1010267,Sucursal Miraflores,Santiago
2021-06-12,1335.0251965881248,9925.906441717134,5569.956185438122,1010267,Sucursal Miraflores,Santiago
2021-06-07,10288.146007777408,20632.106238389584,15756.49864801361,1010078,Sucursal Miraflores,Santiago
2021-06-08,14158.113389704118,23896.281700016192,19215.84966226486,1010078,Sucursal Miraflores,Santiago
2021-06-09,16436.508676558162,26232.783376682968,21230.376405080995,1010078,Sucursal Miraflores,Santiago
2021-06-10,15851.973761404026,26499.420874132393,21144.481071933646,1010078,Sucursal Miraflores,Santiago
2021-06-11,16049.022950599132,26312.31176174151,21189.46580027236,1010078,Sucursal Miraflores,Santiago
2021-06-12,12961.803989289903,23491.554795836382,18168.089983883157,1010078,Sucursal Miraflores,Santiago
2021-06-07,183.6467327219188,842.6804188488156,530.8179743885713,1010077,Sucursal Miraflores,Santiago
2021-06-08,200.1744820163435,873.0095348348457,540.7817488421629,1010077,Sucursal Miraflores,Santiago
2021-06-09,251.30933114999345,930.1330073224252,595.2262180618139,1010077,Sucursal Miraflores,Santiago
2021-06-10,299.9723372808499,981.7438284908498,643.3895377378404,1010077,Sucursal Miraflores,Santiago
2021-06-11,275.28967771304565,956.5872854637201,596.7436904271136,1010077,Sucursal Miraflores,Santiago
2021-06-12,200.6824399323783,900.2831151401899,537.4806193134533,1010077,Sucursal Miraflores,Santiago
2021-06-07,995.2747026048477,6884.382947162406,3769.5394788011026,1010048,Sucursal Miraflores,Santiago
2021-06-08,2517.448262897826,8424.143735692483,5417.715642899326,1010048,Sucursal Miraflores,Santiago
2021-06-09,3168.2741356119086,8923.785376757525,6172.466405079838,1010048,Sucursal Miraflores,Santiago
2021-06-10,2990.893299353194,8988.634256039331,5857.510289606484,1010048,Sucursal Miraflores,Santiago
2021-06-11,4052.626690807574,10069.093684033118,6878.699137655899,1010048,Sucursal Miraflores,Santiago
2021-06-12,1277.6010767537987,7051.053078370776,4181.338106272224,1010048,Sucursal Miraflores,Santiago
2021-06-07,3743.9535688969477,7813.206781614426,5827.87510683917,1010002,Sucursal Miraflores,Santiago
2021-06-08,5470.843259806202,9468.81703838771,7414.931084316546,1010002,Sucursal Miraflores,Santiago
2021-06-09,6060.290038512338,10081.022121480495,8077.421939210726,1010002,Sucursal Miraflores,Santiago
2021-06-10,6298.762434812127,10143.886427988364,8142.440771470769,1010002,Sucursal Miraflores,Santiago
2021-06-11,7024.199898090852,10983.794923266396,9001.235744594342,1010002,Sucursal Miraflores,Santiago
2021-06-12,6197.92344299695,10046.897641680936,8061.780837624825,1010002,Sucursal Miraflores,Santiago
2021-06-07,2.5341593536590645,713.2728901127304,381.311622327907,1020253,Coquimbo,Centro Norte
2021-06-08,7.040768161679496,695.659027840421,351.80116317278197,1020253,Coquimbo,Centro Norte
2021-06-09,85.58066443812693,793.5379946925335,427.08049153741666,1020253,Coquimbo,Centro Norte
2021-06-10,128.56853352159536,846.4507030069664,490.45113176549023,1020253,Coquimbo,Centro Norte
