Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1,Tipo de cliente,Semana
2021-06-29,1257.805167983667,4658.06774059528,2941.1518196335815,1020253,,Santiago,Tradicional,26
2021-06-30,1621.2281880855373,4927.967618073837,3259.3232544915613,1020253,,Santiago,Tradicional,26
2021-07-01,1938.8095468976471,5263.49345425322,3542.010372412241,1020253,,Santiago,Tradicional,26
2021-07-02,2331.326489682591,5407.864826918195,3868.5157207525717,1020253,,Santiago,Tradicional,26
2021-07-03,1766.0424216838053,5040.543061882236,3408.923154965963,1020253,,Santiago,Tradicional,26
2021-06-29,229.2474548515632,1645.94736776666,907.5857878883373,1020042,,Santiago,Tradicional,26
2021-06-30,327.0441097939812,1870.6924034957551,1100.051521616208,1020042,,Santiago,Tradicional,26
2021-07-01,134.45616243391615,1609.4887401936244,902.3747943270148,1020042,,Santiago,Tradicional,26
2021-07-02,448.7020017446559,1917.8551168312777,1210.9013743742444,1020042,,Santiago,Tradicional,26
2021-07-03,73.3647145015522,1528.6413229619445,845.3721904202445,1020042,,Santiago,Tradicional,26
2021-06-29,1171.3674890158627,4343.666221138515,2742.0051451576446,1020027,,Santiago,Tradicional,26
2021-06-30,1523.7737645806064,4823.098468969069,3131.819823520291,1020027,,Santiago,Tradicional,26
2021-07-01,1467.2013085799217,4605.406885788314,3075.5867740444555,1020027,,Santiago,Tradicional,26
2021-07-02,1747.867565993443,4898.806302182625,3242.3274303894154,1020027,,Santiago,Tradicional,26
2021-07-03,1074.620088755135,4353.462759289752,2588.3364226100803,1020027,,Santiago,Tradicional,26
2021-06-29,1142.9299055122315,8824.384926137962,5136.37251238831,1020013,,Santiago,Tradicional,26
2021-06-30,2181.502072575612,9500.336010598036,5830.300573450038,1020013,,Santiago,Tradicional,26
2021-07-01,2337.1977131698964,9987.791601313087,6114.285850007361,1020013,,Santiago,Tradicional,26
2021-07-02,2675.562877579854,10170.398809059865,6154.0526063551815,1020013,,Santiago,Tradicional,26
