Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Sector,Tipo de cliente
2021-06-14,-2229.851081333855,16064.638118961515,7281.83045018157,1010695,Pollo,Tradicional
2021-06-15,2616.234364280654,20907.25627878576,11708.931009166437,1010695,Pollo,Tradicional
2021-06-16,4325.906898170004,23478.937829244755,14275.134656264723,1010695,Pollo,Tradicional
2021-06-17,4580.6841876557955,23261.04191312762,13867.257243249614,1010695,Pollo,Tradicional
2021-06-11,30491.953481233617,59991.189356320734,44743.92271400595,1010267,Pollo,Tradicional
2021-06-12,11696.134778332866,40708.56138534966,26588.402968891904,1010267,Pollo,Tradicional
2021-06-13,-19696.550602883253,11090.057375488457,-4040.38890399049,1010267,Pollo,Tradicional
2021-06-14,15012.115857013032,43324.37626301653,29217.475958847837,1010267,Pollo,Tradicional
2021-06-15,31497.911211254646,62642.31914792512,47547.885072044235,1010267,Pollo,Tradicional
2021-06-16,29271.564232693763,58114.69289786213,43656.91364286035,1010267,Pollo,Tradicional
2021-06-17,28477.667688937534,58195.91496850266,43144.29689849984,1010267,Pollo,Tradicional
2021-06-11,132039.493451189,200866.7958378949,166036.47692013788,1010078,Pollo,Tradicional
2021-06-12,79577.75814776636,150044.50947031614,115539.26212010773,1010078,Pollo,Tradicional
2021-06-13,-18621.789363714146,46664.10584395082,14264.681740697517,1010078,Pollo,Tradicional
2021-06-14,54198.261593790296,121341.40851372086,87064.9527812688,1010078,Pollo,Tradicional
2021-06-15,93395.88974477707,157504.3901319278,123637.23369523819,1010078,Pollo,Tradicional
2021-06-16,98533.73804540656,167038.1745634323,133410.92711297958,1010078,Pollo,Tradicional
2021-06-17,111380.45443944784,177281.78301274497,145240.17354939977,1010078,Pollo,Tradicional
2021-06-11,3799.316504015964,10130.560092479158,6912.978534549762,1010077,Pollo,Tradicional
2021-06-12,1966.8495052254536,7757.632116041241,4911.143809965499,1010077,Pollo,Tradicional
2021-06-13,-4498.922278972242,1534.7248499421285,-1596.827916938354,1010077,Pollo,Tradicional
2021-06-14,180.789075754173,5971.246076260468,3023.816191105886,1010077,Pollo,Tradicional
2021-06-15,1640.7825579794046,7605.393522831004,4673.028905375671,1010077,Pollo,Tradicional
2021-06-16,2778.965167692794,8565.40567742031,5606.207654802764,1010077,Pollo,Tradicional
2021-06-17,3469.0403761136654,9688.454864510471,6516.330512011971,1010077,Pollo,Tradicional
