Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1,Tipo de cliente,Semana
2021-06-14,104.52111505993572,3395.6984870014085,1732.9443160879766,1020253,,Santiago,Tradicional,24
2021-06-15,852.5034978407497,3979.298628126484,2357.434950542839,1020253,,Santiago,Tradicional,24
2021-06-16,1060.0854068930623,4292.347255323517,2639.3189813396702,1020253,,Santiago,Tradicional,24
2021-06-17,1216.9689832873298,4472.565562061615,2912.7123931058422,1020253,,Santiago,Tradicional,24
2021-06-18,1668.4987095488593,4884.2295155860575,3227.4818613886246,1020253,,Santiago,Tradicional,24
2021-06-19,1067.3168139945378,4281.861349823351,2819.829693144628,1020253,,Santiago,Tradicional,24
2021-06-14,-848.1376997266273,578.6623230889877,-142.502491066277,1020042,,Santiago,Tradicional,24
2021-06-15,-312.0021973207682,1096.9917348378426,421.4598874950211,1020042,,Santiago,Tradicional,24
2021-06-16,-127.10034815416776,1405.8492266824912,624.631297166306,1020042,,Santiago,Tradicional,24
2021-06-17,-295.89555202303694,1211.0774430553374,461.921409372454,1020042,,Santiago,Tradicional,24
2021-06-18,11.579674491935636,1536.5243568077121,806.7497672970675,1020042,,Santiago,Tradicional,24
2021-06-19,-250.44598103847724,1260.5315377599186,502.9159479707605,1020042,,Santiago,Tradicional,24
2021-06-14,-683.2246661383349,2658.566980276837,996.9795641453668,1020027,,Santiago,Tradicional,24
2021-06-15,874.7301833165268,4083.4356713221955,2538.222095861197,1020027,,Santiago,Tradicional,24
2021-06-16,1340.773428204202,4552.023115768167,2937.0091362894445,1020027,,Santiago,Tradicional,24
2021-06-17,1297.5191810609836,4619.468007949411,2908.9655095999487,1020027,,Santiago,Tradicional,24
2021-06-18,1508.3700160370188,4894.881471571145,3126.4170625108686,1020027,,Santiago,Tradicional,24
2021-06-19,823.7710958034058,4095.9360626953935,2512.0213215433005,1020027,,Santiago,Tradicional,24
2021-06-14,-1166.8286937517103,6777.983218030942,2897.6571028067883,1020013,,Santiago,Tradicional,24
2021-06-15,1922.4283743520032,9127.001550740131,5581.309550015784,1020013,,Santiago,Tradicional,24
2021-06-16,2604.0739114111725,10130.039506788862,6442.859517411622,1020013,,Santiago,Tradicional,24
2021-06-17,3173.7591060910827,10519.641351435763,6807.981697411002,1020013,,Santiago,Tradicional,24
2021-06-18,3341.1445188918515,10891.184833695179,7007.967731152975,1020013,,Santiago,Tradicional,24
2021-06-19,2063.16494659615,9735.467699329081,5807.399935110985,1020013,,Santiago,Tradicional,24
2021-06-14,317.75791636585694,4915.021151345605,2621.089402790524,1020010,,Santiago,Tradicional,24
2021-06-15,1765.810443079288,6252.628722952241,4002.068385271664,1020010,,Santiago,Tradicional,24
2021-06-16,2461.158217111132,7043.7467593910205,4667.683673589719,1020010,,Santiago,Tradicional,24
