Cliente - Local.1;Oficina de Ventas Unifica;Subtipo de cliente;Cluster BW;Frecuencia mes promedio;Delta dia promedio;Skew Delta dia;Kilos Venta promedio;Covarianza del lote;"Precio Pond CLP 
 Tipo de Semana 4";"Kilos Venta KG promedio 
 Tipo de Semana 4";"Precio Pond CLP 
 Tipo de Semana 3";"Kilos Venta KG promedio 
 Tipo de Semana 3";"Precio Pond CLP 
 Tipo de Semana 2";"Kilos Venta KG promedio 
 Tipo de Semana 2";"Precio Pond CLP 
 Tipo de Semana 1";"Kilos Venta KG promedio 
 Tipo de Semana 1";"Precio Pond CLP 
 Tipo de Semana 0";"Kilos Venta KG promedio 
 Tipo de Semana 0";Tipo de Semana 4;Tipo de Semana 3;Tipo de Semana 2;Tipo de Semana 1;Tipo de Semana 0;identified_clusters
3200116471;Huechuraba;Emprendedores;Clásico;0.17647058823529413;149.0;0.0;22.0;0.0;1302.9315795406892;22.0;1355.359971491672;22.0;1403.4347671303958;22.0;1302.9315795406892;22.0;1150.0;22.0;0.6666666666666666;0.0;1.0;0.6666666666666666;1.0;3
3200159471;Huechuraba;Emprendedores;Clásico;0.9166666666666666;23.1;1.847072143605147;22.0;0.0;1335.6043831356874;22.0;1467.679985745836;22.0;1426.7681004637293;22.0;1267.7194463331846;22.0;1180.25;22.0;1.2916666666666667;1.0;1.6666666666666667;1.0;1.5;1
3200126536;Huechuraba;Emprendedores;Clásico;0.5555555555555556;55.47368421052632;1.6746879133499086;21.5;0.10400316174417627;1383.2045086882842;22.0;1511.519978618754;22.0;1435.152150695594;22.0;1320.4527796665175;22.0;1265.6931257722706;22.0;1.9625;1.5;1.75;1.6;3.0;0
3200100206;Huechuraba;Emprendedores;Clásico;0.375;100.0;0.0;22.0;0.0;1429.5599952486118;22.0;1567.679985745836;22.0;1429.5599952486118;22.0;1490.0;22.0;1231.0;22.0;2.6666666666666665;2.0;2.6666666666666665;4.0;2.0;0
3200137971;Huechuraba;Emprendedores;Clásico;0.25;131.66666666666666;0.5534101229084216;22.0;0.0;1468.5340998910485;22.0;1527.679985745836;22.0;1526.8695342607919;22.0;1351.0527796665174;22.0;1468.5340998910485;22.0;2.1666666666666665;2.0;2.5;2.0;2.1666666666666665;0
3200076085;Huechuraba;Emprendedores;Clásico;0.6041666666666666;51.14285714285714;3.0734907347419878;23.551724137931036;0.2406133755179221;1800.0;22.0;1487.679985745836;22.0;1463.721720556475;22.0;1337.233230794337;22.16666666666667;1176.6666666666667;22.0;4.0;1.0;2.0;2.0;1.6666666666666667;4
3200136525;Huechuraba;Emprendedores;Clásico;3.0434782608695654;9.53623188405797;3.0522859651838483;31.114285714285717;0.4582793659522218;1566.666666666667;33.0;1499.4568225995652;29.857142857142854;1414.9338926121231;28.947368421052627;1348.8995942252752;35.61904761904762;1176.3130565852491;28.285714285714285;2.0;1.4285714285714286;1.5263157894736843;2.095238095238096;1.6428571428571428;4
3200017068;Huechuraba;Emprendedores;Clásico;0.05;1013.0;0.0;22.0;0.0;1427.679985745836;22.0;1427.679985745836;22.0;1427.679985745836;22.0;1427.679985745836;22.0;1427.679985745836;22.0;1.0;1.0;1.0;1.0;1.0;1
3200169581;Sucursal Miraflores;Emprendedores;Clásico;1.4;18.33333333333333;1.7817152052023624;148.42857142857142;0.22283412580777973;1430.5415697879755;134.06666666666666;1527.679985745836;88.0;1450.0;155.0;1313.9447236180906;159.2;1430.5415697879755;134.06666666666666;2.1333333333333333;2.0;2.0;2.4;2.1333333333333333;0
91131;Huechuraba;Emprendedores;Clásico;0.18181818181818185;178.0;0.0;22.0;0.0;1443.839992872918;22.0;1467.679985745836;22.0;1443.839992872918;22.0;1443.839992872918;22.0;1420.0;22.0;2.5;1.0;2.5;2.5;4.0;0
