Cliente - Local.1;Tipo de Semana 4;Tipo de Semana 3;Tipo de Semana 2;Tipo de Semana 1;Tipo de Semana 0
3200129422;;;;2.0;
3200091694;;3.0;;2.125;1.8333333333333333
24576;;;;2.0;1.75
3200140871;;;1.0;1.5;1.0
3200096219;;;;;0.0
36167;;;;2.0;0.5
3200087611;;;;1.0;
3200092176;;;;;1.0
3200007676;;1.0;1.3333333333333333;0.5;0.45454545454545453
89617;;;1.5;4.0;
3200132062;2.0;2.0;1.0;2.5;1.9333333333333333
3200156740;;;1.5;2.0;
48358;;;1.0;2.5;1.0
3200115967;;1.8333333333333333;2.0;2.0;1.5
3200121340;;2.0;0.0;1.0;1.0
3200098958;;1.6666666666666667;0.0;1.2857142857142858;1.25
24521;;;;;0.0
3200140741;;;1.0;3.0;0.5
3200059241;;;;4.0;
3200084137;;2.0;1.0;2.6666666666666665;0.5
3200077796;;2.0;2.5;2.4285714285714284;1.6666666666666667
3200115484;;1.25;1.0;1.5;1.5714285714285714
3200173952;;;;3.0;2.0
3200079073;;;2.0;1.0;0.75
3200074431;;;;;0.5
3200142731;;;;2.0;1.0
3200137843;;;;;0.0
3200133117;;;;;1.0
3200177015;;;;;1.0
3200169247;;;3.0;;
54487;;;0.6666666666666666;1.5;1.2
43077;;;;;1.0
62144;;3.0;1.75;1.5;2.0
2317;;;;3.0;1.5714285714285714
3200044100;;;1.0;1.0;1.0
3857;;;;2.25;1.25
45576;;;1.4;1.625;1.4444444444444444
3200158500;;2.25;2.25;1.7777777777777777;1.8333333333333333
3200094168;;0.0;;1.5;0.7777777777777778
3200095490;;2.0;1.0;1.6666666666666667;2.217391304347826
3200132597;;;3.0;;
31568;;;;3.0;
3200178711;;;;2.0;1.0
3200136158;;1.0;1.0;2.6666666666666665;2.2
3200146002;;;;4.0;0.6666666666666666
75660;;;2.0;2.8333333333333335;0.5
3200149812;;2.0;1.8333333333333333;2.5714285714285716;1.5714285714285714
6488;;;;2.0;0.5
3200173589;;;;2.0;2.1818181818181817
10343;;1.8333333333333333;2.1;2.6875;1.7837837837837838
3200173717;;;;;1.0
3200173935;;;;3.0;1.0
