Cliente - Local.1;Delta dia promedio;Probarilidad de caida %
3200116471;149.0;0.0
3200176532;0.0;0.0
3200159471;23.1;10.0
3200163776;0.0;0.0
3200126536;55.473684210526315;15.789473684210526
3200100206;100.0;0.0
3200137971;131.66666666666666;33.33333333333333
3200076085;51.142857142857146;17.857142857142858
3200136525;9.53623188405797;11.594202898550725
3200017068;1013.0;0.0
3200169581;18.333333333333332;16.666666666666664
91131;178.0;0.0
38139;109.0;16.666666666666664
47831;0.0;0.0
3200044924;23.42105263157895;5.263157894736842
3200132057;25.931818181818183;15.909090909090908
3200142956;36.75;12.5
3200152414;60.666666666666664;0.0
3200158846;28.0;0.0
77615;0.0;0.0
3200144657;98.0;0.0
31916;558.0;0.0
3200148939;139.0;0.0
3200134750;0.0;0.0
3200168173;0.0;0.0
3200163746;0.0;0.0
3200157261;14.482758620689655;6.896551724137931
3200161039;39.666666666666664;16.666666666666664
3200152485;47.6;0.0
3200112962;213.0;0.0
3200168666;46.0;0.0
3200025474;0.0;0.0
3200151987;0.0;0.0
33540;164.5;12.5
3200108348;18.5;25.0
29679;717.0;0.0
3200133226;36.0;25.0
3200154328;46.63636363636363;0.0
3200148950;23.05263157894737;5.263157894736842
18269;98.0;0.0
3200141374;21.0;0.0
3200123395;46.666666666666664;0.0
3200102102;1087.0;0.0
3200002673;28.0;0.0
69524;0.0;0.0
3200168145;0.0;0.0
3200128307;230.0;20.0
3200068036;152.66666666666666;0.0
3200146988;0.0;0.0
41167;87.73333333333333;13.333333333333334
3200098628;0.0;0.0
64947;0.0;0.0
7062;0.0;0.0
3200170458;87.0;0.0
3200015816;0.0;0.0
27104;738.0;0.0
3200162226;47.833333333333336;16.666666666666664
3200167199;9.45;0.0
3200134743;33.714285714285715;7.142857142857142
3200130034;218.0;0.0
3200131228;0.0;0.0
3200056688;0.0;0.0
3200080420;42.0;14.285714285714285
3200143337;29.454545454545453;4.545454545454546
3200099007;145.0;0.0
3200043975;111.41666666666667;8.333333333333332
3200157761;77.0;0.0
3200134953;43.0;14.285714285714285
3200152326;7.0;0.0
3200134910;76.0;0.0
3200060389;87.0;0.0
3200143656;65.33333333333333;0.0
3200161538;91.0;0.0
3200156727;145.5;0.0
3200163810;21.0;0.0
3200170335;105.0;0.0
3200168296;20.0;0.0
3200165057;31.5;0.0
3200157196;0.0;0.0
8325;0.0;0.0
3200131190;389.0;0.0
3200131056;56.0;0.0
3200097692;0.0;0.0
3200047485;91.5625;12.5
24020;0.0;0.0
3200078221;0.0;0.0
3200156122;33.44444444444444;11.11111111111111
3200102393;15.357142857142858;7.142857142857142
3200128796;70.0;0.0
3200103055;0.0;0.0
3200153227;0.0;0.0
3200041992;0.0;0.0
3200043098;138.25;0.0
3200159025;25.333333333333332;0.0
3200045536;421.0;33.33333333333333
3200127769;65.5;10.0
3200173548;0.0;0.0
3200041997;238.0;0.0
9032;18.88888888888889;8.333333333333332
3200160027;0.0;0.0
3200137980;0.0;0.0
16060;0.0;0.0
13726;29.866666666666667;4.444444444444445
5830;317.0;0.0
3200115333;241.33333333333334;33.33333333333333
88192;50.5;0.0
3200061754;18.0;11.11111111111111
3200039812;0.0;0.0
3200127234;0.0;0.0
33477;973.0;0.0
3200018278;0.0;0.0
3200159355;47.166666666666664;16.666666666666664
3200041169;85.83333333333333;16.666666666666664
3200135731;68.66666666666667;0.0
3200131586;23.545454545454547;13.636363636363635
3200168293;5.793103448275862;10.344827586206897
3200160866;49.0;0.0
16143;182.0;25.0
3200046239;160.2;20.0
12810;60.0;0.0
5303;232.5;0.0
3200051339;56.333333333333336;8.333333333333332
3200167404;27.5;16.666666666666664
3200175654;14.0;0.0
3200172117;7.1;10.0
68643;342.0;0.0
