Cliente - Local.1;Frecuencia mes promedio;Delta dia promedio;Skew Delta dia;Kilos Venta promedio;Covarianza del lote
3200104287;0.6666666666666666;6.4;0.3169627324056571;31.5;0.34470402039721637
3200154991;0.8461538461538461;30.0;1.9976983396258403;31.466666666666665;0.3701958655426317
3200153241;0.3888888888888889;78.42857142857143;0.5741714260687559;22.5;0.4169258453176382
20064;0.08695652173913043;93.33333333333333;0.7071067811865479;19.0;0.22739441047045125
46142;0.9411764705882353;27.5;2.601058048842562;46.285714285714285;0.7557450288932407
3200148795;0.17391304347826086;123.83333333333333;0.18447069636228186;39.57142857142857;0.60012191746468
3200124590;0.09090909090909091;0.0;0.0;25.0;
3200085870;0.03225806451612903;0.0;0.0;23.0;
29388;0.9183673469387755;32.56521739130435;2.4924334871303895;35.4468085106383;0.6663247647276767
3200118669;0.023255813953488372;0.0;0.0;57.0;
3200121696;0.14285714285714285;149.4;0.956698378752178;25.833333333333332;0.460249219915561
3200013002;0.7755102040816326;38.91891891891892;2.548543220812655;57.10526315789474;0.6068735303781174
3200121687;0.022222222222222223;0.0;0.0;48.0;
91042;0.42857142857142855;63.1;1.931390368559727;135.14285714285714;1.118632251642696
3200117435;0.05263157894736842;14.0;0.0;25.5;0.3604858100166713
5571;0.07894736842105263;105.0;0.0;20.0;0.229128784747792
3200109351;0.30303030303030304;6.222222222222222;1.7958965555118112;28.1;0.5529581905704136
37645;0.28;7.538461538461538;0.690425710454905;16.571428571428573;0.18290370098569145
3200127382;0.5681818181818182;50.0;2.122446149058718;24.379310344827587;0.33204519420861284
3200112881;0.16666666666666666;61.0;0.0;19.0;0.22329687826943603
36615;0.0625;0.0;0.0;60.0;
52022;0.15217391304347827;211.16666666666666;1.439768744503496;25.857142857142858;0.7257364014431119
3200167757;0.6;67.66666666666667;-0.6892054981428754;26.75;0.4915804933974922
90363;0.8125;33.25;2.2247821712681484;25.823529411764707;0.3679414889425872
3200027162;0.07894736842105263;403.5;0.0;39.0;0.47487844044749067
3200134060;0.1;0.0;0.0;24.0;
3200122849;0.13636363636363635;224.83333333333334;1.6888749988537186;102.14285714285714;1.172762369285498
3200102010;0.4444444444444444;14.0;0.0;46.75;0.7304898958942967
3200004835;0.3;105.0;1.4573677043815247;22.0;0.37592860232973335
90811;0.2926829268292683;44.72727272727273;0.13064791000024362;163.58333333333334;0.7643719361365776
41807;0.5365853658536586;48.74074074074074;2.427957545499928;20.5;0.2130432954691983
75465;0.02127659574468085;0.0;0.0;37.0;
3200132491;0.125;56.0;0.0;37.5;0.5845416057808793
3200071290;0.02857142857142857;0.0;0.0;17.0;
3200148279;0.85;35.705882352941174;1.7970765188160216;111.83333333333333;0.7743726300480153
3200018331;0.1111111111111111;0.0;0.0;26.0;
3200139317;0.4230769230769231;26.6;0.7480981564442067;41.45454545454545;0.30653313916237496
82316;0.09523809523809523;120.0;0.5663767109475644;21.0;0.07776157913597391
3200146894;0.043478260869565216;0.0;0.0;20.0;
3200001604;0.1111111111111111;0.0;0.0;21.0;
3200158845;0.2727272727272727;52.5;0.0;27.0;0.4206598774666869
3200139699;0.2222222222222222;171.0;0.0;22.0;0.25712973861329
3200080994;0.17391304347826086;174.0;1.948966857346407;115.875;1.2037028616203727
36584;0.5531914893617021;49.8;3.663611013509446;35.58064516129032;0.4587129708822494
86698;1.0625;26.875;0.9843898110512621;29.50877192982456;0.4757354661263984
3200062779;0.0425531914893617;994.0;0.0;38.5;0.49589306732563077
31084;0.02040816326530612;0.0;0.0;14.0;
3200051452;0.03225806451612903;0.0;0.0;21.0;
3200129280;0.023809523809523808;0.0;0.0;20.0;
7054;0.09090909090909091;0.0;0.0;22.0;
3200155253;1.0;29.647058823529413;3.519074772640829;28.333333333333332;0.7984311912676573
3200083743;0.1111111111111111;0.0;0.0;24.0;
3200082672;0.2;21.0;0.0;21.0;0.0
3200055979;0.3829787234042553;77.05263157894737;2.273555740576634;62.0;1.1195943144212488
3200054336;0.05;836.0;0.0;29.5;0.3595458209423123
3200008795;0.3111111111111111;85.76923076923077;1.850592461417466;34.285714285714285;0.6915759131069732
36038;0.05555555555555555;574.0;0.0;19.666666666666668;0.07767077449077693
44379;0.1;35.0;0.6856675374889221;22.5;0.05737753105492469
3200108261;0.6521739130434783;14.96551724137931;2.4966962593636928;20.7;0.10625747489382048
9657;0.0625;0.0;0.0;18.0;
3200133517;0.5483870967741935;52.68421052631579;2.0202288611106254;28.9;0.6034018106507212
3200131691;0.02631578947368421;0.0;0.0;22.0;
14541;0.2222222222222222;12.0;0.0;28.5;0.5210260492953508
11995;0.03125;0.0;0.0;19.0;
6293;0.02857142857142857;0.0;0.0;20.0;
3200071534;0.10204081632653061;255.5;1.1028725247765725;21.8;0.3282301618348315
23822;0.022222222222222223;0.0;0.0;19.0;
3200072431;0.044444444444444446;35.0;0.0;16.0;0.2651650429449553
3200009888;0.40476190476190477;65.625;0.6884541099223687;51.411764705882355;0.5493370226280302
3200146089;0.25;168.0;0.0;105.0;0.44446711960297275
3200133771;0.1111111111111111;0.0;0.0;27.0;
20656;0.06666666666666667;0.0;0.0;20.0;
84333;0.18181818181818182;183.0;0.0;55.5;0.9045870534098176
78184;0.02127659574468085;0.0;0.0;109.0;
3200124725;0.24444444444444444;100.3;2.4424641594790044;55.45454545454545;0.5011274576755242
3200083725;1.037037037037037;27.1875;1.6123495812398878;98.81818181818181;0.37548722377998056
82027;0.35714285714285715;63.5;1.149079416518307;62.0;0.46284983394457235
3200151085;0.2727272727272727;157.5;0.0;24.333333333333332;0.35905047731729195
