Cliente - Local.1;"Precio Pond CLP 
 Tipo de Semana 4";"Kilos Venta KG promedio 
 Tipo de Semana 4";"Precio Pond CLP 
 Tipo de Semana 3";"Kilos Venta KG promedio 
 Tipo de Semana 3";"Precio Pond CLP 
 Tipo de Semana 2";"Kilos Venta KG promedio 
 Tipo de Semana 2";"Precio Pond CLP 
 Tipo de Semana 1";"Kilos Venta KG promedio 
 Tipo de Semana 1";"Precio Pond CLP 
 Tipo de Semana 0";"Kilos Venta KG promedio 
 Tipo de Semana 0";Tipo de Semana 4;Tipo de Semana 3;Tipo de Semana 2;Tipo de Semana 1;Tipo de Semana 0
36584;;;4470.711903042918;31.2;5512.385170230729;20.0;4398.525323738651;35.0;3716.95884995488;35.44444444444444;;2.2;2.0;2.6666666666666665;1.5555555555555556
86698;5737.0;21.0;4462.779527947959;26.0;5885.324194620973;20.5;4469.446221197159;28.09090909090909;3944.3258201527215;26.647058823529413;3.0;2.3333333333333335;2.75;2.6363636363636362;2.0588235294117645
3200062779;;;;;;;;;3269.58301558837;25.0;;;;;1.0
7054;;;;;;;;;2869.58301558837;22.0;;;;;0.0
3200155253;;;;;;;4474.788835254644;17.0;3525.5615237186034;29.0;;;;3.0;1.2941176470588236
3200083743;;;;;;;;;3500.0;24.0;;;;;1.0
3200082672;;;;;;;;;3936.0;21.0;;;;;2.0
3200055979;;;3622.2957904322084;48.0;5182.791711219792;65.66666666666667;3653.0918655576747;82.5;3029.7864840305647;77.625;;0.0;1.3333333333333333;1.5;0.875
3200054336;;;;;;;;;2969.58301558837;37.0;;;;;0.0
3200008795;;;4236.581504717923;17.5;5704.7703404614585;35.0;4320.315037223887;52.5;;;;1.5;3.0;2.75;
36038;;;;;;;4300.0;18.0;;;;;;2.0;
9657;;;;;;;3982.7888352546443;18.0;;;;;;1.0;
3200133517;;;4660.529411764706;34.0;5716.843191005444;28.0;4981.66354310186;26.714285714285715;3851.8280705054462;30.166666666666668;;2.6666666666666665;2.6666666666666665;3.142857142857143;1.8333333333333333
14541;;;;;;;;;3700.0;28.5;;;;;1.5
3200071534;;;3922.295790432209;20.0;4614.7703404614585;34.0;;;;;;0.0;0.0;;
3200009888;;;;;;;3850.2063401943356;58.0;3583.304365329514;39.0;;;;1.0;2.0
3200146089;;;4283.0;72.0;;;;;2500.0;138.0;;2.0;;;0.0
3200133771;;;;;;;;;3300.0;27.0;;;;;1.0
20656;;;;;;;3582.7888352546443;20.0;;;;;;0.0;
84333;;;4850.0;20.0;;;;;2469.58301558837;91.0;;3.0;;;0.0
3200124725;;;;;;;;;3228.842274847629;27.0;;;;;0.5
3200083725;;;4308.757062146893;118.0;5018.48855256702;82.0;3974.5094744876133;101.41176470588235;3165.09765684124;95.0;;2.3333333333333335;1.5;2.176470588235294;1.2
82027;;;;;5697.385170230729;88.0;;;3836.6911236964784;55.5;;;3.0;;2.0
3200151085;;;;;;;;;3608.161952465816;24.333333333333332;;;;;1.3333333333333333
3200099637;;;;;;;;;3784.7080155883705;30.4;;;;;1.6
67425;;;3322.2957904322084;817.0;4807.385170230729;22.0;;;;;;3.0;1.0;;
3200160798;;;;;;;;;3484.8788800893867;60.333333333333336;;;;;1.3333333333333333
3200129940;;;;;;;;;2769.58301558837;40.0;;;;;0.0
3200157297;;;4756.848262345699;21.2;5583.866651712211;18.0;4530.976299160423;22.076923076923077;3904.179459971496;26.53846153846154;;2.8;2.3333333333333335;2.5384615384615383;1.7307692307692308
15756;;;4696.5610965546575;24.5;5657.7703404614585;24.0;4232.019604485414;19.5;;;;2.5;3.0;2.0;
3200176705;;;;;;;;;3865.122807017544;57.0;;;;;2.5
3200079094;;;4500.0;52.0;5307.385170230729;35.0;4095.7294961613534;38.2;3654.8240753300197;38.7;;2.0;2.0;2.0;1.3
79603;;;;;4833.910423679212;360.5;;;3000.0;321.0;;;2.0;;2.0
3200078035;;;4487.823180016545;48.666666666666664;5008.738817230165;96.33333333333333;4115.451779614333;57.75;3723.24169588504;48.57142857142857;;2.3333333333333335;1.8333333333333333;2.0;1.6428571428571428
3200151253;;;;;;;4621.394417627322;20.0;;;;;;3.0;
59679;;;3922.2957904322084;122.0;4772.333365671542;39.666666666666664;3621.6655999086497;138.0;3552.8046093853063;33.125;;1.0;0.6666666666666666;1.3333333333333333;1.5
3200085205;;;;;4307.385170230729;19.0;;;;;;;0.0;;
27290;6208.9655172413795;58.0;4662.169199744228;33.095238095238095;5570.348214948018;32.64;4555.3559602622045;29.548387096774192;3859.512599375047;35.645833333333336;3.5;2.1904761904761907;2.2;2.7096774193548385;2.0833333333333335
60964;;;;;;;;;2995.6104128486436;36.5;;;;;0.0
44833;;;;;;;;;3600.0;51.0;;;;;1.0
3200039585;;;;;;;;;5098.0;42.0;;;;;3.0
3200119453;5105.993216317166;17.0;;;;;4307.952184678251;32.5;4241.136445377923;42.25;2.0;;;2.5;3.25
3200091182;;;;;;;;;3500.0;16.0;;;;;1.0
3200006707;;;;;;;;;3265.101483365078;42.333333333333336;;;;;1.0
3200121998;;;;;;;4522.1639459811395;46.0;3900.0;96.0;;;;3.0;2.0
26324;;;;;;;;;3469.6881018671365;23.0;;;;;0.5
3200142128;;;;;5307.385170230729;15.0;;;;;;;2.0;;
28130;;;;;;;;;4817.16603117674;15.0;;;;;4.0
3200143285;;;4562.26343687298;27.625;5486.478394720408;22.4;4221.095634358881;24.275862068965516;3709.083588766155;30.58139534883721;;2.125;2.066666666666667;1.9655172413793103;1.6046511627906976
3200158872;;;;;;;;;3500.0;16.0;;;;;1.0
