ds,yhat_lower,yhat_upper,yhat,Material,Oficina de Ventas Unifica,Zona de ventas.1
2021-06-09,4.923362688083403,1647.2591993330016,827.3937398981394,1020253,Huechuraba,Santiago
2021-06-10,189.1621806394233,1752.0984140307373,979.5324242868628,1020253,Huechuraba,Santiago
2021-06-11,265.4163204480137,1807.230584103013,1024.3762951805866,1020253,Huechuraba,Santiago
2021-06-12,6.06483965175508,1668.5865148505147,871.0803876929006,1020253,Huechuraba,Santiago
2021-06-13,-215.06224913460304,1383.3065580542257,587.2623478788366,1020253,Huechuraba,Santiago
2021-06-14,-281.19945412048315,1284.899560855086,516.0171484712707,1020253,Huechuraba,Santiago
2021-06-09,-290.93411776726754,639.0542055877523,182.8935235879754,1020042,Huechuraba,Santiago
2021-06-10,-313.47304301353654,613.7665074516093,145.69608260749305,1020042,Huechuraba,Santiago
2021-06-11,-283.46085422975204,651.0706631770769,181.04445428830198,1020042,Huechuraba,Santiago
2021-06-12,-423.3142092477295,511.02187328184,22.0842951973677,1020042,Huechuraba,Santiago
2021-06-13,-731.2554129906135,247.28978217651263,-228.23260872961902,1020042,Huechuraba,Santiago
2021-06-14,-671.0882816510544,289.62725955250755,-180.9136160549395,1020042,Huechuraba,Santiago
2021-06-09,354.3137093951157,2504.0985409474793,1376.038578714459,1020027,Huechuraba,Santiago
2021-06-10,213.5024280513814,2572.6821962419904,1344.3770789936234,1020027,Huechuraba,Santiago
2021-06-11,206.31751598805528,2512.364209781788,1300.7921515585758,1020027,Huechuraba,Santiago
2021-06-12,-83.34904350613064,2260.6047635732807,1099.5130564766616,1020027,Huechuraba,Santiago
2021-06-13,-629.5646096044657,1590.5453504974837,534.7363610429974,1020027,Huechuraba,Santiago
2021-06-14,-463.4222398319453,1705.3592526594714,575.9562961729088,1020027,Huechuraba,Santiago
2021-06-09,-700.4709643027928,4450.0577494864665,1954.0349263378398,1020013,Huechuraba,Santiago
2021-06-10,1.7901556855079435,5151.653717952392,2643.673676247903,1020013,Huechuraba,Santiago
2021-06-11,-3.0826292452702435,4889.272444865288,2518.7423541124313,1020013,Huechuraba,Santiago
2021-06-12,-883.5427117868111,4167.110480843749,1634.3322885659022,1020013,Huechuraba,Santiago
2021-06-13,-2795.0041019675305,2350.5811604467503,-74.98928652092582,1020013,Huechuraba,Santiago
2021-06-14,-1843.784470890355,3397.592570445588,755.5910087297152,1020013,Huechuraba,Santiago
2021-06-09,305.0900232888829,2627.288253846323,1456.725876226446,1020010,Huechuraba,Santiago
2021-06-10,393.9037428462353,2699.6382814734316,1570.9244283752867,1020010,Huechuraba,Santiago
2021-06-11,328.9977988898795,2630.578111913965,1539.7762370062119,1020010,Huechuraba,Santiago
2021-06-12,310.99190084025014,2542.8639697126187,1401.124273181668,1020010,Huechuraba,Santiago
2021-06-13,-1307.0106182381971,839.9891291119987,-265.36761003477784,1020010,Huechuraba,Santiago
2021-06-14,-126.14243935426394,2058.3318436385584,939.4136061089135,1020010,Huechuraba,Santiago
2021-06-09,-601.1684723362808,1253.893377855439,317.90900761323564,1020003,Huechuraba,Santiago
2021-06-10,-303.4332363115243,1594.9563229269331,641.1328956076029,1020003,Huechuraba,Santiago
2021-06-11,-264.8921865040416,1546.2571886385836,600.3001317705886,1020003,Huechuraba,Santiago
2021-06-12,-589.164604926844,1292.5441125380073,390.8113033126822,1020003,Huechuraba,Santiago
2021-06-13,-940.2872908819805,988.3379513939758,21.60719916559634,1020003,Huechuraba,Santiago
2021-06-14,-1018.3225244154087,852.0017272781575,-22.06390021779106,1020003,Huechuraba,Santiago
2021-06-09,-421.4403457159534,1461.6607062381113,531.1786647923448,1020001,Huechuraba,Santiago
2021-06-10,-312.55439508791306,1495.5679488425171,610.8572083256643,1020001,Huechuraba,Santiago
2021-06-11,-90.48128441816561,1725.267369587131,838.033976978066,1020001,Huechuraba,Santiago
2021-06-12,-245.7340709255681,1587.9873099010429,626.746868247583,1020001,Huechuraba,Santiago
2021-06-13,-1399.3401317742168,510.159972723519,-400.2886916896315,1020001,Huechuraba,Santiago
2021-06-14,-649.0920840110691,1200.2571068383222,229.35123107838598,1020001,Huechuraba,Santiago
2021-06-09,-278.35101557435445,7201.014550959414,3309.872475869157,1010695,Huechuraba,Santiago
2021-06-10,-657.5001716892748,6483.729500788802,2817.375072625944,1010695,Huechuraba,Santiago
2021-06-11,-1345.5073403365163,6288.108756909084,2624.6611710623665,1010695,Huechuraba,Santiago
2021-06-12,-1978.5108896161723,5592.65599068215,1728.7214825351855,1010695,Huechuraba,Santiago
2021-06-13,-1980.3477431868207,5272.539332175364,1738.0910548351867,1010695,Huechuraba,Santiago
2021-06-14,-2412.063227132851,4920.911449893862,1334.599422873751,1010695,Huechuraba,Santiago
2021-06-09,-705.7434584742126,6814.766276262,3146.0673556502966,1010267,Huechuraba,Santiago
2021-06-10,-310.25566411846535,7075.290126621483,3248.7729287435923,1010267,Huechuraba,Santiago
2021-06-11,159.50952131794355,7331.123124062138,3679.4103932570692,1010267,Huechuraba,Santiago
2021-06-12,-1013.6531780869706,6282.040863726982,2561.93342157583,1010267,Huechuraba,Santiago
2021-06-13,-7110.61835296157,267.0497611704332,-3217.2675612976245,1010267,Huechuraba,Santiago
2021-06-14,-2375.099639762157,4644.1075012026495,1310.5020883927791,1010267,Huechuraba,Santiago
2021-06-09,3870.203287803758,13155.729635038164,8536.211758712652,1010078,Huechuraba,Santiago
2021-06-10,4193.394971088769,13728.71635227292,9073.168342770294,1010078,Huechuraba,Santiago
