"Sector";"Material";"Tipo de cliente";"Zona de ventas";"Zona de ventas";"Oficina de Ventas Unifica";"Oficina de Ventas Unifica";"Mes";"Año natural/Semana";"Día natural";"Día de la semana";"Kilos Venta KG";"Venta Neta";"Precio Promedio"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"08.06.2021";"MA";"273";"697.541 CLP";"2.555 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"09.06.2021";"MI";"399";"1.024.724 CLP";"2.571 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"10.06.2021";"JU";"378";"958.656 CLP";"2.538 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"11.06.2021";"VI";"1.170";"2.711.356 CLP";"2.317 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"12.06.2021";"SA";"388";"988.095 CLP";"2.546 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"24.2021";"14.06.2021";"LU";"70";"180.222 CLP";"2.589 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"24.2021";"15.06.2021";"MA";"1.279";"2.896.614 CLP";"2.264 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"24.2021";"16.06.2021";"MI";"360";"801.264 CLP";"2.223 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"24.2021";"17.06.2021";"JU";"990";"2.238.029 CLP";"2.260 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"24.2021";"18.06.2021";"VI";"994";"2.260.378 CLP";"2.274 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"24.2021";"19.06.2021";"SA";"374";"863.561 CLP";"2.310 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"08.06.2021";"MA";"574";"1.452.716 CLP";"2.533 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"09.06.2021";"MI";"553";"1.408.246 CLP";"2.547 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"10.06.2021";"JU";"2.087";"5.220.119 CLP";"2.501 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"11.06.2021";"VI";"1.418";"3.575.880 CLP";"2.521 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"12.06.2021";"SA";"349";"889.050 CLP";"2.546 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"24.2021";"14.06.2021";"LU";"434";"1.096.206 CLP";"2.525 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"24.2021";"15.06.2021";"MA";"1.639";"3.816.597 CLP";"2.329 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"24.2021";"16.06.2021";"MI";"3.253";"7.189.767 CLP";"2.210 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"24.2021";"17.06.2021";"JU";"3.396";"7.409.047 CLP";"2.182 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"24.2021";"18.06.2021";"VI";"1.518";"3.420.640 CLP";"2.253 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"24.2021";"19.06.2021";"SA";"663";"1.528.074 CLP";"2.305 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Sucursal Miraflores";"T122";"6";"23.2021";"08.06.2021";"MA";"526";"1.316.110 CLP";"2.503 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Sucursal Miraflores";"T122";"6";"23.2021";"09.06.2021";"MI";"860";"2.160.197 CLP";"2.511 CLP"
