"Sector";"Material";"Tipo de cliente";"Zona de ventas";"Zona de ventas";"Oficina de Ventas Unifica";"Oficina de Ventas Unifica";"Mes";"Año natural/Semana";"Día natural";"Día de la semana";"Kilos Venta KG";"Venta Neta";"Precio Promedio"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Chillan";"T107";"6";"23.2021";"11.06.2021";"VI";"1.420";"3.259.431 CLP";"2.295 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Concepcion";"T104";"6";"23.2021";"08.06.2021";"MA";"327";"806.482 CLP";"2.469 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Concepcion";"T104";"6";"23.2021";"09.06.2021";"MI";"205";"546.231 CLP";"2.662 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Concepcion";"T104";"6";"23.2021";"10.06.2021";"JU";"82";"213.398 CLP";"2.614 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Concepcion";"T104";"6";"23.2021";"11.06.2021";"VI";"21";"54.619 CLP";"2.580 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Curico";"T152";"6";"23.2021";"08.06.2021";"MA";"143";"371.589 CLP";"2.603 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Curico";"T152";"6";"23.2021";"10.06.2021";"JU";"88";"224.415 CLP";"2.539 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Curico";"T152";"6";"23.2021";"11.06.2021";"VI";"64";"166.796 CLP";"2.590 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Los Angeles";"T112";"6";"23.2021";"08.06.2021";"MA";"290";"757.831 CLP";"2.615 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Los Angeles";"T112";"6";"23.2021";"09.06.2021";"MI";"565";"1.487.109 CLP";"2.634 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Los Angeles";"T112";"6";"23.2021";"10.06.2021";"JU";"180";"458.601 CLP";"2.549 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Los Angeles";"T112";"6";"23.2021";"11.06.2021";"VI";"195";"492.984 CLP";"2.529 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Rancagua";"T103";"6";"23.2021";"08.06.2021";"MA";"861";"2.106.032 CLP";"2.446 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Rancagua";"T103";"6";"23.2021";"09.06.2021";"MI";"1.206";"2.945.713 CLP";"2.442 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Rancagua";"T103";"6";"23.2021";"10.06.2021";"JU";"1.132";"2.745.025 CLP";"2.425 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Rancagua";"T103";"6";"23.2021";"11.06.2021";"VI";"681";"1.681.122 CLP";"2.468 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Talca";"T153";"6";"23.2021";"08.06.2021";"MA";"395";"979.367 CLP";"2.478 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Talca";"T153";"6";"23.2021";"09.06.2021";"MI";"530";"1.289.223 CLP";"2.431 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Talca";"T153";"6";"23.2021";"10.06.2021";"JU";"647";"1.572.823 CLP";"2.432 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Talca";"T153";"6";"23.2021";"11.06.2021";"VI";"1.550";"3.679.792 CLP";"2.374 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Castro";"T149";"6";"23.2021";"08.06.2021";"MA";"81";"204.394 CLP";"2.538 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Castro";"T149";"6";"23.2021";"09.06.2021";"MI";"73";"184.118 CLP";"2.515 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Castro";"T149";"6";"23.2021";"11.06.2021";"VI";"86";"212.589 CLP";"2.479 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Coyhaique";"T154";"6";"23.2021";"08.06.2021";"MA";"22";"56.978 CLP";"2.644 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Osorno";"T110";"6";"23.2021";"08.06.2021";"MA";"112";"286.110 CLP";"2.550 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Osorno";"T110";"6";"23.2021";"09.06.2021";"MI";"90";"230.156 CLP";"2.563 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Osorno";"T110";"6";"23.2021";"10.06.2021";"JU";"78";"202.577 CLP";"2.599 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Osorno";"T110";"6";"23.2021";"11.06.2021";"VI";"361";"819.010 CLP";"2.266 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Puerto Montt";"T106";"6";"23.2021";"08.06.2021";"MA";"20";"47.590 CLP";"2.370 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Punta Arenas";"T119";"6";"23.2021";"08.06.2021";"MA";"38";"97.971 CLP";"2.550 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Punta Arenas";"T119";"6";"23.2021";"09.06.2021";"MI";"30";"82.611 CLP";"2.740 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Punta Arenas";"T119";"6";"23.2021";"10.06.2021";"JU";"31";"74.856 CLP";"2.400 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Punta Arenas";"T119";"6";"23.2021";"11.06.2021";"VI";"540";"1.249.280 CLP";"2.312 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Temuco";"T105";"6";"23.2021";"08.06.2021";"MA";"42";"106.875 CLP";"2.572 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Temuco";"T105";"6";"23.2021";"09.06.2021";"MI";"100";"249.349 CLP";"2.490 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Temuco";"T105";"6";"23.2021";"11.06.2021";"VI";"226";"597.094 CLP";"2.639 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Valdivia";"T111";"6";"23.2021";"09.06.2021";"MI";"20";"51.852 CLP";"2.590 CLP"
"Cerdo";"1020253";"Tradicional";"Z004";"Sur";"Valdivia";"T111";"6";"23.2021";"11.06.2021";"VI";"20";"52.163 CLP";"2.590 CLP"
"Cerdo";"1020253";"Tradicional";"Z005";"Norte";"Antofagasta";"T163";"6";"23.2021";"09.06.2021";"MI";"17";"42.262 CLP";"2.470 CLP"
"Cerdo";"1020253";"Tradicional";"Z005";"Norte";"Antofagasta";"T163";"6";"23.2021";"10.06.2021";"JU";"20";"53.294 CLP";"2.601 CLP"
"Cerdo";"1020253";"Tradicional";"Z005";"Norte";"Arica";"T161";"6";"23.2021";"09.06.2021";"MI";"207";"461.904 CLP";"2.236 CLP"
"Cerdo";"1020253";"Tradicional";"Z005";"Norte";"Arica";"T161";"6";"23.2021";"11.06.2021";"VI";"51";"111.518 CLP";"2.200 CLP"
"Cerdo";"1020253";"Tradicional";"Z005";"Norte";"Calama";"T164";"6";"23.2021";"10.06.2021";"JU";"40";"103.603 CLP";"2.560 CLP"
"Cerdo";"1020253";"Tradicional";"Z005";"Norte";"Copiapo";"T165";"6";"23.2021";"08.06.2021";"MA";"53";"122.314 CLP";"2.300 CLP"
"Cerdo";"1020253";"Tradicional";"Z005";"Norte";"Copiapo";"T165";"6";"23.2021";"09.06.2021";"MI";"30";"77.138 CLP";"2.550 CLP"
"Cerdo";"1020253";"Tradicional";"Z005";"Norte";"Iquique";"T162";"6";"23.2021";"08.06.2021";"MA";"96";"229.848 CLP";"2.400 CLP"
"Cerdo";"1020253";"Tradicional";"Z005";"Norte";"Iquique";"T162";"6";"23.2021";"09.06.2021";"MI";"89";"216.266 CLP";"2.418 CLP"
"Cerdo";"1020253";"Tradicional";"Z005";"Norte";"Iquique";"T162";"6";"23.2021";"10.06.2021";"JU";"90";"197.736 CLP";"2.200 CLP"
"Cerdo";"1020253";"Tradicional";"Z005";"Norte";"Iquique";"T162";"6";"23.2021";"11.06.2021";"VI";"20";"52.318 CLP";"2.590 CLP"
"Cerdo";"1020253";"Industriales";"Z003";"Centro Sur";"Concepcion";"T104";"6";"23.2021";"10.06.2021";"JU";"79";"206.336 CLP";"2.600 CLP"
"Cerdo";"1020253";"Industriales";"Z003";"Centro Sur";"Concepcion";"T104";"6";"23.2021";"11.06.2021";"VI";"79";"204.178 CLP";"2.600 CLP"
"Cerdo";"1020253";"Industriales";"Z004";"Sur";"Castro";"T149";"6";"23.2021";"08.06.2021";"MA";"277";"830.760 CLP";"3.000 CLP"
"Cerdo";"1020253";"Industriales";"Z004";"Sur";"Castro";"T149";"6";"23.2021";"09.06.2021";"MI";"152";"454.560 CLP";"3.000 CLP"
"Cerdo";"1020253";"Industriales";"Z004";"Sur";"Castro";"T149";"6";"23.2021";"10.06.2021";"JU";"213";"640.380 CLP";"3.000 CLP"
"Cerdo";"1020253";"Industriales";"Z004";"Sur";"Castro";"T149";"6";"23.2021";"11.06.2021";"VI";"211";"633.630 CLP";"3.000 CLP"
"Cerdo";"1020253";"Industriales";"Z004";"Sur";"Punta Arenas";"T119";"6";"23.2021";"10.06.2021";"JU";"44";"105.912 CLP";"2.400 CLP"
"Cerdo";"1020253";"Industriales";"Z004";"Sur";"Punta Arenas";"T119";"6";"23.2021";"11.06.2021";"VI";"150";"344.586 CLP";"2.300 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"08.06.2021";"MA";"70";"167.904 CLP";"2.400 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"09.06.2021";"MI";"253";"627.429 CLP";"2.480 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"10.06.2021";"JU";"214";"522.648 CLP";"2.445 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z001";"Santiago";"Sucursal Miraflores";"T122";"6";"23.2021";"09.06.2021";"MI";"221";"530.400 CLP";"2.400 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z001";"Santiago";"Sucursal Miraflores";"T122";"6";"23.2021";"10.06.2021";"JU";"42";"100.896 CLP";"2.400 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z001";"Santiago";"Sucursal Miraflores";"T122";"6";"23.2021";"11.06.2021";"VI";"62";"148.320 CLP";"2.400 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z002";"Centro Norte";"Hijuelas";"T114";"6";"23.2021";"11.06.2021";"VI";"171";"410.928 CLP";"2.400 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z002";"Centro Norte";"Viña del Mar";"T102";"6";"23.2021";"09.06.2021";"MI";"99";"237.888 CLP";"2.400 CLP"
