"Sector";"Material";"Tipo de cliente";"Zona de ventas";"Zona de ventas";"Oficina de Ventas Unifica";"Oficina de Ventas Unifica";"Mes";"Año natural/Semana";"Día natural";"Día de la semana";"Kilos Venta KG";"Venta Neta";"Precio Promedio"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"08.06.2021";"MA";"273";"697.541 CLP";"2.555 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"09.06.2021";"MI";"399";"1.024.724 CLP";"2.571 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"10.06.2021";"JU";"378";"958.656 CLP";"2.538 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"11.06.2021";"VI";"1.170";"2.711.356 CLP";"2.317 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"12.06.2021";"SA";"388";"988.095 CLP";"2.546 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"24.2021";"14.06.2021";"LU";"70";"180.222 CLP";"2.589 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"24.2021";"15.06.2021";"MA";"1.279";"2.896.614 CLP";"2.264 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"24.2021";"16.06.2021";"MI";"360";"801.264 CLP";"2.223 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"24.2021";"17.06.2021";"JU";"990";"2.238.029 CLP";"2.260 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"24.2021";"18.06.2021";"VI";"994";"2.260.378 CLP";"2.274 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"24.2021";"19.06.2021";"SA";"374";"863.561 CLP";"2.310 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"25.2021";"22.06.2021";"MA";"350";"832.839 CLP";"2.376 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"25.2021";"23.06.2021";"MI";"510";"1.207.378 CLP";"2.366 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"25.2021";"24.06.2021";"JU";"796";"1.896.477 CLP";"2.383 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"25.2021";"25.06.2021";"VI";"787";"1.871.735 CLP";"2.380 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"25.2021";"26.06.2021";"SA";"478";"1.129.978 CLP";"2.366 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"26.2021";"29.06.2021";"MA";"212";"527.648 CLP";"2.494 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"26.2021";"30.06.2021";"MI";"1.213";"2.868.919 CLP";"2.365 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"7";"26.2021";"01.07.2021";"JU";"496";"1.141.791 CLP";"2.300 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"7";"26.2021";"02.07.2021";"VI";"1.033";"2.259.171 CLP";"2.187 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"7";"26.2021";"03.07.2021";"SA";"2.429";"5.032.935 CLP";"2.072 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"08.06.2021";"MA";"574";"1.452.716 CLP";"2.533 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"09.06.2021";"MI";"553";"1.408.246 CLP";"2.547 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"10.06.2021";"JU";"2.087";"5.220.119 CLP";"2.501 CLP"
