"Sector";"Material";"Tipo de cliente";"Zona de ventas";"Zona de ventas";"Oficina de Ventas Unifica";"Oficina de Ventas Unifica";"Mes";"Año natural/Semana";"Día natural";"Día de la semana";"Kilos Venta KG";"Venta Neta";"Precio Promedio"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"08.06.2021";"MA";"273";"697.541 CLP";"2.555 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"09.06.2021";"MI";"399";"1.024.724 CLP";"2.571 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"10.06.2021";"JU";"197";"491.277 CLP";"2.490 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"08.06.2021";"MA";"574";"1.452.716 CLP";"2.533 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"09.06.2021";"MI";"553";"1.408.246 CLP";"2.547 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"10.06.2021";"JU";"610";"1.532.550 CLP";"2.511 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Sucursal Miraflores";"T122";"6";"23.2021";"08.06.2021";"MA";"526";"1.316.110 CLP";"2.503 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Sucursal Miraflores";"T122";"6";"23.2021";"09.06.2021";"MI";"839";"2.104.460 CLP";"2.509 CLP"
"Cerdo";"1020253";"Tradicional";"Z001";"Santiago";"Sucursal Miraflores";"T122";"6";"23.2021";"10.06.2021";"JU";"375";"948.521 CLP";"2.529 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"Coquimbo";"T166";"6";"23.2021";"08.06.2021";"MA";"340";"847.715 CLP";"2.496 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"Coquimbo";"T166";"6";"23.2021";"09.06.2021";"MI";"192";"499.668 CLP";"2.600 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"Coquimbo";"T166";"6";"23.2021";"10.06.2021";"JU";"99";"245.539 CLP";"2.490 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"Hijuelas";"T114";"6";"23.2021";"08.06.2021";"MA";"271";"745.228 CLP";"2.747 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"Hijuelas";"T114";"6";"23.2021";"09.06.2021";"MI";"718";"1.879.330 CLP";"2.616 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"Hijuelas";"T114";"6";"23.2021";"10.06.2021";"JU";"55";"151.761 CLP";"2.754 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"San Antonio";"T109";"6";"23.2021";"08.06.2021";"MA";"114";"278.797 CLP";"2.456 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"San Antonio";"T109";"6";"23.2021";"09.06.2021";"MI";"205";"496.913 CLP";"2.429 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"San Felipe";"T121";"6";"23.2021";"08.06.2021";"MA";"93";"244.932 CLP";"2.631 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"San Felipe";"T121";"6";"23.2021";"09.06.2021";"MI";"420";"1.073.586 CLP";"2.559 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"San Felipe";"T121";"6";"23.2021";"10.06.2021";"JU";"475";"1.209.021 CLP";"2.545 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"Viña del Mar";"T102";"6";"23.2021";"08.06.2021";"MA";"109";"270.956 CLP";"2.480 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"Viña del Mar";"T102";"6";"23.2021";"09.06.2021";"MI";"63";"157.067 CLP";"2.480 CLP"
"Cerdo";"1020253";"Tradicional";"Z002";"Centro Norte";"Viña del Mar";"T102";"6";"23.2021";"10.06.2021";"JU";"250";"613.194 CLP";"2.448 CLP"
"Cerdo";"1020253";"Tradicional";"Z003";"Centro Sur";"Chillan";"T107";"6";"23.2021";"08.06.2021";"MA";"142";"353.152 CLP";"2.494 CLP"
